que	это	que	это	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
uma	один	um	один	NUM	NUM;NOM;MASC
com	с	com	с	ADP	ADP
para	для	para	для	ADP	ADP
para	за	para	за	ADP	ADP
por	для	por	для	ADP	ADP
por	за	por	за	ADP	ADP
mais	более	mais	более	ADV	ADV;CMPR
mais	больше	mais	больше	ADV	ADV;CMPR
mais	еще	mais	еще	ADV	ADV
sua	твоя	seu	твой	DET;FEM;SG	DET;NOM;FEM;SG
sua	ваш	seu	ваш	DET;FEM;SG	DET;NOM;MASC;SG
sua	ваша	seu	ваш	DET;FEM;SG	DET;NOM;FEM;SG
sua	твой	seu	твой	DET;FEM;SG	DET;NOM;MASC;SG
sua	ваше	seu	ваш	DET;FEM;SG	DET;NOM;NEUT;SG
sua	твоя	seu	твой	DET;FEM;SG	DET;NOM;FEM;SG
sua	ваш	seu	ваш	DET;FEM;SG	DET;NOM;MASC;SG
sua	ваша	seu	ваш	DET;FEM;SG	DET;NOM;FEM;SG
sua	твой	seu	твой	DET;FEM;SG	DET;NOM;MASC;SG
sua	ваше	seu	ваш	DET;FEM;SG	DET;NOM;NEUT;SG
seu	твоя	seu	твой	DET;MASC;SG	DET;NOM;FEM;SG
seu	ваш	seu	ваш	DET;MASC;SG	DET;NOM;MASC;SG
seu	ваша	seu	ваш	DET;MASC;SG	DET;NOM;FEM;SG
seu	твой	seu	твой	DET;MASC;SG	DET;NOM;MASC;SG
seu	ваше	seu	ваш	DET;MASC;SG	DET;NOM;NEUT;SG
seu	твоя	seu	твой	DET;MASC;SG	DET;NOM;FEM;SG
seu	ваш	seu	ваш	DET;MASC;SG	DET;NOM;MASC;SG
seu	ваша	seu	ваш	DET;MASC;SG	DET;NOM;FEM;SG
seu	твой	seu	твой	DET;MASC;SG	DET;NOM;MASC;SG
seu	ваше	seu	ваш	DET;MASC;SG	DET;NOM;NEUT;SG
também	также	também	также	ADV	ADV
também	слишком	também	слишком	ADV	ADV
mas	но	mas	но	CONJ	CONJ
discussão	обсуждение	discussão	обсуждение	N;FEM;SG	N;INAN;NOM;NEUT;SG
discussão	дискуссия	discussão	дискуссия	N;FEM;SG	N;INAN;NOM;FEM;SG
entre	между	entre	между	ADP	ADP
anos	годы	ano	год	N;MASC;PL	N;INAN;ACC;MASC;PL
anos	лет	ano	год	N;MASC;PL	N;INAN;GEN;MASC;PL
tem	имеет	ter	иметь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
cidade	город	cidade	город	N;FEM;SG	N;INAN;NOM;MASC;SG
cidade	городок	cidade	городок	N;FEM;SG	N;INAN;NOM;MASC;SG
cidade	город	cidade	город	N;FEM;SG	N;INAN;NOM;MASC;SG
janeiro	январь	janeiro	январь	N;MASC;SG	N;INAN;NOM;MASC;SG
janeiro	января	janeiro	январь	N;MASC;SG	N;INAN;GEN;MASC;SG
onde	где	onde	где	ADV	ADV
onde	куда	onde	куда	ADV	ADV
grande	большой	grande	большой	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	крупный	grande	крупный	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	большая	grande	большой	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	большая	grande	большой	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	большой	grande	большой	ADJ;MASC;SG	ADJ;NOM;MASC;SG
brasil	бразилия	brasil	бразилие	N;MASC;SG	N;INAN;NOM;FEM;SG
brasil	бразилию	brasil	бразилие	N;MASC;SG	N;INAN;ACC;FEM;SG
rio	река	rio	река	N;MASC;SG	N;INAN;NOM;FEM;SG
depois	тогда	depois	тогда	ADV	ADV
depois	потом	depois	потом	ADV	ADV
depois	затем	depois	затем	ADV	ADV
depois	позднее	depois	поздно	ADV	ADV;CMPR
depois	позже	depois	поздно	ADV	ADV;CMPR
estado	статус	estado	статус	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	состояние	estado	состояние	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	штат	estado	штат	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	состояние	estado	состояние	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	государство	estado	государство	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	условие	estado	условие	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	состояние	estado	состояние	N;MASC;SG	N;INAN;NOM;NEUT;SG
ano	год	ano	год	N;MASC;SG	N;INAN;NOM;MASC;SG
após	после	após	после	ADP	ADP
primeiro	сначала	primeiro	сначала	ADV	ADV
pode	может	poder	мочь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
ligações	соединения	ligação	соединение	N;FEM;PL	N;INAN;NOM;NEUT;PL
ligações	связи	ligação	связь	N;FEM;PL	N;INAN;NOM;FEM;PL
ligações	ссылки	ligação	ссылка	N;FEM;PL	N;INAN;NOM;FEM;PL
parte	часть	parte	часть	N;FEM;SG	N;INAN;NOM;FEM;SG
este	эта	este	этот	DET;MASC;SG	DET;NOM;FEM;SG
este	этот	este	этот	DET;MASC;SG	DET;NOM;MASC;SG
primeira	первый	primeiro	первый	ADJ;FEM;SG	ADJ;NOM;MASC;SG
primeira	первое	primeiro	первый	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
primeira	первая	primeiro	первый	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nome	имя	nome	имя	N;MASC;SG	N;INAN;NOM;NEUT;SG
nome	название	nome	название	N;MASC;SG	N;INAN;NOM;NEUT;SG
esta	это	este	это	PRO;FEM;SG	PRO;INAN;NOM;NEUT;SG
sem	без	sem	без	ADP	ADP
ela	она	ela	она	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
dia	день	dia	день	N;MASC;SG	N;INAN;NOM;MASC;SG
dia	дэй	dia	дэй	N;MASC;SG	N;INAN;NOM;MASC;SG
dia	диа	dia	диа	N;MASC;SG	N;INAN;NOM;FEM;SG
dois	два	dois	два	NUM	NUM;NOM;MASC
dois	две	dois	два	NUM	NUM;NOM;FEM
dois	двое	dois	двое	NUM	NUM;NOM
muito	очень	muito	очень	ADV	ADV
muito	много	muito	много	ADV	ADV
região	область	região	область	N;FEM;SG	N;INAN;NOM;FEM;SG
região	регион	região	регион	N;FEM;SG	N;INAN;NOM;MASC;SG
artigo	статья	artigo	статья	N;MASC;SG	N;INAN;NOM;FEM;SG
ter	имея	ter	иметь	V;NFIN	V;IPFV;PRS;V.CVB;ACT
ter	иметь	ter	иметь	V;NFIN	V;IPFV;NFIN;ACT
julho	июль	julho	июль	N;MASC;SG	N;INAN;NOM;MASC;SG
área	область	área	область	N;FEM;SG	N;INAN;NOM;FEM;SG
área	район	área	район	N;FEM;SG	N;INAN;NOM;MASC;SG
área	площадь	área	площадь	N;FEM;SG	N;INAN;NOM;FEM;SG
agosto	августа	agosto	август	N;MASC;SG	N;INAN;GEN;MASC;SG
agosto	август	agosto	август	N;MASC;SG	N;INAN;NOM;MASC;SG
lista	перечень	lista	перечень	N;FEM;SG	N;INAN;NOM;MASC;SG
lista	список	lista	список	N;FEM;SG	N;INAN;NOM;MASC;SG
maio	мая	maio	май	N;MASC;SG	N;INAN;GEN;MASC;SG
maio	мэй	maio	мэй	N;MASC;SG	N;ANIM;NOM;FEM;SG
março	марш	março	марш	N;MASC;SG	N;INAN;NOM;MASC;SG
março	март	março	март	N;MASC;SG	N;INAN;NOM;MASC;SG
março	марта	março	март	N;MASC;SG	N;INAN;GEN;MASC;SG
norte	норте	norte	норта	N;MASC;SG	N;INAN;NOM;MASC;SG
norte	север	norte	север	N;MASC;SG	N;INAN;NOM;MASC;SG
norte	норт	norte	норт	N;MASC;SG	N;INAN;NOM;MASC;SG
família	семья	família	семья	N;FEM;SG	N;INAN;NOM;FEM;SG
família	семейство	família	семейство	N;FEM;SG	N;INAN;NOM;NEUT;SG
abril	эйприл	abril	эйприль	N;MASC;SG	N;ANIM;NOM;FEM;SG
abril	апрель	abril	апрель	N;MASC;SG	N;INAN;NOM;MASC;SG
abril	апреля	abril	апрель	N;MASC;SG	N;INAN;GEN;MASC;SG
sul	юг	sul	юг	N;MASC;SG	N;INAN;NOM;MASC;SG
grupo	группа	grupo	группа	N;MASC;SG	N;INAN;NOM;FEM;SG
setembro	сентября	setembro	сентябрь	N;MASC;SG	N;INAN;GEN;MASC;SG
setembro	сентябрь	setembro	сентябрь	N;MASC;SG	N;INAN;NOM;MASC;SG
paulo	паулу	paulo	паул	N;MASC;SG	N;INAN;NOM;MASC;SG
paulo	пауло	paulo	пауть	N;MASC;SG	N;INAN;NOM;MASC;SG
paulo	павел	paulo	павел	N;MASC;SG	N;ANIM;NOM;MASC;SG
paulo	пол	paulo	пол	N;MASC;SG	N;INAN;NOM;MASC;SG
paulo	пауль	paulo	пауль	N;MASC;SG	N;ANIM;NOM;MASC;SG
paulo	поль	paulo	поль	N;MASC;SG	N;ANIM;NOM;MASC;SG
ver	видишь	ver	видеть	V;NFIN	V;IPFV;IND;SG;2;PRS;FIN;ACT
ver	посмотреть	ver	смотреть	V;NFIN	V;PFV;NFIN;ACT
ver	посмотреть	ver	смотреть	V;NFIN	V;PFV;NFIN;ACT
ver	просмотреть	ver	просмотреть	V;NFIN	V;PFV;NFIN;ACT
outubro	октябрь	outubro	октябрь	N;MASC;SG	N;INAN;NOM;MASC;SG
outubro	октября	outubro	октябрь	N;MASC;SG	N;INAN;GEN;MASC;SG
isso	это	isso	это	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
isso	это	isso	это	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
maior	крупнее	grande	крупный	ADJ;MASC;SG	ADJ;CMPR
maior	крупнейший	grande	крупный	ADJ;MASC;SG	ADJ;NOM;RL;MASC;SG
maior	наибольшая	grande	наибольший	ADJ;MASC;SG	ADJ;NOM;FEM;SG
maior	крупнее	grande	крупный	ADJ;MASC;SG	ADJ;CMPR
todos	всем	todo	все	PRO;MASC;PL	PRO;ANIM;DAT;PL
todos	всем	todo	все	PRO;MASC;PL	PRO;ANIM;DAT;PL
todos	всех	todo	все	PRO;MASC;PL	PRO;ANIM;ACC;PL
todos	всем	todo	все	PRO;MASC;PL	PRO;ANIM;DAT;PL
todos	всех	todo	все	PRO;MASC;PL	PRO;ANIM;ACC;PL
nova	новая	novo	новый	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nova	новый	novo	новый	ADJ;FEM;SG	ADJ;NOM;MASC;SG
nova	новое	novo	новый	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nova	нова	novo	новый	ADJ;FEM;SG	ADJ;FEM;SG
álbum	альбом	álbum	альбый	N;MASC;SG	N;INAN;NOM;MASC;SG
junho	июнь	junho	июнь	N;MASC;SG	N;INAN;NOM;MASC;SG
junho	джун	junho	джун	N;MASC;SG	N;ANIM;NOM;FEM;SG
junho	июня	junho	июнь	N;MASC;SG	N;INAN;GEN;MASC;SG
contra	против	contra	против	ADP	ADP
tempo	погода	tempo	погода	N;MASC;SG	N;INAN;NOM;FEM;SG
tempo	время	tempo	время	N;MASC;SG	N;INAN;NOM;NEUT;SG
tempo	времени	tempo	время	N;MASC;SG	N;INAN;GEN;NEUT;SG
tempo	тайм	tempo	тайма	N;MASC;SG	N;INAN;NOM;MASC;SG
dezembro	декабрь	dezembro	декабрь	N;MASC;SG	N;INAN;NOM;MASC;SG
dezembro	декабрь	dezembro	декабрь	N;MASC;SG	N;INAN;NOM;MASC;SG
fevereiro	февраля	fevereiro	февраль	N;MASC;SG	N;INAN;GEN;MASC;SG
fevereiro	февраль	fevereiro	февраль	N;MASC;SG	N;INAN;NOM;MASC;SG
fevereiro	февраля	fevereiro	февраль	N;MASC;SG	N;INAN;GEN;MASC;SG
fevereiro	февраль	fevereiro	февраль	N;MASC;SG	N;INAN;NOM;MASC;SG
forma	форме	forma	форма	N;FEM;SG	N;INAN;DAT;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
forma	форме	forma	форма	N;FEM;SG	N;INAN;DAT;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
forma	бланк	forma	бланк	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	формуляр	forma	формуляр	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	форму	forma	форма	N;FEM;SG	N;INAN;ACC;FEM;SG
novembro	ноября	novembro	ноябрь	N;MASC;SG	N;INAN;GEN;MASC;SG
novembro	ноябрь	novembro	ноябрь	N;MASC;SG	N;INAN;NOM;MASC;SG
então	тогда	então	тогда	ADV	ADV
então	потом	então	потом	ADV	ADV
então	затем	então	затем	ADV	ADV
principal	основная	principal	основной	ADJ;MASC;SG	ADJ;NOM;FEM;SG
principal	главная	principal	главный	ADJ;MASC;SG	ADJ;NOM;FEM;SG
três	три	três	три	NUM	NUM;NOM
três	трое	três	трое	NUM	NUM;NOM
série	серия	série	серия	N;FEM;SG	N;INAN;NOM;FEM;SG
final	финал	final	финал	N;MASC;SG	N;INAN;NOM;MASC;SG
final	конце	final	конец	N;MASC;SG	N;INAN;ESS;MASC;SG
final	конец	final	конец	N;MASC;SG	N;INAN;NOM;MASC;SG
história	новость	história	новость	N;FEM;SG	N;INAN;NOM;FEM;SG
história	рассказ	história	рассказ	N;FEM;SG	N;INAN;NOM;MASC;SG
história	история	história	история	N;FEM;SG	N;INAN;NOM;FEM;SG
história	история	história	история	N;FEM;SG	N;INAN;NOM;FEM;SG
filme	фильм	filme	фильм	N;MASC;SG	N;INAN;NOM;MASC;SG
filme	кино	filme	кино	N;MASC;SG	N;INAN;NOM;NEUT;SG
filme	фильм	filme	фильм	N;MASC;SG	N;INAN;NOM;MASC;SG
filme	кино	filme	кино	N;MASC;SG	N;INAN;NOM;NEUT;SG
antes	прежде	antes	прежде	ADV	ADV
duas	два	dois	два	NUM	NUM;NOM;MASC
duas	две	dois	два	NUM	NUM;NOM;FEM
duas	двое	dois	двое	NUM	NUM;NOM
guerra	война	guerra	война	N;FEM;SG	N;INAN;NOM;FEM;SG
população	населения	população	население	N;FEM;SG	N;INAN;GEN;NEUT;SG
população	население	população	население	N;FEM;SG	N;INAN;NOM;NEUT;SG
estados	государства	estado	государство	N;MASC;PL	N;INAN;NOM;NEUT;PL
estados	штатов	estado	штат	N;MASC;PL	N;INAN;GEN;MASC;PL
estados	штаты	estado	штат	N;MASC;PL	N;INAN;NOM;MASC;PL
mundo	мир	mundo	мир	N;MASC;SG	N;INAN;NOM;MASC;SG
banda	банда	banda	банда	N;FEM;SG	N;INAN;NOM;FEM;SG
gols	целей	gol	цель	N;MASC;PL	N;INAN;GEN;FEM;PL
gols	цели	gol	цель	N;MASC;PL	N;INAN;NOM;FEM;PL
nacional	национальная	nacional	национальный	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nacional	национальный	nacional	национальный	ADJ;MASC;SG	ADJ;NOM;MASC;SG
jogos	игры	jogo	игра	N;MASC;PL	N;INAN;NOM;FEM;PL
qual	которое	qual	который	PRO;MASC;SG	PRO;NOM
qual	которая	qual	который	PRO;MASC;SG	PRO;NOM
qual	которые	qual	который	PRO;MASC;SG	PRO;NOM
qual	который	qual	который	PRO;MASC;SG	PRO;NOM
center	центр	center	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
vida	жизнь	vida	жизнь	N;FEM;SG	N;INAN;NOM;FEM;SG
vida	вида	vida	вид	N;FEM;SG	N;INAN;GEN;MASC;SG
país	страна	país	страна	N;MASC;SG	N;INAN;NOM;FEM;SG
cada	каждая	cada	каждый	DET;FEM;SG	DET;NOM;FEM;SG
cada	каждую	cada	каждый	DET;FEM;SG	DET;ACC;FEM;SG
cada	каждый	cada	каждый	DET;FEM;SG	DET;NOM;MASC;SG
cada	каждое	cada	каждый	DET;FEM;SG	DET;NOM;NEUT;SG
cada	каждая	cada	каждый	DET;FEM;SG	DET;NOM;FEM;SG
cada	каждому	cada	каждый	DET;FEM;SG	DET;DAT;MASC;SG
cada	каждый	cada	каждый	DET;FEM;SG	DET;NOM;MASC;SG
cada	каждое	cada	каждый	DET;FEM;SG	DET;NOM;NEUT;SG
eles	они	eles	они	PRO;NOM;MASC;PL;3	PRO;NOM;PL;3
música	музыка	música	музыка	N;FEM;SG	N;INAN;NOM;FEM;SG
música	музыку	música	музыка	N;FEM;SG	N;INAN;ACC;FEM;SG
página	страница	página	страница	N;FEM;SG	N;INAN;NOM;FEM;SG
página	страницу	página	страница	N;FEM;SG	N;INAN;ACC;FEM;SG
dias	дни	dia	день	N;MASC;PL	N;INAN;NOM;MASC;PL
dias	дней	dia	день	N;MASC;PL	N;INAN;GEN;MASC;PL
campeonato	чемпионат	campeonato	чемпионат	N;MASC;SG	N;INAN;NOM;MASC;SG
josé	жозе	josé	жозе	N;MASC;SG	N;INAN;NOM;FEM;SG
josé	хосе	josé	хосе	N;MASC;SG	N;INAN;NOM;MASC;SG
josé	джозеф	josé	джозеф	N;MASC;SG	N;ANIM;NOM;MASC;SG
josé	иосиф	josé	иосиф	N;MASC;SG	N;ANIM;NOM;MASC;SG
josé	жозеф	josé	жозеф	N;MASC;SG	N;ANIM;NOM;MASC;SG
josé	жозе	josé	жозе	N;MASC;SG	N;INAN;NOM;FEM;SG
josé	хосе	josé	хосе	N;MASC;SG	N;INAN;NOM;MASC;SG
município	муниципалитет	município	муниципалитет	N;MASC;SG	N;INAN;NOM;MASC;SG
futebol	футбол	futebol	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
futebol	футбол	futebol	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
espécie	вид	espécie	вид	N;FEM;SG	N;INAN;NOM;MASC;SG
portugal	португалия	portugal	португалия	N;MASC;SG	N;INAN;NOM;NEUT;SG
joão	джон	joão	джон	N;MASC;SG	N;ANIM;NOM;MASC;SG
joão	иоанн	joão	иоанный	N;MASC;SG	N;ANIM;NOM;MASC;SG
joão	жуан	joão	жуан	N;MASC;SG	N;ANIM;NOM;MASC;SG
clube	клуб	clube	клуб	N;MASC;SG	N;INAN;NOM;MASC;SG
novo	ново	novo	новый	ADJ;MASC;SG	ADJ;NEUT;SG
novo	новая	novo	новый	ADJ;MASC;SG	ADJ;NOM;FEM;SG
novo	новый	novo	новый	ADJ;MASC;SG	ADJ;NOM;MASC;SG
novo	новое	novo	новый	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
partir	отходить	partir	отходить	V;NFIN	V;IPFV;NFIN;ACT
teve	имел	ter	иметь	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
tendo	имея	ter	иметь	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
segunda	второй	segundo	второй	ADJ;FEM;SG	ADJ;NOM;MASC;SG
segunda	вторая	segundo	второй	ADJ;FEM;SG	ADJ;NOM;FEM;SG
segunda	второе	segundo	второй	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
pessoas	людей	pessoa	человек	N;FEM;PL	N;ANIM;GEN;MASC;PL
pessoas	люди	pessoa	человек	N;FEM;PL	N;ANIM;NOM;MASC;PL
habitantes	обитатели	habitante	обитатель	N;PL	N;ANIM;NOM;MASC;PL
habitantes	жители	habitante	житель	N;PL	N;ANIM;NOM;MASC;PL
presidente	президент	presidente	президент	N;MASC;SG	N;ANIM;NOM;MASC;SG
presidente	председатель	presidente	председатель	N;MASC;SG	N;ANIM;NOM;MASC;SG
presidente	председателю	presidente	председатель	N;MASC;SG	N;ANIM;DAT;MASC;SG
presidente	председателя	presidente	председатель	N;MASC;SG	N;ANIM;ACC;MASC;SG
presidente	председатель	presidente	председатель	N;MASC;SG	N;ANIM;NOM;MASC;SG
caso	случае	caso	случай	N;MASC;SG	N;INAN;ESS;MASC;SG
caso	случай	caso	случай	N;MASC;SG	N;INAN;NOM;MASC;SG
caso	дело	caso	дело	N;MASC;SG	N;INAN;NOM;NEUT;SG
caso	кейс	caso	кейс	N;MASC;SG	N;INAN;NOM;MASC;SG
jogo	игра	jogo	игра	N;MASC;SG	N;INAN;NOM;FEM;SG
sistema	система	sistema	система	N;MASC;SG	N;INAN;NOM;FEM;SG
americano	американец	americano	американец	N;MASC;SG	N;ANIM;NOM;MASC;SG
período	период	período	период	N;MASC;SG	N;INAN;NOM;MASC;SG
século	век	século	век	N;MASC;SG	N;INAN;NOM;MASC;SG
século	столетие	século	столетие	N;MASC;SG	N;INAN;NOM;NEUT;SG
título	заголовок	título	заголовок	N;MASC;SG	N;INAN;NOM;MASC;SG
título	название	título	название	N;MASC;SG	N;INAN;NOM;NEUT;SG
título	титул	título	титул	N;MASC;SG	N;INAN;NOM;MASC;SG
casa	дом	casa	дом	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	дом	casa	дом	N;FEM;SG	N;INAN;NOM;MASC;SG
lugar	место	lugar	место	N;MASC;SG	N;INAN;NOM;NEUT;SG
oficial	официальное	oficial	официальный	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
oficial	официальный	oficial	официальный	ADJ;MASC;SG	ADJ;NOM;MASC;SG
oficial	официальная	oficial	официальный	ADJ;MASC;SG	ADJ;NOM;FEM;SG
vezes	времена	vez	время	N;MASC;PL	N;INAN;NOM;NEUT;PL
filho	сынок	filho	сынок	N;MASC;SG	N;ANIM;NOM;MASC;SG
filho	сын	filho	сын	N;MASC;SG	N;ANIM;NOM;MASC;SG
governo	правительство	governo	правительство	N;MASC;SG	N;INAN;NOM;NEUT;SG
artigos	статьи	artigo	статья	N;MASC;PL	N;INAN;NOM;FEM;PL
artigos	статей	artigo	статья	N;MASC;PL	N;INAN;GEN;FEM;PL
artigos	изделия	artigo	изделие	N;MASC;PL	N;INAN;NOM;NEUT;PL
artigos	пункты	artigo	пункт	N;MASC;PL	N;INAN;NOM;MASC;PL
artigos	предметы	artigo	предмет	N;MASC;PL	N;INAN;NOM;MASC;PL
distrito	округ	distrito	округ	N;MASC;SG	N;INAN;NOM;MASC;SG
