και	e	και	e	CONJ	CONJ
το	o	ο	o	DET;NOM;DEF;NEUT;SG	DET
το	a	ο	o	DET;NOM;DEF;NEUT;SG	DET
το	os	ο	o	DET;NOM;DEF;NEUT;SG	DET
από	de	από	de	ADP	ADP
από	dende	από	dende	ADP	ADP
από	de	από	de	ADP	ADP
από	por	από	por	ADP	ADP
με	con	με	con	ADP	ADP
που	que	που	que	PRO;ACC;NEUT;SG;3	PRO
που	cal	που	cal	PRO;ACC;NEUT;SG;3	PRO
για	para	για	para	ADP	ADP
για	por	για	por	ADP	ADP
σε	en	σε	en	ADP	ADP
είναι	está	είμαι	estar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
κατηγορία	categoría	κατηγορία	categoría	N;NOM;FEM;SG	N
τους	eles	μου	el	PRO;GEN;MASC;PL;3	PRO
ήταν	era	είμαι	ser	V;IPFV;IND;SG;3;PST;FIN;PASS	V
ήταν	estaba	είμαι	estar	V;IPFV;IND;SG;3;PST;FIN;PASS	V
έχει	ten	έχω	ter	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
αλλά	pero	αλλά	pero	CONJ	CONJ
αλλά	mais	αλλά	mais	CONJ	CONJ
μετά	logo	μετά	logo	ADV	ADV
μετά	despois	μετά	despois	ADV	ADV
μετά	entón	μετά	entón	ADV	ADV
μετά	daquela	μετά	daquela	ADV	ADV
μετά	despois	μετά	despois	ADV	ADV
μετά	logo	μετά	logo	ADV	ADV
επίσης	tamén	επίσης	tamén	ADV	ADV
όπως	así	όπως	así	ADV	ADV
είχε	tiña	έχω	ter	V;IPFV;IND;SG;3;PST;FIN;ACT	V
είχε	tiven	έχω	ter	V;IPFV;IND;SG;3;PST;FIN;ACT	V
αυτό	isto	αυτός	isto	PRO;NOM;NEUT;SG;3	PRO
αυτό	que	αυτός	que	PRO;NOM;NEUT;SG;3	PRO
αυτό	iso	αυτός	iso	PRO;NOM;NEUT;SG;3	PRO
αν	se	αν	se	CONJ	CONJ
αυτή	ela	αυτός	el	PRO;NOM;FEM;SG;3	PRO
αυτή	que	αυτός	que	PRO;NOM;FEM;SG;3	PRO
όπου	alá	όπου	alá	ADV	ADV
όταν	se	όταν	se	CONJ	CONJ
μέχρι	ata	μέχρι	ata	ADP	ADP
μπορεί	poden	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
μπορεί	podo	μπορώ	podar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
μπορεί	podes	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
μπορεί	podemos	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
μπορεί	pode	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
ομάδα	grupo	ομάδα	grupo	N;ACC;FEM;SG	N
ομάδα	equipo	ομάδα	equipo	N;ACC;FEM;SG	N
θέση	posición	θέση	posición	N;ACC;FEM;SG	N
μεταξύ	entre	μεταξύ	entre	ADP	ADP
χρόνια	anos	χρόνος	ano	N;NOM;NEUT;PL	N
πιο	máis	πιο	máis	ADV	ADV
ένας	unha	ένας	un	DET;NOM;INDF;MASC;SG	DET
ένας	un	ένας	un	DET;NOM;INDF;MASC;SG	DET
πόλη	cidade	πόλη	cidade	N;NOM;FEM;SG	N
πόλη	pobo	πόλη	pobo	N;NOM;FEM;SG	N
πόλη	vila	πόλη	vila	N;NOM;FEM;SG	N
πόλη	aldea	πόλη	aldea	N;NOM;FEM;SG	N
πόλη	cidade	πόλη	cidade	N;NOM;FEM;SG	N
σύνδεσμοι	enlaces	σύνδεσμος	enlace	N;ACC;MASC;SG	N
σύνδεσμοι	ligazóns	σύνδεσμος	ligazón	N;ACC;MASC;SG	N
μόνο	só	μόνο	só	ADV	ADV
έγινε	fixen	γίνομαι	facer	V;PFV;IND;SG;3;PST;FIN;PASS	V
έγινε	fixemos	γίνομαι	facer	V;PFV;IND;SG;3;PST;FIN;PASS	V
έγινε	facer	γίνομαι	facer	V;PFV;IND;SG;3;PST;FIN;PASS	V
έγινε	fixeches	γίνομαι	fixeche	V;PFV;IND;SG;3;PST;FIN;PASS	V
πολύ	moi	πολύ	moi	ADV	ADV
περιοχή	rexión	περιοχή	rexión	N;NOM;FEM;SG	N
περιοχή	área	περιοχή	área	N;NOM;FEM;SG	N
περιοχή	zona	περιοχή	zona	N;NOM;FEM;SG	N
αιώνα	século	αιώνας	século	N;ACC;MASC;SG	N
έτσι	así	έτσι	así	ADV	ADV
