پنکھ	pinion	پنکھ	pinion	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پِننا	curata	پِن	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پَو	ace	پَو	ac		
پَو	zori	پَو	zori		
پُوچھنا	consulta	پُوچھ	consulta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پُوچھنا	consultă	پُوچھ	consulta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پُوچھنا	invita	پُوچھ	invita	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پُوچھنا	invită	پُوچھ	invita	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پُوچھنا	cere	پُوچھ	cere	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پُوچھنا	întreabă	پُوچھ	întreba	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
پوچھنا	curata	پوچھ	curată	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پوست	shell	پوست	shell		
پوست	shell	پوست	shell		
پوشیدہ	acoperit	پوشیدہ	acoperi	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	acoperită	پوشیدہ	acoperi	ADJ	ADJ;INDF;FEM;SG
پوشیدہ	acoperite	پوشیدہ	acoperit	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	voalate	پوشیدہ	voala	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	ascuns	پوشیدہ	ascuns	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	ascunsă	پوشیدہ	ascuns	ADJ	ADJ;INDF;FEM;SG
پوشیدہ	ascunse	پوشیدہ	ascuns	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	acoperit	پوشیدہ	acoperi	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	acoperită	پوشیدہ	acoperi	ADJ	ADJ;INDF;FEM;SG
پوشیدہ	acoperite	پوشیدہ	acoperit	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	voalate	پوشیدہ	voala	ADJ	ADJ;INDF;FEM;PL
پوشیدہ	secretă	پوشیدہ	secret	ADJ	ADJ;INDF;FEM;SG
پوشیدہ	ascuns	پوشیدہ	ascuns	ADJ	ADJ;INDF;MASC;SG
پوشیدہ	ascunsă	پوشیدہ	ascuns	ADJ	ADJ;INDF;FEM;SG
پوشیدہ	ascunse	پوشیدہ	ascuns	ADJ	ADJ;INDF;FEM;PL
پول	secret	پول	secret	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پونچنا	curata	پونچنا	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پونچھنا	curata	پونچھنا	curată	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہاڑ	mountain	پہاڑ	mountain	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پہاڑ	munte	پہاڑ	munte	N;NOM;MASC;SG;3	N;INDF;MASC;SG
پہچاننا	recunoaște	پہچان	recunoaște	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
پہچاننا	distinge	پہچان	distinge	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہچاننا	înțelege	پہچان	înțelege	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہچاننا	intelege	پہچان	intelege	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہچاننا	știu	پہچان	ști	V;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN
پہچاننا	recunoaște	پہچان	recunoaște	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
پہچاننا	distinge	پہچان	distinge	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہچاننا	înțelege	پہچان	înțelege	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہچاننا	intelege	پہچان	intelege	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہچاننا	știu	پہچان	ști	V;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN
پہچاننا	identifică	پہچان	identifica	V;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پہچاننا	identifica	پہچان	identifica	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہَل	side	پہَل	side		
پہلا	original	پہلا	original	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پہلومارنا	concura	پہلومارنا	concura	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہلومارنا	concurează	پہلومارنا	concura	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
پہنچانا	transmite	پہنچ	transmite	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچانا	cară	پہنچ	cară	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پہنچانا	transmite	پہنچ	transmite	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	dezvolta	پہنچ	dezvolta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہنچنا	dezvoltă	پہنچ	dezvolta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پہنچنا	înțelege	پہنچ	înțelege	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	intelege	پہنچ	intelege	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	primi	پہنچ	primi	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	primește	پہنچ	primi	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	vino	پہنچ	vino	V;MASC;SG;NFIN;ACT	V;IND;SG;2;PRS;FIN
پہنچنا	știu	پہنچ	ști	V;MASC;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN
پہنچنا	dezvolta	پہنچ	dezvolta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہنچنا	dezvoltă	پہنچ	dezvolta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پہنچنا	înțelege	پہنچ	înțelege	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	intelege	پہنچ	intelege	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	primi	پہنچ	primi	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	primește	پہنچ	primi	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پہنچنا	vino	پہنچ	vino	V;MASC;SG;NFIN;ACT	V;IND;SG;2;PRS;FIN
پہنچنا	știu	پہنچ	ști	V;MASC;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN
پہننا	purta	پہن	purta	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
پہننا	poartă	پہن	purta	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
پَے	marcu	پَہ	marcu		
پَے	tupeu	پَہ	tupeu		
پَے	trace	پَہ	trace		
پیار	dragoste	پیار	dragoste	N;NOM;MASC;SG;3	N;INDF;MASC
پیارا	iubit	پیارا	iubit	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	preferat	پیارا	preferat	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	favorit	پیارا	favori	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	fermecător	پیارا	fermecător	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	fermecătoare	پیارا	fermecător	ADJ;NOM;MASC;SG	ADJ;INDF;FEM
پیارا	iubit	پیارا	iubit	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	preferat	پیارا	preferat	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	favorit	پیارا	favori	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	fermecător	پیارا	fermecător	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
پیارا	fermecătoare	پیارا	fermecător	ADJ;NOM;MASC;SG	ADJ;INDF;FEM
پِیٹنا	bate	پِیٹ	bate	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پِیٹنا	câștigă	پِیٹ	câștiga	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پِیٹنا	înclină	پِیٹ	înclina	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
پِیٹنا	înclina	پِیٹ	înclina	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
