los	os	él	o	PRO;ACC;MASC;PL;3	PRO;ACC;MASC;PL;3
con	com	con	com	ADP	ADP
las	os	él	o	PRO;ACC;FEM;PL;3	PRO;ACC;MASC;PL;3
categoría	categoria	categoría	categoria	N;FEM;SG	N;FEM;SG
para	por	para	por	ADP	ADP
para	para	para	para	ADP	ADP
más	mais	más	mais	ADV	ADV
sus	suas	su	seu	DET;PL;3	DET;FEM;PL
también	igualmente	también	igualmente	ADV	ADV
también	também	también	também	ADV	ADV
también	também	también	também	ADV	ADV
también	demais	también	demais	ADV	ADV
entre	entre	entre	entre	ADP	ADP
este	esta	este	este	PRO;MASC;SG	PRO;FEM;SG
este	isso	este	isso	PRO;MASC;SG	PRO;MASC;SG
este	isto	este	isto	PRO;MASC;SG	PRO;MASC;SG
este	essa	este	esse	PRO;MASC;SG	PRO;FEM;SG
pero	mas	pero	mas	CONJ	CONJ
años	anos	año	ano	N;MASC;PL	N;MASC;PL
dos	duas	dos	dois	NUM;PL	NUM
dos	dois	dos	dois	NUM;PL	NUM
son	são	ser	ser	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
son	estão	ser	estar	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sobre	sobre	sobre	sobre	ADP	ADP
año	ano	año	ano	N;MASC;SG	N;MASC;SG
desde	desde	desde	desde	ADP	ADP
desde	de	desde	de	ADP	ADP
esta	esta	este	este	PRO;FEM;SG	PRO;FEM;SG
esta	isso	este	isso	PRO;FEM;SG	PRO;MASC;SG
esta	isto	este	isto	PRO;FEM;SG	PRO;MASC;SG
esta	essa	este	esse	PRO;FEM;SG	PRO;FEM;SG
enlaces	ligações	enlace	ligação	N;MASC;PL	N;FEM;PL
enlaces	links	enlace	link	N;MASC;PL	N;MASC;PL
externos	externos	externo	externo	ADJ;MASC;PL	ADJ;MASC;PL
ciudad	vila	ciudad	vila	N;FEM;SG	N;FEM;SG
ciudad	cidade	ciudad	cidade	N;FEM;SG	N;FEM;SG
ciudad	cidade	ciudad	cidade	N;FEM;SG	N;FEM;SG
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	N;MASC;SG
ser	sendo	ser	ser	V;NFIN	V;V.MSDR
ser	ser	ser	ser	V;NFIN	V;NFIN
ser	ser	ser	ser	V;NFIN	V;NFIN
parte	partido	parte	partido	N;FEM;SG	N;MASC;SG
parte	party	parte	party	N;FEM;SG	N;MASC;SG
parte	festa	parte	festa	N;FEM;SG	N;FEM;SG
parte	part	parte	part	N;FEM;SG	N;MASC;SG
parte	parte	parte	parte	N;FEM;SG	N;FEM;SG
durante	durante	durante	durante	ADP	ADP
sin	sem	sin	sem	ADP	ADP
san	san	san	san	N;MASC;SG	N;MASC;SG
san	santo	san	santo	N;MASC;SG	N;MASC;SG
san	saint	san	saint	N;MASC;SG	N;MASC;SG
san	santa	san	santo	N;MASC;SG	N;FEM;SG
era	estava	ser	estar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
nacional	nacional	nacional	nacional	ADJ;SG	ADJ;MASC;SG
nacional	nacional	nacional	nacional	ADJ;SG	ADJ;MASC;SG
primera	primeira	primero	primeiro	ADJ;FEM;SG	ADJ;FEM;SG
team	team	team	team	N	N;MASC;SG
team	equipa	team	equipa	N	N;FEM;SG
team	time	team	time	N	N;MASC;SG
team	equipe	team	equipe	N	N;FEM;SG
nombre	nome	nombre	nome	N;MASC;SG	N;MASC;SG
estados	estados	estado	estado	N;MASC;PL	N;MASC;PL
utc	utc	utc	utc	N	N;MASC;SG
siglo	siglo	siglo	siglo	N;MASC;SG	N;MASC;SG
siglo	século	siglo	século	N;MASC;SG	N;MASC;SG
siglo	century	siglo	century	N;MASC;SG	N;MASC;SG
después	depois	después	depois	ADV	ADV
después	depois	después	depois	ADV	ADV
españa	espanha	españa	espanha	N;FEM;SG	N;FEM;SG
tiene	tem	tener	ter	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
otros	outros	otro	outro	PRO;MASC;PL	PRO;MASC;PL
otros	outras	otro	outro	PRO;MASC;PL	PRO;FEM;PL
otros	outros	otro	outro	PRO;MASC;PL	PRO;MASC;PL
otros	outras	otro	outro	PRO;MASC;PL	PRO;FEM;PL
gran	grande	gran	grande	ADJ;SG	ADJ;MASC;SG
gran	ótima	gran	bom	ADJ;SG	ADJ;FEM;SG
gran	grande	gran	grande	ADJ;SG	ADJ;MASC;SG
gran	ótimo	gran	bom	ADJ;SG	ADJ;MASC;SG
gran	grandioso	gran	grandioso	ADJ;SG	ADJ;MASC;SG
puede	pode	poder	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
estado	status	estado	status	N;MASC;SG	N;MASC;SG
estado	estatuto	estado	estatuto	N;MASC;SG	N;MASC;SG
estado	estado	estado	estado	N;MASC;SG	N;MASC;SG
estado	state	estado	state	N;MASC;SG	N;MASC;SG
estado	estado	estado	estado	N;MASC;SG	N;MASC;SG
estado	condição	estado	condição	N;MASC;SG	N;FEM;SG
estado	estado	estado	estado	N;MASC;SG	N;MASC;SG
lugar	local	lugar	local	N;MASC;SG	N;MASC;SG
lugar	lugar	lugar	lugar	N;MASC;SG	N;MASC;SG
lugar	place	lugar	place	N;MASC;SG	N;MASC;SG
lugar	local	lugar	local	N;MASC;SG	N;MASC;SG
lugar	sítio	lugar	sítio	N;MASC;SG	N;MASC;SG
lugar	localização	lugar	localização	N;MASC;SG	N;FEM;SG
primer	primeira	primero	primeiro	ADJ;MASC;SG	ADJ;FEM;SG
población	população	población	população	N;FEM;SG	N;FEM;SG
muy	muito	mucho	muito	ADV	ADV
mismo	mesma	mismo	mesmo	ADJ;MASC;SG	ADJ;FEM;SG
nueva	novo	nuevo	novo	ADJ;FEM;SG	ADJ;MASC;SG
nueva	nova	nuevo	novo	ADJ;FEM;SG	ADJ;FEM;SG
fueron	foram	ser	ser	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN
historia	story	historia	story	N;FEM;SG	N;MASC;SG
historia	história	historia	história	N;FEM;SG	N;FEM;SG
historia	historia	historia	historia	N;FEM;SG	N;FEM;SG
historia	história	historia	história	N;FEM;SG	N;FEM;SG
club	club	club	club	N;MASC;SG	N;MASC;SG
club	clube	club	clube	N;MASC;SG	N;MASC;SG
eran	eram	ser	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
cual	qual	cual	qual	PRO;SG	PRO;MASC;SG
universidad	university	universidad	university	N;FEM;SG	N;MASC;SG
universidad	universidade	universidad	universidade	N;FEM;SG	N;FEM;SG
universidad	faculdade	universidad	faculdade	N;FEM;SG	N;FEM;SG
universidad	colégio	universidad	colégio	N;FEM;SG	N;MASC;SG
universidad	college	universidad	college	N;FEM;SG	N;MASC;SG
universidad	universidade	universidad	universidade	N;FEM;SG	N;FEM;SG
forma	forma	forma	forma	N;FEM;SG	N;FEM;SG
forma	shape	forma	shape	N;FEM;SG	N;MASC;SG
forma	forma	forma	forma	N;FEM;SG	N;FEM;SG
forma	formulário	forma	formulário	N;FEM;SG	N;MASC;SG
tres	tres	tres	tres	NUM;PL	NUM
tres	tres	tres	tres	NUM;PL	NUM
tres	três	tres	três	NUM;PL	NUM
grupo	grupo	grupo	grupo	N;MASC;SG	N;MASC;SG
general	geral	general	geral	N;SG	N;MASC;SG
general	general	general	general	N;SG	N;MASC;SG
guerra	guerra	guerra	guerra	N;FEM;SG	N;FEM;SG
guerra	war	guerra	war	N;FEM;SG	N;MASC;SG
aunque	embora	aunque	embora	CONJ	CONJ
aunque	embora	aunque	embora	CONJ	CONJ
tras	após	tras	após	ADP	ADP
familia	família	familia	família	N;FEM;SG	N;FEM;SG
familia	familia	familia	familia	N;FEM;SG	N;FEM;SG
además	igualmente	además	igualmente	ADV	ADV
además	também	además	também	ADV	ADV
todo	tudo	todo	tudo	PRO;MASC;SG	PRO;MASC;SG
todo	tudo	todo	tudo	PRO;MASC;SG	PRO;MASC;SG
sur	sul	sur	sul	N;MASC;SG	N;MASC;SG
sur	southern	sur	southern	N;MASC;SG	N;MASC;SG
sur	sur	sur	sur	N;MASC;SG	N;MASC;SG
sur	sul	sur	sul	N;MASC;SG	N;MASC;SG
sur	south	sur	south	N;MASC;SG	N;MASC;SG
tiempo	clima	tiempo	clima	N;MASC;SG	N;MASC;SG
tiempo	tempo	tiempo	tempo	N;MASC;SG	N;MASC;SG
tiempo	meteorologia	tiempo	meteorologia	N;MASC;SG	N;FEM;SG
tiempo	hora	tiempo	hora	N;MASC;SG	N;FEM;SG
tiempo	horário	tiempo	horário	N;MASC;SG	N;MASC;SG
tiempo	tempo	tiempo	tempo	N;MASC;SG	N;MASC;SG
tiempo	time	tiempo	time	N;MASC;SG	N;MASC;SG
provincia	província	provincia	província	N;FEM;SG	N;FEM;SG
partido	partido	partido	partido	N;MASC;SG	N;MASC;SG
partido	party	partido	party	N;MASC;SG	N;MASC;SG
partido	festa	partido	festa	N;MASC;SG	N;FEM;SG
partido	match	partido	match	N;MASC;SG	N;MASC;SG
contra	contra	contra	contra	ADP	ADP
contra	contra	contra	contra	ADP	ADP
encuentra	encontrar	encontrar	encontrar	V;IND;SG;3;PRS;FIN	V;NFIN
encuentra	encontra	encontrar	encontrar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
municipio	município	municipio	município	N;MASC;SG	N;MASC;SG
municipio	concelho	municipio	concelho	N;MASC;SG	N;MASC;SG
otras	outros	otro	outro	PRO;FEM;PL	PRO;MASC;PL
otras	outras	otro	outro	PRO;FEM;PL	PRO;FEM;PL
otras	outros	otro	outro	PRO;FEM;PL	PRO;MASC;PL
otras	outras	otro	outro	PRO;FEM;PL	PRO;FEM;PL
sido	sido	ser	ser	V;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
bajo	sob	bajo	sob	ADP	ADP
serie	série	serie	série	N;FEM;SG	N;FEM;SG
serie	serial	serie	serial	N;FEM;SG	N;MASC;SG
serie	seriado	serie	seriado	N;FEM;SG	N;MASC;SG
serie	série	serie	série	N;FEM;SG	N;FEM;SG
serie	serie	serie	seriar	N;FEM;SG	N;FEM;SG
fútbol	soccer	fútbol	soccer	N;MASC;SG	N;MASC;SG
fútbol	futebol	fútbol	futebol	N;MASC;SG	N;MASC;SG
fútbol	football	fútbol	football	N;MASC;SG	N;MASC;SG
fútbol	futebol	fútbol	futebol	N;MASC;SG	N;MASC;SG
equipo	equipamento	equipo	equipamento	N;MASC;SG	N;MASC;SG
equipo	team	equipo	team	N;MASC;SG	N;MASC;SG
equipo	equipa	equipo	equipa	N;MASC;SG	N;FEM;SG
equipo	time	equipo	time	N;MASC;SG	N;MASC;SG
equipo	equipe	equipo	equipe	N;MASC;SG	N;FEM;SG
norte	norte	norte	norte	N;MASC;SG	N;MASC;SG
norte	norte	norte	norte	N;MASC;SG	N;MASC;SG
norte	north	norte	north	N;MASC;SG	N;MASC;SG
norte	norte	norte	norte	N;MASC;SG	N;MASC;SG
norte	northern	norte	northern	N;MASC;SG	N;MASC;SG
norte	nord	norte	nord	N;MASC;SG	N;MASC;SG
río	rio	río	rio	N;MASC;SG	N;MASC;SG
río	rio	río	rio	N;MASC;SG	N;MASC;SG
méxico	méxico	méxico	méxico	N;MASC;SG	N;MASC;SG
méxico	mexico	méxico	mexico	N;MASC;SG	N;MASC;SG
inglés	ingles	inglés	ingle	N;MASC;SG	N;MASC;SG
inglés	inglês	inglés	inglês	N;MASC;SG	N;MASC;SG
nuevo	novo	nuevo	novo	ADJ;MASC;SG	ADJ;MASC;SG
nuevo	nova	nuevo	novo	ADJ;MASC;SG	ADJ;FEM;SG
véase	veja	véase	ver	V;SBJV;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
véase	ver	véase	ver	V;SBJV;SG;3;PRS;FIN	V;NFIN
septiembre	setembro	septiembre	setembro	N	N;MASC;SG
octubre	outubro	octubre	outubro	N	N;MASC;SG
segunda	segunda	segundo	segundo	ADJ;FEM;SG	ADJ;FEM;SG
discusión	discussão	discusión	discussão	N;FEM;SG	N;FEM;SG
