jako	като	jako	като	CONJ	CONJ
roce	година	rok	година	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
roce	годината	rok	година	N;INAN;GEN;MASC;SG;POS	N;DEF;FEM;SG
pro	за	pro	за	ADP;ACC	ADP
roku	година	rok	година	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
roku	годината	rok	година	N;INAN;GEN;MASC;SG;POS	N;DEF;FEM;SG
jeho	неговият	jeho	мой	DET;3	DET;DEF;MASC;SG;3
jeho	неговата	jeho	мой	DET;3	DET;DEF;FEM;SG;3
jeho	неговия	jeho	мой	DET;3	DET;DEF;MASC;SG;3
ale	но	ale	но	CONJ	CONJ
také	също	také	също	ADV	ADV
odkazy	препратки	odkaz	препратка	N;INAN;NOM;MASC;PL;POS	N;INDF;FEM;PL
odkazy	препоръки	odkaz	препоръка	N;INAN;NOM;MASC;PL;POS	N;INDF;FEM;PL
odkazy	позовавания	odkaz	позовавам-(се)	N;INAN;NOM;MASC;PL;POS	N;INDF;NEUT;PL
odkazy	връзки	odkaz	връзка	N;INAN;NOM;MASC;PL;POS	N;INDF;FEM;PL
externí	външна	externí	външен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
externí	външен	externí	външен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
team	отбор	team	отбор	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
team	отбора	team	отбор	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
team	екип	team	екип	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
první	първи	první	първи	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
mezi	сред	mezi	сред	ADP;ACC	ADP
mezi	между	mezi	между	ADP;ACC	ADP
zde	тук	zde	там	ADV	ADV
let	полета	rok	поле	N;GEN;NEUT;PL;POS	N;INDF;NEUT;PL
let	години	rok	година	N;GEN;NEUT;PL;POS	N;INDF;FEM;PL
let	годините	rok	година	N;GEN;NEUT;PL;POS	N;DEF;FEM;PL
místo	място	místo	място	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
místo	местоположение	místo	местоположение	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
místo	място	místo	място	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
místo	местонахождение	místo	местонахождение	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
místo	локация	místo	локация	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
století	век	století	век	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
století	века	století	век	N;NOM;NEUT;SG;POS	N;DEF;MASC;SG
mba	mba	mba	mba	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
pod	под	pod	под	ADP;ACC	ADP
další	друг	další	друг	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
další	следващ	další	следвам	ADJ;NOM;MASC;SG;POS	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
další	следваща	další	следвам	ADJ;NOM;MASC;SG;POS	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
pak	тогава	pak	тогава	ADV	ADV
jejich	тяхното	jeho	наш	DET;3	DET;DEF;NEUT;SG;3
jejich	тяхната	jeho	наш	DET;3	DET;DEF;FEM;SG;3
jejich	техните	jeho	наш	DET;3	DET;DEF;PL;3
jejich	техният	jeho	наш	DET;3	DET;DEF;MASC;SG;3
jejich	тяхна	jeho	наш	DET;3	DET;INDF;FEM;SG;3
jejich	тяхната	jeho	наш	DET;3	DET;DEF;FEM;SG;3
jejich	техните	jeho	наш	DET;3	DET;DEF;PL;3
jejich	техен	jeho	наш	DET;3	DET;INDF;MASC;SG;3
již	вече	již	вече	ADV	ADV
české	чешки	český	чешка	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
české	чешката	český	чешки	ADJ;NOM;MASC;SG;POS	ADJ;DEF;FEM;SG
české	чешка	český	чешка	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
září	септември	září	септември	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
města	градове	město	град	N;NOM;NEUT;PL;POS	N;INDF;MASC;PL
města	градовете	město	град	N;NOM;NEUT;PL;POS	N;DEF;MASC;PL
města	градчета	město	градче	N;NOM;NEUT;PL;POS	N;INDF;NEUT;PL
města	градове	město	град	N;NOM;NEUT;PL;POS	N;INDF;MASC;PL
města	градовете	město	град	N;NOM;NEUT;PL;POS	N;DEF;MASC;PL
území	територия	území	територия	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
území	територията	území	територия	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
český	чешки	český	чешка	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
český	чешката	český	чешки	ADJ;INAN;NOM;MASC;SG;POS	ADJ;DEF;FEM;SG
český	чешка	český	чешка	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
pouze	само	pouze	само	ADV	ADV
pouze	единствено	pouze	единствено	ADV	ADV
články	изделия	článek	изделие	N;INAN;NOM;MASC;PL;POS	N;INDF;NEUT;PL
články	статии	článek	статия	N;INAN;NOM;MASC;PL;POS	N;INDF;FEM;PL
články	артикули	článek	артикул	N;INAN;NOM;MASC;PL;POS	N;INDF;MASC;PL
její	нейната	jeho	мой	DET;NOM;FEM;SG;3	DET;DEF;FEM;SG;3
její	неин	jeho	неин	DET;NOM;FEM;SG;3	DET;INDF;MASC;SG;3
její	нейният	jeho	мой	DET;NOM;FEM;SG;3	DET;DEF;MASC;SG;3
její	нейна	jeho	мой	DET;NOM;FEM;SG;3	DET;INDF;FEM;SG;3
proti	срещу	proti	срещу	ADP;DAT	ADP
proti	против	proti	против	ADP;DAT	ADP
část	част	část	част	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
části	части	část	част	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
října	октомври	říjen	октомври	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
listopadu	ноември	listopad	ноември	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
socorro	сокоро	socorro	сокоро	N;NOM;MASC;SG;POS	N;INDF;MASC;SG
března	март	březen	март	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
bar	бар	bar	бар	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
bar	барът	bar	бар	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
obce	общините	obec	община	N;NOM;FEM;PL;POS	N;DEF;FEM;PL
obce	общини	obec	община	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
obce	комуни	obec	комуна	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
obce	общности	obec	общност	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
obce	общностите	obec	общност	N;NOM;FEM;PL;POS	N;DEF;FEM;PL
