yang	это	yang	это	PRO	PRO;INAN;NOM;NEUT;SG
dan	и	dan	и	CONJ	CONJ
dari	от	dari	от	ADP	ADP
dari	из	dari	из	ADP	ADP
ini	эта	ini	этот	DET	DET;NOM;FEM;SG
ini	этот	ini	этот	DET	DET;NOM;MASC;SG
dengan	с	dengan	с	ADP	ADP
untuk	для	untuk	для	ADP	ADP
untuk	за	untuk	за	ADP	ADP
tahun	год	tahun	год	N;SG	N;INAN;NOM;MASC;SG
juga	также	juga	также	ADV	ADV
tidak	не	tidak	не	PART;NEG	PART
menjadi	стань	menjadi	стань	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
bagian	секция	bagian	секция	N;SG	N;INAN;NOM;FEM;SG
bagian	раздел	bagian	раздел	N;SG	N;INAN;NOM;MASC;SG
bagian	часть	bagian	часть	N;SG	N;INAN;NOM;FEM;SG
spesies	вид	spesies	вид	N;SG	N;INAN;NOM;MASC;SG
dapat	можно	dapat	можно	ADV;SG;ACT	ADV
orang	человек	orang	человек	N;SG	N;ANIM;NOM;MASC;SG
orang	народ	orang	народ	N;SG	N;INAN;NOM;MASC;SG
mereka	их	mereka	они	PRO;PL;3	PRO;ACC;PL;3
mereka	они	mereka	они	PRO;PL;3	PRO;NOM;PL;3
satu	один	satu	один	NUM	NUM;NOM;MASC
memiliki	имеет	menmiliki	иметь	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
memiliki	иметь	menmiliki	иметь	V;SG;ACT	V;IPFV;NFIN;ACT
kota	город	kota	город	N;SG	N;INAN;NOM;MASC;SG
kota	городок	kota	городок	N;SG	N;INAN;NOM;MASC;SG
kota	город	kota	город	N;SG	N;INAN;NOM;MASC;SG
pranala	линк	pranala	линк	N;SG	N;INAN;NOM;MASC;SG
pranala	ссылка	pranala	ссылка	N;SG	N;INAN;NOM;FEM;SG
pranala	ссылку	pranala	ссылка	N;SG	N;INAN;ACC;FEM;SG
desa	деревне	desa	деревня	N;SG	N;INAN;DAT;FEM;SG
desa	село	desa	село	N;SG	N;INAN;NOM;NEUT;SG
desa	деревня	desa	деревня	N;SG	N;INAN;NOM;FEM;SG
ada	существует	ada	существовать	V;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
lebih	более	lebih	более	ADV	ADV;CMPR
lebih	больше	lebih	больше	ADV	ADV;CMPR
lebih	еще	lebih	еще	ADV	ADV
nama	имя	nama	имя	N;SG	N;INAN;NOM;NEUT;SG
nama	название	nama	название	N;SG	N;INAN;NOM;NEUT;SG
kayu	дерево	kayu	дерево	N;SG	N;INAN;NOM;NEUT;SG
kayu	древесина	kayu	древесина	N;SG	N;INAN;NOM;FEM;SG
kayu	вуд	kayu	вуд	N;SG	N;ANIM;NOM;MASC;SG
kayu	древесина	kayu	древесина	N;SG	N;INAN;NOM;FEM;SG
setelah	после	setelah	после	ADP	ADP
bahasa	язык	bahasa	язык	N;SG	N;INAN;NOM;MASC;SG
asteroid	астероидов	asteroid	астероид	N	N;INAN;GEN;MASC;PL
asteroid	астероид	asteroid	астероид	N	N;INAN;NOM;MASC;SG
lain	другой	lain	другой	ADJ;SG	ADJ;NOM;MASC;SG
lain	другая	lain	другой	ADJ;SG	ADJ;NOM;FEM;SG
lain	другое	lain	другой	ADJ;SG	ADJ;NOM;NEUT;SG
besar	большой	besar	большой	ADJ;SG	ADJ;NOM;MASC;SG
besar	крупный	besar	крупный	ADJ;SG	ADJ;NOM;MASC;SG
besar	большая	besar	большой	ADJ;SG	ADJ;NOM;FEM;SG
besar	большая	besar	большой	ADJ;SG	ADJ;NOM;FEM;SG
besar	большой	besar	большой	ADJ;SG	ADJ;NOM;MASC;SG
film	фильм	film	фильм	N;SG	N;INAN;NOM;MASC;SG
film	кино	film	кино	N;SG	N;INAN;NOM;NEUT;SG
film	фильм	film	фильм	N;SG	N;INAN;NOM;MASC;SG
