the	de	the	de	DET;DEF	DET;DEF
and	en	and	en	CONJ	CONJ
was	was	be	zijn	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
that	dat	that	dat	PRO;SG	PRO;3
with	met	with	met	ADP	ADP
this	dit	this	dit	PRO;SG	PRO;3
this	deze	this	deze	PRO;SG	PRO
are	zijn	be	zijn	V;IND;PRS;FIN	V;PL;PRS;FIN
talk	praten	talk	praten	V;IMP;FIN	V;NFIN
talk	praat	talk	praten	V;IMP;FIN	V;SG;PRS;FIN
which	welke	which	welk	PRO	PRO
also	ook	also	ook	ADV	ADV
were	waren	be	zijn	V;IND;PST;FIN	V;PL;PST;FIN
but	maar	but	maar	CONJ	CONJ
have	hebben	have	hebben	V;IMP;FIN	V;PL;PRS;FIN
one	één	one	één	NUM	NUM
new	nieuw	new	nieuw	ADJ	ADJ
new	nieuwe	new	nieuw	ADJ	ADJ
first	eerst	first	eerst	ADV	ADV
page	bladzijde	page	bladzijde	N;SG	N;MASC+FEM;SG
page	pagina	page	pagina	N;SG	N;MASC+FEM;SG
you	jou	you	jou	PRO;ACC;2	PRO;ACC;2
they	ze	they	ze	PRO;NOM;PL;3	PRO;3
they	zij	they	zij	PRO;NOM;PL;3	PRO;NOM;3
had	hadden	have	hebben	V;IND;PST;FIN	V;PL;PST;FIN
had	had	have	hebben	V;IND;PST;FIN	V;SG;PST;FIN
had	gehad	have	hebben	V;IND;PST;FIN	V;V.PTCP
article	artikel	article	artikel	N;SG	N;NEUT;SG
who	wie	who	wie	PRO	PRO;3
all	alle	all	al	DET	DET
their	hun	they	hun	PRO;PL;3	PRO;ACC;3
there	daar	there	daar	ADV	ADV
there	er	there	er	ADV	ADV
made	gemaakt	make	maken	V;PST;V.PTCP	V;V.PTCP
people	mensen	people	mens	N;PL	N;PL
people	personen	people	persoon	N;PL	N;PL
may	mag	may	mogen	V;FIN	V;SG;PRS;FIN
may	moge	may	mogen	V;FIN	V;SG;PRS;FIN
other	overige	other	overig	ADJ	ADJ
other	andere	other	ander	ADJ	ADJ
other	ander	other	ander	ADJ	ADJ
