szkła	glas	szkło	glas	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
wirtualny	virtuell	wirtualny	virtuell	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
wirtualny	virtuellt	wirtualny	virtuell	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
mnich	munken	mnichy	munke	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
mnich	munk	mnichy	munk	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mur	logg	mur	logg	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
mur	väggen	mur	vägg	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
mur	vägg	mur	vägg	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mur	mur	mur	mur	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
cyclingarchives	cyclingarchives	cyclingarchives	cyclingarchives	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
ustanowiony	fastställd	ustanowić	fastställd	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ustanowiony	inrättad	ustanowić	inrätta	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ustanowiony	etablerad	ustanowić	etablerad	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ustanowiony	etablerat	ustanowić	etablera	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
rozporządzenie	stadga	rozporządzenie	stadga	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
rozporządzenie	förordning	rozporządzenie	förordning	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
rozporządzenie	föreskrift	rozporządzenie	föreskrift	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
