podijelili	chia	podijeliti	chia	V;MASC;PL;PST;V.PTCP;ACT	V
bat	dơi	bat	dơi	N;NOM;MASC;SG	N
artakserkso	artaxerxes	artakserkso	artaxerxes	N;NOM;MASC;SG	N
hrabrosti	dũng	hrabrost	dũng	N;NOM;FEM;PL	N
nogometaši	footballers	nogometaš	footballers	N;NOM;MASC;PL	N
oskar	oscar	oskar	oscar	N;NOM;MASC;SG	N
okretaja	rpm	okretaj	rpm	N;GEN;MASC;SG	N
stolu	bàn	stol	bàn	N;DAT;MASC;SG	N
orijentaciju	hướng	orijentacija	hướng	N;ACC;FEM;SG	N
jules	jules	jules	jules	N;NOM;MASC;SG	N
tata	bố	tata	bố	N;NOM;MASC;SG	N
tata	bố	tata	bố	N;NOM;MASC;SG	N
korijeni	rễ	korijen	rễ	N;NOM;MASC;PL	N
thunb	thunb	thunb	thunb		
memorija	ức	memorija	ức	N;NOM;FEM;SG	N
kapelu	chapel	kapela	chapel	N;ACC;FEM;SG	N
iphone	iphone	iphon	iphone	N;NOM;MASC;SG	N
duboka	sâu	dubok	sâu	ADJ;NOM;DEF;FEM;SG	ADJ
marta	marta	mart	marta	N;NOM;FEM;SG	N
slanje	phái	slanje	phái	N;NOM;NEUT;SG	N
okupljanje	reunion	okupljanje	reunion	N;NOM;NEUT;SG	N
krumpir	khoai	krumpir	khoai	N;NOM;MASC;SG	N
ruta	rô	ruta	rô	N;NOM;FEM;SG	N
kartice	bài	kartica	bài	N;NOM;FEM;PL	N
kartice	thẻ	kartica	thẻ	N;NOM;FEM;PL	N
utc+	utc+	utc+	utc+		
aden	aden	aden	aden	N;NOM;MASC;SG	N
rolls	cuộn	rolls	cuộn	N;NOM;MASC;SG	N
junaci	heroes	junak	heroes	N;NOM;MASC;PL	N
mane	mane	mal	mane	N;NOM;FEM;PL	N
mane	bờm	mal	bờm	N;NOM;FEM;PL	N
domingo	domingo	doming	domingo	N;NOM;MASC;SG	N
hildebrand	hildebrand	hildebrand	hildebrand	N;NOM;MASC;SG	N
odisej	odysseus	odisej	odysseus	N;NOM;MASC;SG	N
odisej	odyssey	odisej	odyssey	N;NOM;MASC;SG	N
odisej	odysseus	odisej	odysseus	N;NOM;MASC;SG	N
odisej	ulysses	odisej	ulysses	N;NOM;MASC;SG	N
upozorenje	cảnh	upozorenje	cảnh	N;NOM;NEUT;SG	N
željezničar	željezničar	željezničar	željezničar	N;NOM;MASC;SG	N
ispuniti	điền	ispuniti	điền	V;NFIN	V
baja	baja	baja	baja	N;NOM;MASC;SG	N
sklonosti	inclination	sklonost	inclination	N;NOM;FEM;PL	N
segment	đoạn	segment	đoạn	N;NOM;MASC;SG	N
adrian	adrian	adrian	adrian	N;NOM;MASC;SG	N
jackie	jackie	jakki	jackie	N;NOM;MASC;SG	N
aethes	aethes	aethes	aethes		
andrews	andrews	andrews	andrews	N;NOM;MASC;SG	N
deportivo	deportivo	deportivo	deportivo	N;NOM;MASC;SG	N
lotus	lotus	lotus	lotus	N;NOM;MASC;SG	N
mastering	mastering	mastering	mastering	N;NOM;MASC;SG	N
radost	joy	radost	joy	N;NOM;FEM;SG	N
zeppelin	zeppelin	zeppelin	zeppelin	N;NOM;MASC;SG	N
pčele	ong	pčeti	ong	N;NOM;FEM;PL	N
frodo	frodo	frodo	frodo	N;NOM;MASC;SG	N
nin	nin	nin	nin	N;NOM;MASC;SG	N
tigar	tiger	tigar	tiger	N;NOM;MASC;SG	N
tigar	cọp	tigar	cọp	N;NOM;MASC;SG	N
tigar	hổ	tigar	hổ	N;NOM;MASC;SG	N
osvete	thù	osveta	thù	N;NOM;FEM;PL	N
lambert	lambert	lambert	lambert	N;NOM;MASC;SG	N
plaćati	trả	plaćati	trả	V;NFIN	V
mazz	mazz	mazz	mazz		
dečko	trai	dečko	trai	N;NOM;MASC;SG	N
dečko	bé	dečko	bé	N;NOM;MASC;SG	N
dečko	boyfriend	dečko	boyfriend	N;NOM;MASC;SG	N
ograničenje	hạn	ograničenje	hạn	N;NOM;NEUT;SG	N
struka	eo	struka	eo	N;NOM;FEM;SG	N
struka	hông	struka	hông	N;NOM;FEM;SG	N
turpin	turpin	turpin	turpin		
griseb	griseb	griseb	griseb		
hindu	hindu	hind	hindu	N;NOM;MASC;SG	N
osveta	thù	osvet	thù	N;NOM;FEM;SG	N
ada	ada	ada	ada		
jakob	jakob	jakob	jakob	N;NOM;MASC;SG	N
proslava	lễ	proslava	lễ	N;NOM;FEM;SG	N
močvara	lầy	močvar	lầy	N;NOM;FEM;SG	N
močvara	lầy	močvar	lầy	N;NOM;FEM;SG	N
aizoaceae	aizoaceae	aizoacea	aizoaceae	N;NOM;MASC;SG	N
inteligencija	pet	inteligencija	pet	N;NOM;FEM;SG	N
jelen	hươu	jelen	hươu	N;NOM;MASC;SG	N
kanjon	canyon	kanjon	canyon	N;NOM;MASC;SG	N
kanjon	hẻm	kanjon	hẻm	N;NOM;MASC;SG	N
sparta	sparta	spart	sparta	N;NOM;FEM;SG	N
dogovoreno	thuận	dogovoren	thuận	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	ADJ
java	java	jav	java	N;NOM;FEM;SG	N
sirius	sirius	sirius	sirius	N;NOM;MASC;SG	N
kipovi	tượng	kip	tượng	N;NOM;MASC;PL	N
molitvu	nguyện	molitva	nguyện	N;ACC;FEM;SG	N
platon	platon	platon	platon	N;NOM;MASC;SG	N
platon	plato	platon	plato	N;NOM;MASC;SG	N
jasminum	jasminum	jasminum	jasminum	N;NOM;MASC;SG	N
bonaldo	bonaldo	bonaldo	bonaldo		
intel	intel	intel	intel	N;NOM;MASC;SG	N
žita	lúa	žito	lúa	N;NOM;NEUT;PL	N
žita	hạt	žito	hạt	N;NOM;NEUT;PL	N
aleksej	alexei	aleksej	alexei	N;NOM;MASC;SG	N
aleksej	aleksey	aleksej	aleksey	N;NOM;MASC;SG	N
gavran	quạ	gavran	quạ	N;NOM;MASC;SG	N
uskrsnuće	resurrection	uskrsnuće	resurrection	N;NOM;NEUT;SG	N
plodnosti	fertility	plodnost	fertility	N;NOM;FEM;PL	N
blokira	chặn	blokirati	chặn	V;IND;SG;3;PRS;FIN	V
ogromna	huge	ogroman	huge	ADJ;NOM;DEF;FEM;SG	ADJ
bordeaux	bordeaux	bordeaux	bordeaux	N;NOM;MASC;SG	N
plašt	cape	plašt	cape	N;NOM;MASC;SG	N
plašt	choàng	plašt	choàng	N;NOM;MASC;SG	N
zhuang	trang	zhuangti	trang	N;NOM;MASC;SG	N
torres	torres	torres	torres	N;NOM;MASC;SG	N
javier	javier	javier	javier	N;NOM;MASC;SG	N
kubi	cuba	kubiti	cuba	N;DAT;FEM;SG	N
gong	gong	gong	gong	N;NOM;MASC;SG	N
paket	gói	paket	gói	N;NOM;MASC;SG	N
slavlje	lễ	slavlje	lễ	N;NOM;NEUT;SG	N
vjetrovi	gió	vjetar	gió	N;NOM;MASC;PL	N
torontu	toronto	toront	toronto	N;DAT;MASC;SG	N
sumrak	twilight	sumrak	twilight	N;NOM;MASC;SG	N
jacq	jacq	jak	jacq		
kane	kane	kana	kane	N;NOM;MASC;SG	N
gnu	gnu	gno	gnu	N;NOM;MASC;SG	N
maraton	marathon	maraton	marathon	N;NOM;MASC;SG	N
nalaz	finding	nalaz	finding	N;NOM;MASC;SG	N
leona	leona	leon	leona	N;ACC;MASC;SG	N
vijak	bolt	vijak	bolt	N;NOM;MASC;SG	N
teodor	teodor	teodor	teodor	N;NOM;MASC;SG	N
louvre	louvre	louvra	louvre	N;NOM;MASC;SG	N
erwin	erwin	erwin	erwin	N;NOM;MASC;SG	N
enzim	enzyme	enzim	enzyme	N;NOM;MASC;SG	N
enzim	enzym	enzim	enzym	N;NOM;MASC;SG	N
ligue	ligue	ligua	ligue	N;NOM;MASC;SG	N
darwin	darwin	darwin	darwin	N;NOM;MASC;SG	N
monarh	monarch	monarh	monarch	N;NOM;MASC;SG	N
močvare	lầy	močvar	lầy	N;NOM;FEM;PL	N
močvare	lầy	močvar	lầy	N;NOM;FEM;PL	N
nasljeđe	inheritance	nasljeđe	inheritance	N;NOM;NEUT;SG	N
konje	ngựa	konje	ngựa	N;ACC;MASC;PL	N
indicus	indicus	indicus	indicus	N;NOM;MASC;SG	N
concordia	concordia	concordia	concordia	N;NOM;MASC;SG	N
bajka	fairytale	bajka	fairytale	N;NOM;FEM;SG	N
nicole	nicole	nicol	nicole	N;NOM;FEM;SG	N
monticola	monticola	monticol	monticola	N;NOM;MASC;SG	N
hladna	lạnh	hladan	lạnh	ADJ;NOM;DEF;FEM;SG	ADJ
beton	tông	beton	tông	N;NOM;MASC;SG	N
inspiraciju	inspiration	inspiracija	inspiration	N;ACC;FEM;SG	N
reticulata	reticulata	reticult	reticulata	N;NOM;MASC;SG	N
veneciju	venice	venecija	venice	N;ACC;FEM;SG	N
veneciju	venezia	venecija	venezia	N;ACC;FEM;SG	N
nagib	dốc	nagib	dốc	N;NOM;MASC;SG	N
boj	trận	boj	trận	N;NOM;MASC;SG	N
bundesliga	bundesliga	bundesliga	bundesliga	N;NOM;FEM;SG	N
granu	cành	grana	cành	N;ACC;FEM;SG	N
granu	nhánh	grana	nhánh	N;ACC;FEM;SG	N
usne	môi	usna	môi	N;NOM;FEM;PL	N
mcdonald	mcdonald	mcdonald	mcdonald	N;NOM;MASC;SG	N
mcdonald	mcdonalds	mcdonald	mcdonalds	N;NOM;MASC;SG	N
duo	duo	duo	duo	N;NOM;MASC;SG	N
uvoz	danh	uvoz	danh	N;NOM;MASC;SG	N
uvoz	imports	uvoz	imports	N;NOM;MASC;SG	N
smanji	giảm	smanjiti	giảm	V;IND;SG;3;PRS;FIN	V
smanji	giảm	smanjiti	giảm	V;IND;SG;3;PRS;FIN	V
milost	ân	milost	ân	N;NOM;FEM;SG	N
hawk	hawk	hawk	hawk	N;NOM;MASC;SG	N
verm	verm	verh	verm		
lao	lào	lao	lào	N;NOM;MASC;SG	N
bremen	bremen	bremen	bremen	N;NOM;MASC;SG	N
heroji	heroes	heroj	heroes	N;NOM;MASC;PL	N
bura	bora	bura	bora	N;NOM;FEM;SG	N
browne	browne	browan	browne	N;NOM;FEM;SG	N
maccabi	maccabi	maccab	maccabi	N;NOM;MASC;SG	N
funk	funk	funk	funk	N;NOM;MASC;SG	N
mast	mỡ	mast	mỡ	N;NOM;FEM;SG	N
mast	mỡ	mast	mỡ	N;NOM;FEM;SG	N
osovina	trục	osovina	trục	N;NOM;FEM;SG	N
ornata	ornata	ornat	ornata	N;NOM;MASC;SG	N
hymenoptera	hymenoptera	hymenoptera	hymenoptera	N;ANIM;ACC;MASC;SG	N
mez	mez	mez	mez		
bishop	bishop	bishop	bishop	N;NOM;MASC;SG	N
communis	communis	communis	communis	N;NOM;MASC;SG	N
maroku	morocco	marok	morocco	N;DAT;MASC;SG	N
maroku	maroc	marok	maroc	N;DAT;MASC;SG	N
oblaci	mây	oblak	mây	N;NOM;MASC;PL	N
autobus	bus	autobus	bus	N;NOM;MASC;SG	N
lisice	cáo	lisica	cáo	N;NOM;FEM;PL	N
naredba	huy	naredba	huy	N;NOM;FEM;SG	N
naredba	lềnh	naredba	lềnh	N;NOM;FEM;SG	N
protežu	duỗi	protež	duỗi	V;IND;PL;3;PRS;FIN	V
protežu	căng	protež	căng	V;IND;PL;3;PRS;FIN	V
miao	miêu	miao	miêu	N;NOM;MASC;SG	N
bogart	bogart	bogart	bogart	N;NOM;MASC;SG	N
schleswig	schleswig	schlest	schleswig	N;NOM;MASC;SG	N
annonaceae	annonaceae	annonacea	annonaceae	N;NOM;MASC;SG	N
pamuk	pamuk	pamuk	pamuk	N;NOM;MASC;SG	N
pamuk	bông	pamuk	bông	N;NOM;MASC;SG	N
pamuk	cotton	pamuk	cotton	N;NOM;MASC;SG	N
franca	franca	franac	franca	N;NOM;MASC;SG	N
vlasi	lông	vlas	lông	N;NOM;FEM;PL	N
kaos	chaos	kaos	chaos	N;NOM;MASC;SG	N
krava	bò	krava	bò	N;NOM;FEM;SG	N
blata	bùn	blat	bùn	N;NOM;FEM;PL	N
haagu	hague	haag	hague	N;DAT;MASC;SG	N
haagu	hag	haag	hag	N;DAT;MASC;SG	N
torre	torre	torra	torre	N;NOM;MASC;SG	N
bach	bach	bach	bach	N;NOM;MASC;SG	N
