категория	kategória	категория	kategória	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
что	čo	что	čo	PRO;NOM	PRO;NOM;NEUT;SG
для	pre	для	pre	ADP	ADP;ACC
был	bola	быть	byť	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
был	bol	быть	byť	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
был	bolo	быть	byť	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
его	ho	он	on	PRO;ACC;MASC;SG;3	PRO;ANIM;ACC;MASC;SG;3
также	takisto	также	takisto	ADV	ADV
также	taktiež	также	taktiež	ADV	ADV
после	po	после	po	ADP	ADP;ESS
области	plochy	область	plocha	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
области	oblasti	область	oblasť	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
год	rok	год	rok	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
было	bola	быть	byť	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
было	bol	быть	byť	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
было	bolo	быть	byť	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
время	čas	время	čas	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
время	doba	время	doba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
состав	zloženie	состав	zloženie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
место	mieste	место	miesto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	miesto	место	miesto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	spot	место	spot	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
место	miesto	место	miesto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	place	место	placať	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
место	umiestnenie	место	umiestnenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	miesto	место	miesto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
место	poloha	место	poloha	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
место	lokalita	место	lokalita	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
были	boli	быть	byť	V;IPFV;IND;PL;PST;FIN;ACT	V;IPFV;MASC;PL;POS;PST;V.PTCP
район	štvrť	район	štvrť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
район	susedstvo	район	susedstvo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
район	okolie	район	okolie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
район	obvod	район	obvod	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
район	okrsok	район	okrsok	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
район	oblasť	район	oblasť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
район	plocha	район	plocha	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
вид	druh	вид	druh	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
вид	výhľad	вид	výhľad	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
вид	pohľad	вид	pohľad	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
вид	zobrazenie	вид	zobrazenie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
под	pod	под	pod	ADP	ADP;INS
под	podľa	под	podľa	ADP	ADP;GEN
только	iba	только	iba	PART	PART
только	len	только	len	PART	PART
только	iba	только	iba	PART	PART
только	len	только	len	PART	PART
только	proste	только	prost	PART	PART
язык	jazyk	язык	jazyk	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
язык	jazyk	язык	jazyk	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
код	kód	код	kód	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
код	kod	код	kod	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
мая	mája	май	máj	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
дата	dátum	дата	dátum	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
ноября	novembra	ноябрь	november	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
деревня	dedinka	деревня	dedinka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
деревня	dedina	деревня	dedina	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
деревня	obec	деревня	obec	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
где	kde	где	kde	ADV	ADV
где	kam	где	kam	ADV	ADV
января	januára	январь	január	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
марта	marca	март	marec	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
октября	októbra	октябрь	október	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
сентября	septembra	сентябрь	september	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
статьи	články	статья	článok	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
статьи	predmety	статья	predmet	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
июня	júna	июнь	jún	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
апреля	apríla	апрель	apríl	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
название	názov	название	názov	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
название	meno	название	meno	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
название	názov	название	názov	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
название	hlava	название	hlava	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
название	titul	название	tituť	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
