men	ama	men	ama	CONJ	CONJ
lenker	prangalar	lank	pranga	N;INDF;FEM;PL	N;NOM;PL;3
lenker	zincirler	lank	zincir	N;INDF;FEM;PL	N;NOM;PL;3
lenker	zincirleri	lank	zincir	N;INDF;FEM;PL	N;NOM;PL;3
lenker	bağlantılar	lank	bağlantı	N;INDF;FEM;PL	N;NOM;PL;3
lenker	bağlantıları	lank	bağlantı	N;INDF;FEM;PL	N;NOM;PL;3
hadde	vardı	ha	var	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST
sin	onun	sin	o	PRO;MASC;SG	PRO;GEN;SG;3
hans	onun	hans	o	PRO;NEUT;SG	PRO;GEN;SG;3
blir	kalıyorum	bli	kal	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
blir	kalmak	bli	kal	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
blir	kalıyor	bli	kal	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
blir	kalıyoruz	bli	kal	V;IND;PRS;FIN	V;PROG;IND;PL;1;POS;INFM;PRS
del	paylaşın	dele	paylaş	V;IMP;FIN	V;PFV;IMP;PL;2;POS;PRS
tre	üç	tre	üç	NUM;PL	NUM
vil	istiyorum	vilje	iste	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
skal	gitmek	skulle	git	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
skal	gidiyorum	skulle	git	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
skal	gidiyor	skulle	git	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
annet	diğeri	annet	diğer	N;INDF;NEUT;SG	N;NOM;SG;3
samme	aynısı	samme	aynı	N;INDF;NEUT;SG	N;NOM;SG;3
bare	yalnızca	bare	yalnızca	ADV	ADV
bare	sadece	bare	sadece	ADV	ADV
bare	sadece	bare	sadece	ADV	ADV
kommune	belediyeye	kommune	belediye	N;INDF;MASC;SG	N;DAT;SG;3
ord	kelimeler	ord	kelime	N;INDF;NEUT;PL	N;NOM;PL;3
ord	sözcükler	ord	sözcük	N;INDF;NEUT;PL	N;NOM;PL;3
ord	sözler	ord	söz	N;INDF;NEUT;PL	N;NOM;PL;3
sine	onların	sin	o	PRO;PL	PRO;GEN;PL;3
gikk	yürüdüm	gå	yürü	V;IND;PST;FIN	V;PFV;IND;SG;1;POS;PST
gikk	yürüdü	gå	yürü	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST
navn	adınız	navn	adınız	N;INDF;NEUT;SG	N;NOM;SG;3
navn	isim	navn	isim	N;INDF;NEUT;SG	N;NOM;SG;3
navn	ad	navn	ad	N;INDF;NEUT;SG	N;NOM;SG;3
navn	adı	navn	ad	N;INDF;NEUT;SG	N;NOM;SG;3
dag	gün	dag	gün	N;INDF;MASC;SG	N;NOM;SG;3
navnet	adınız	navn	adınız	N;DEF;NEUT;SG	N;NOM;SG;3
navnet	isim	navn	isim	N;DEF;NEUT;SG	N;NOM;SG;3
navnet	ad	navn	ad	N;DEF;NEUT;SG	N;NOM;SG;3
navnet	adı	navn	ad	N;DEF;NEUT;SG	N;NOM;SG;3
nye	yeni	ny	yeni	ADJ;PL	ADJ
tid	zaman	tid	zaman	N;INDF;FEM;SG	N;NOM;SG;3
tid	süre	tid	süre	N;INDF;FEM;SG	N;NOM;SG;3
gang	zaman	gang	zaman	N;INDF;MASC;SG	N;NOM;SG;3
