par	za	par	za		
arī	tudi	arī	tudi	PART	PART
bija	imelo	būt	imeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;NEUT;SG;V.PTCP
bija	imeli	būt	imeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
bija	imel	būt	imeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
bija	imela	būt	imeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
bija	bil	būt	biti	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;V.PTCP
bija	bila	būt	biti	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;V.PTCP
kas	kdo	kas	kdo	PRO;NOM	PRO;NOM;MASC;SG
bet	toda	bet	toda	CONJ	CONJ
bet	ampak	bet	ampak	CONJ	CONJ
bet	vendar	bet	vendar	CONJ	CONJ
saites	vezi	saite	vez	N;NOM;FEM;PL	N;NOM;FEM;PL
saites	povezave	saite	povezava	N;NOM;FEM;PL	N;NOM;FEM;PL
dzimis	rodil	dzimt	roditi	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
valsts	dežela	valsts	dežela	N;NOM;FEM;SG	N;NOM;FEM;SG
valsts	država	valsts	država	N;NOM;FEM;SG	N;NOM;FEM;SG
valsts	stanje	valsts	stanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
valsts	država	valsts	država	N;NOM;FEM;SG	N;NOM;FEM;SG
nav	ni	nebūt	biti	V;FH;IND;3;NEG;PRS;FIN;ACT	V;IND;SG;3;NEG;PRS;FIN
atrodas	nahaja	atrasties	nahajati	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
tikai	le	tikai	le	PART	PART
tikai	samo	tikai	samo	PART	PART
tikai	le	tikai	le	PART	PART
tikai	samo	tikai	samo	PART	PART
viņa	ona	viņa	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
kad	kdaj	kad	kdaj	ADV	ADV
pilsētas	mesta	pilsēta	mesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
pilsētas	mesta	pilsēta	mesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
pilsētas	mesti	pilsēta	mesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
kur	kje	kur	kje	ADV	ADV
vieta	prizorišče	vieta	prizorišče	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	plac	vieta	plac	N;NOM;FEM;SG	N;NOM;MASC;SG
vieta	kraj	vieta	kraj	N;NOM;FEM;SG	N;NOM;MASC;SG
vieta	lokacija	vieta	lokacija	N;NOM;FEM;SG	N;NOM;FEM;SG
kara	vojna	karš	vojna	N;NOM;MASC;SG	N;NOM;FEM;SG
iela	ulica	iela	ulica	N;NOM;FEM;SG	N;NOM;FEM;SG
miris	preminil	mirt	preminiti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
miris	umrl	mirt	umreti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
kopā	skupaj	kopā	skupaj	ADV	ADV
kopā	skupaj	kopā	skupaj	ADV	ADV
attēls	slika	attēls	slika	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	podoba	attēls	podoba	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	slika	attēls	slika	N;NOM;MASC;SG	N;NOM;FEM;SG
starp	med	starp	med	ADP	ADP;INS
pilsēta	mesto	pilsēta	mesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
pilsēta	mesto	pilsēta	mesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
vēlāk	pozneje	vēlu	pozno	ADV;CMPR	ADV;CMPR
vēlāk	kasneje	vēlu	kasno	ADV;CMPR	ADV;CMPR
viens	ena	viens	en	NUM;NOM;MASC;SG	NUM;NOM;FEM;SG
viens	en	viens	en	NUM;NOM;MASC;SG	NUM;NOM;MASC;SG
viens	eden	viens	eden	NUM;NOM;MASC;SG	NUM;NOM;MASC;SG
viens	eno	viens	en	NUM;NOM;MASC;SG	NUM;NOM;NEUT;SG
pret	proti	pret	proti	ADP	ADP;DAT
pret	zoper	pret	zoper	ADP	ADP;ACC
taču	toda	taču	toda	CONJ	CONJ
taču	ampak	taču	ampak	CONJ	CONJ
taču	vendar	taču	vendar	CONJ	CONJ
ļoti	zelo	ļoti	zelo	ADV	ADV
vācu	nemec	vāci	nemec	N;NOM;MASC;SG	N;NOM;MASC;SG
vācu	nemščina	vāci	nemščina	N;NOM;MASC;SG	N;NOM;FEM;SG
vēl	vseeno	vēl	vseeno	ADV	ADV
viena	ena	viena	en	NUM;NOM;FEM;SG	NUM;NOM;FEM;SG
viena	en	viena	en	NUM;NOM;FEM;SG	NUM;NOM;MASC;SG
viena	eden	viena	eden	NUM;NOM;FEM;SG	NUM;NOM;MASC;SG
viena	eno	viena	en	NUM;NOM;FEM;SG	NUM;NOM;NEUT;SG
vairāk	bolj	daudz	bolj	ADV;CMPR	ADV;CMPR
daļa	del	daļa	del	N;NOM;FEM;SG	N;NOM;MASC;SG
tad	potem	tad	potem	ADV	ADV
pirms	pred	pirms	pred	ADP	ADP;INS
zemes	zemljišča	zeme	zemljišče	N;NOM;FEM;PL	N;NOM;NEUT;PL
zemes	tla	zeme	tla	N;NOM;FEM;PL	N;NOM;NEUT;PL
šaha	šah	šahs	šah	N;NOM;MASC;SG	N;NOM;MASC;SG
kura	čigav	kura	čigav	PRO;NOM;FEM;SG	PRO;NOM;MASC;SG
pirmā	prva	pirmā	prvi	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
centrs	središče	centrs	središče	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	center	centrs	center	N;NOM;MASC;SG	N;NOM;MASC;SG
centrs	središče	centrs	središče	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	center	centrs	center	N;NOM;MASC;SG	N;NOM;MASC;SG
kurš	kdo	kurš	kdo	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
trīs	tri	trīs	trije	NUM;NOM;MASC;PL	NUM;NOM;FEM;PL
trīs	trije	trīs	trije	NUM;NOM;MASC;PL	NUM;NOM;MASC;PL
trīs	tremi	trīs	trije	NUM;NOM;MASC;PL	NUM;NOM;FEM;PL
viņu	ga	viņš	on	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
parasti	običajno	parasti	običajno	ADV	ADV
parasti	navadno	parasti	navadno	ADV	ADV
parasti	ponavadi	parasti	ponavadi	ADV	ADV
parasti	običajno	parasti	običajno	ADV	ADV
parasti	običajno	parasti	običajno	ADV	ADV
pat	celo	pat	celo	PART	PART
jūras	marinec	jūra	marinec	N;NOM;FEM;SG	N;NOM;MASC;SG
http	http	http	http	N	N;NOM;MASC;SG
pirmais	prva	pirmais	prvi	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
