年	jaar	年	jaar	N	N;NEUT;SG
月	maan	月	maan	N	N;MASC+FEM;SG
月	moon	月	moon	N	N;MASC+FEM;SG
月	maanden	月	maanden	N	N;PL
月	maandje	月	maand	N	N;NEUT;SG
月	maand	月	maand	N	N;MASC+FEM;SG
村	dorpje	村	dorp	N	N;NEUT;SG
村	dorp	村	dorp	N	N;NEUT;SG
人	man	人	man	N	N;MASC+FEM;SG
人	mensen	人	mens	N	N;PL
人	personen	人	persoon	N	N;PL
重	heavy	重	heavy	N	N;MASC+FEM;SG
一	één	一	één	NUM	NUM
定	gerichte	定	richten	V	V;V.PTCP
也	ook	也	ook	ADV	ADV
留言	bericht	留言	bericht	N	N;NEUT;SG
留言	boodschap	留言	boodschap	N	N;MASC+FEM;SG
留言	berichtje	留言	bericht	N	N;NEUT;SG
市	stad	市	stad	N	N;MASC+FEM;SG
站	station	站	station	N	N;NEUT;SG
站	stand	站	stand	N	N;MASC+FEM;SG
州	state	州	state	N	N;MASC+FEM;SG
研究	studeer	研究	studeer	V	V;SG;PRS;FIN
研究	studeren	研究	studeren	V	V;NFIN
研究	bestuderen	研究	bestuderen	V	V;NFIN
三	drie	三	drie	NUM	NUM
家	home	家	home	N	N;MASC+FEM;SG
家	huis	家	huis	N	N;NEUT;SG
家	startpagina	家	startpagina	N	N;MASC+FEM;SG
米	rijst	米	rijst	N	N;MASC+FEM;SG
米	meters	米	meter	N	N;PL
米	meter	米	meter	N	N;MASC+FEM;SG
使用	gebruiken	使用	gebruiken	V	V;NFIN
使用	gebruiken	使用	gebruiken	V	V;NFIN
使用	gebruikt	使用	gebruiken	V	V;V.PTCP
使用	gebruikte	使用	gebruiken	V	V;SG;PST;FIN
公司	corporate	公司	corporaat	N	N;MASC+FEM;SG
公司	gezelschap	公司	gezelschap	N	N;NEUT;SG
公司	bedrijf	公司	bedrijf	N	N;NEUT;SG
公司	onderneming	公司	onderneming	N	N;MASC+FEM;SG
公司	bedrijven	公司	bedrijf	N	N;PL
一	één	一	één	NUM	NUM
西	west	西	west	N	N;MASC+FEM;SG
西	westen	西	westen	N	N;NEUT;SG
省	provincie	省	provincie	N	N;MASC+FEM;SG
省	gouvernement	省	gouvernement	N	N;NEUT;SG
度	graden	度	graad	N	N;PL
度	graad	度	graad	N	N;MASC+FEM;SG
二	twee	二	twee	NUM	NUM
區	gebied	區	gebied	N	N;NEUT;SG
區	zone	區	zone	N	N;MASC+FEM;SG
區	district	區	district	N	N;NEUT;SG
區	gebied	區	gebied	N	N;NEUT;SG
區	oppervlakte	區	oppervlakte	N	N;MASC+FEM;SG
人口	demografie	人口	demografie	N	N;MASC+FEM;SG
人口	demografie	人口	demografie	N	N;MASC+FEM;SG
人口	bevolking	人口	bevolking	N	N;MASC+FEM;SG
人口	populatie	人口	populatie	N	N;MASC+FEM;SG
四	vier	四	vier	NUM	NUM
政府	overheden	政府	overheid	N	N;PL
政府	regeringen	政府	regering	N	N;PL
政府	regering	政府	regering	N	N;MASC+FEM;SG
政府	overheid	政府	overheid	N	N;MASC+FEM;SG
集	set	集	set	N	N;MASC+FEM;SG
集	episode	集	episode	N	N;MASC+FEM;SG
集	aflevering	集	aflevering	N	N;MASC+FEM;SG
世界	wereld	世界	wereld	N	N;MASC+FEM;SG
南	nan	南	nan	N	N;MASC+FEM;SG
南	zuiden	南	zuiden	N	N;NEUT;SG
五	vijf	五	vijf	NUM	NUM
文	wen	文	wen	N	N;MASC+FEM;SG
人民	mensen	人民	mens	N	N;PL
人民	personen	人民	persoon	N	N;PL
包括	inbegrepen	包括	inbegrip	V	V;V.PTCP
包括	omvat	包括	omvatten	V	V;SG;PRS;FIN
位	gelokaliseerd	位	lokaliseren	V	V;V.PTCP
塔	pagode	塔	pagode	N	N;MASC+FEM;SG
塔	tower	塔	tower	N	N;MASC+FEM;SG
塔	toren	塔	toren	N	N;MASC+FEM;SG
縣	county	縣	county	N	N;MASC+FEM;SG
縣	graafschap	縣	graafschap	N	N;NEUT;SG
縣	kanton	縣	kanton	N	N;NEUT;SG
任	ren	任	ren	N	N;MASC+FEM;SG
時間	tijd	時間	tijd	N	N;MASC+FEM;SG
六	zes	六	zes	NUM	NUM
城	stad	城	stad	N	N;MASC+FEM;SG
城	kasteel	城	kasteel	N	N;NEUT;SG
中心	centra	中心	centrum	N	N;PL
中心	centrum	中心	centrum	N	N;NEUT;SG
中心	centrum	中心	centrum	N	N;NEUT;SG
線	line	線	lin	N	N;MASC+FEM;SG
線	lijn	線	lijn	N	N;MASC+FEM;SG
線	lijnen	線	lijn	N	N;PL
線	draad	線	draad	N	N;MASC+FEM;SG
山	berg	山	berg	N	N;MASC+FEM;SG
山	mount	山	mounen	N	N;MASC+FEM;SG
山	heuvel	山	heuvel	N	N;MASC+FEM;SG
山	hill	山	hill	N	N;MASC+FEM;SG
太空	ruimte	太空	ruimte	N	N;MASC+FEM;SG
太空	spatie	太空	spatie	N	N;MASC+FEM;SG
自己	mijzelf	自己	mijzelf	PRO	PRO;ACC;1
自己	mezelf	自己	mezelf	PRO	PRO;ACC;1
自己	ikzelf	自己	ikzelf	PRO	PRO;NOM;1
內	binnenste	內	binnen	N	N;MASC+FEM;SG
管理	managen	管理	managen	V	V;NFIN
管理	beheren	管理	beheren	V	V;NFIN
管理	managen	管理	managen	V	V;NFIN
管理	beheren	管理	beheren	V	V;NFIN
建	bouwen	建	bouwen	V	V;NFIN
建	opbouwen	建	opbouwen	V	V;NFIN
建	gebouwde	建	bouwen	V	V;V.PTCP
建	gebouwd	建	bouwen	V	V;V.PTCP
性	seksualiteit	性	seksualiteit	N	N;MASC+FEM;SG
性	seks	性	seks	N	N;MASC+FEM;SG
性	geslacht	性	geslacht	N	N;NEUT;SG
性	sex	性	sex	N	N;MASC+FEM;SG
成	gezongen	成	zingen	V	V;V.PTCP
代表	vertegenwoordigers	代表	vertegenwoordiger	N	N;PL
