年	рік	年	рік	N	N;INAN;NOM;MASC;SG
月	місяця	月	місяць	N	N;INAN;GEN;MASC;SG
月	місяць	月	місяць	N	N;INAN;NOM;MASC;SG
月	супутник	月	супутник	N	N;INAN;NOM;MASC;SG
月	місяці	月	місяць	N	N;INAN;NOM;MASC;PL
月	місяцями	月	місяцями	N	N;INAN;INS;MASC;PL
月	місяців	月	місяць	N	N;INAN;GEN;MASC;PL
月	місяця	月	місяць	N	N;INAN;GEN;MASC;SG
月	місяць	月	місяць	N	N;INAN;NOM;MASC;SG
村	село	村	село	N	N;INAN;NOM;NEUT;SG
人	людина	人	людина	N	N;ANIM;NOM;FEM;SG
人	чоловік	人	чоловік	N	N;ANIM;NOM;MASC;SG
人	мужчина	人	мужчина	N	N;ANIM;NOM;MASC;SG
人	народ	人	народ	N	N;INAN;NOM;MASC;SG
人	людей	人	людина	N	N;ANIM;ACC;FEM;PL
人	люди	人	людина	N	N;ANIM;NOM;FEM;PL
一	одна	一	один	NUM	NUM;NOM;FEM
一	один	一	один	NUM	NUM;NOM;MASC
也	також	也	також	ADV	ADV
留言	повідомлення	留言	повідомлення	N	N;INAN;NOM;NEUT;SG
市	місто	市	місто	N	N;INAN;NOM;NEUT;SG
市	муніципалітет	市	муніципалітет	N	N;INAN;NOM;MASC;SG
市	край	市	край	N	N;INAN;NOM;MASC;SG
站	станція	站	станція	N	N;INAN;NOM;FEM;SG
站	станції	站	станція	N	N;INAN;NOM;FEM;PL
站	вокзал	站	вокзал	N	N;INAN;NOM;MASC;SG
站	стенд	站	стенд	N	N;INAN;NOM;MASC;SG
州	стан	州	стан	N	N;INAN;NOM;MASC;SG
州	держава	州	держава	N	N;INAN;NOM;FEM;SG
研究	вивчає	研究	вивчати	V	V;IPFV;IND;SG;3;PRS;FIN
三	три	三	три	NUM	NUM;NOM
家	дім	家	дім	N	N;INAN;NOM;MASC;SG
家	домівка	家	домівка	N	N;INAN;NOM;FEM;SG
米	рис	米	риса	N	N;INAN;GEN;FEM;PL
米	рису	米	риса	N	N;INAN;ACC;FEM;SG
米	метрів	米	метр	N	N;INAN;GEN;MASC;PL
米	метри	米	метр	N	N;INAN;NOM;MASC;PL
使用	використати	使用	використати	V	V;PFV;NFIN
使用	використовувати	使用	використовувати	V	V;IPFV;NFIN
使用	використовується	使用	використовуватися	V	V;IPFV;IND;SG;3;PRS;FIN
使用	використано	使用	використати	V	V;PFV;IND;0;FIN
公司	відділу	公司	відділ	N	N;INAN;GEN;MASC;SG
公司	компанія	公司	компанія	N	N;INAN;NOM;FEM;SG
公司	компанії	公司	компанія	N	N;INAN;NOM;FEM;PL
公司	компаній	公司	компанія	N	N;INAN;GEN;FEM;PL
公司	компаніями	公司	компанія	N	N;INAN;INS;FEM;PL
一	одна	一	один	NUM	NUM;NOM;FEM
一	один	一	один	NUM	NUM;NOM;MASC
西	захід	西	захід	N	N;INAN;NOM;MASC;SG
省	провінція	省	провінція	N	N;INAN;NOM;FEM;SG
省	губернія	省	губернія	N	N;INAN;NOM;FEM;SG
省	воєводство	省	воєводство	N	N;INAN;NOM;NEUT;SG
度	градуси	度	градус	N	N;INAN;NOM;MASC;PL
度	градусів	度	градус	N	N;INAN;GEN;MASC;PL
度	градус	度	градус	N	N;INAN;NOM;MASC;SG
度	ступінь	度	ступінь	N	N;INAN;NOM;MASC;SG
二	два	二	два	NUM	NUM;NOM;MASC
二	дві	二	два	NUM	NUM;NOM;FEM
二	двоє	二	двоє	NUM	NUM;NOM
二	двох	二	два	NUM	NUM;ACC
區	зона	區	зона	N	N;INAN;NOM;FEM;SG
區	улус	區	улус	N	N;INAN;NOM;MASC;SG
區	округ	區	округ	N	N;INAN;NOM;MASC;SG
區	район	區	район	N	N;INAN;NOM;MASC;SG
區	область	區	область	N	N;INAN;NOM;FEM;SG
區	ділянка	區	ділянка	N	N;INAN;NOM;FEM;SG
區	площа	區	площа	N	N;INAN;NOM;FEM;SG
區	місцевість	區	місцевість	N	N;INAN;NOM;FEM;SG
人口	населення	人口	населення	N	N;INAN;NOM;NEUT;SG
人口	населення	人口	населення	N	N;INAN;NOM;NEUT;SG
四	чотирьох	四	чотири	NUM	NUM;NOM
四	чотири	四	чотири	NUM	NUM;NOM
政府	уряди	政府	уряд	N	N;INAN;NOM;MASC;PL
政府	правління	政府	правління	N	N;INAN;NOM;NEUT;SG
政府	уряд	政府	уряд	N	N;INAN;NOM;MASC;SG
將	буде	將	бути	V;CAUS	V;IPFV;IND;SG;3;FUT;FIN
將	будуть	將	бути	V;CAUS	V;IPFV;IND;PL;3;FUT;FIN
集	комплект	集	комплект	N	N;INAN;NOM;MASC;SG
集	набір	集	набір	N	N;INAN;NOM;MASC;SG
集	множина	集	множина	N	N;INAN;NOM;FEM;SG
集	епізод	集	епізод	N	N;INAN;NOM;MASC;SG
世界	світ	世界	світ	N	N;INAN;NOM;MASC;SG
世界	світе	世界	світи	N	N;INAN;NOM;MASC;SG
南	південь	南	південь	N	N;INAN;NOM;MASC;SG
路	дорога	路	дорога	N	N;INAN;NOM;FEM;SG
人民	народ	人民	народ	N	N;INAN;NOM;MASC;SG
人民	людей	人民	людина	N	N;ANIM;ACC;FEM;PL
人民	люди	人民	людина	N	N;ANIM;NOM;FEM;PL
包括	включено	包括	включити	V	V;PFV;IND;0;FIN
包括	включити	包括	включити	V	V;PFV;NFIN
包括	включати	包括	включати	V	V;IPFV;NFIN
包括	включаючи	包括	включати	V	V;IPFV;PRS;V.CVB
包括	входить	包括	входити	V	V;IPFV;IND;SG;3;PRS;FIN
包括	включає	包括	включати	V	V;IPFV;IND;SG;3;PRS;FIN
位	знаходиться	位	знаходитися	V	V;IPFV;IND;SG;3;PRS;FIN
位	розташовано	位	розташовано	V	V;PFV;IND;0;FIN
其他	інший	其他	інший	DET	DET;NOM;MASC;SG
其他	інша	其他	інший	DET	DET;NOM;FEM;SG
其他	інші	其他	інший	DET	DET;NOM;PL
其他	інше	其他	інший	DET	DET;NOM;NEUT;SG
其他	інших	其他	інший	DET	DET;GEN;PL
其他	інших	其他	інший	DET	DET;GEN;PL
其他	інші	其他	інший	DET	DET;NOM;PL
其他	іншими	其他	інший	DET	DET;INS;PL
塔	вежа	塔	вежа	N	N;INAN;NOM;FEM;SG
塔	башта	塔	башта	N	N;INAN;NOM;FEM;SG
縣	графство	縣	графство	N	N;INAN;NOM;NEUT;SG
縣	повіт	縣	повіт	N	N;INAN;NOM;MASC;SG
縣	жупанія	縣	жупанія	N	N;INAN;NOM;FEM;SG
縣	кантон	縣	кантон	N	N;INAN;NOM;MASC;SG
時間	тайм	時間	тайм	N	N;INAN;NOM;MASC;SG
時間	час	時間	час	N	N;INAN;NOM;MASC;SG
六	шість	六	шість	NUM	NUM;NOM
六	шестеро	六	шестеро	NUM	NUM;NOM
城	місто	城	місто	N	N;INAN;NOM;NEUT;SG
城	замок	城	замка	N	N;INAN;NOM;MASC;SG
中心	центрів	中心	центр	N	N;INAN;GEN;MASC;PL
中心	центрами	中心	центр	N	N;INAN;INS;MASC;PL
中心	центр	中心	центр	N	N;INAN;NOM;MASC;SG
中心	центр	中心	центр	N	N;INAN;NOM;MASC;SG
線	лінія	線	лінія	N	N;INAN;NOM;FEM;SG
線	рядок	線	рядок	N	N;INAN;NOM;MASC;SG
線	рядка	線	рядок	N	N;INAN;GEN;MASC;SG
線	лінії	線	лінія	N	N;INAN;NOM;FEM;PL
線	рядками	線	рядок	N	N;INAN;INS;MASC;PL
線	рядків	線	рядок	N	N;INAN;GEN;MASC;PL
線	лініями	線	лінія	N	N;INAN;INS;FEM;PL
線	рядки	線	рядок	N	N;INAN;NOM;MASC;PL
線	нитки	線	нитка	N	N;INAN;NOM;FEM;PL
線	гілка	線	гілка	N	N;INAN;NOM;FEM;SG
山	гора	山	гора	N	N;INAN;NOM;FEM;SG
山	гора	山	гора	N	N;INAN;NOM;FEM;SG
山	монтування	山	монтування	N	N;INAN;NOM;NEUT;SG
山	пагорб	山	пагірб	N	N;INAN;NOM;MASC;SG
山	гори	山	гора	N	N;INAN;NOM;FEM;PL
太空	простору	太空	простір	N	N;INAN;GEN;MASC;SG
