for	dla	for	dla	ADP	ADP
der	tam	der	tam	ADV	ADV
var	była	være	być	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
var	był	være	być	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
var	było	være	być	V;IND;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
var	były	være	być	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
var	byli	være	być	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;PL;PST;FIN;ACT
blev	była	blive	być	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
blev	był	blive	być	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
blev	było	blive	być	V;IND;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
blev	pozostał	blive	pozostać	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
har	mam	have	mieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
har	posiada	have	posiadać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
har	ma	have	mieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
har	posiadać	have	posiadać	V;IND;PRS;FIN;ACT	V;IPFV;NFIN;ACT
har	mają	have	mieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
har	mieć	have	mieć	V;IND;PRS;FIN;ACT	V;IPFV;NFIN;ACT
men	ale	men	ale	CONJ	CONJ
kan	może	kunne	móc	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kan	można	kunne	można	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
hvor	gdzie	hvor	gdzie	ADV	ADV
havde	mial	have	mial	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
havde	miał	have	mieć	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
havde	miała	have	mieć	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
havde	miał	have	mieć	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
under	niżej	under	nisko	ADV	ADV;CMPR
over	wyżej	over	wysoko	ADV	ADV;CMPR
første	pierwszy	første	pierwszy	ADJ	ADJ;NOM;MASC;SG
første	pierwsze	første	pierwszy	ADJ	ADJ;NOM;NEUT;SG
første	pierwsza	første	pierwszy	ADJ	ADJ;NOM;FEM;SG
henvisninger	referencje	henvisning	referencja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
henvisninger	odnośniki	henvisning	odnośnik	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
henvisninger	referencje	henvisning	referencja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
dansk	duńskie	dansk	duński	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
