από	de	από	de	ADP	ADP
με	com	με	com	ADP	ADP
που	qual	που	qual	PRO;ACC;NEUT;SG;3	PRO;MASC;SG
για	por	για	por	ADP	ADP
για	para	για	para	ADP	ADP
κατηγορία	categoria	κατηγορία	categoria	N;NOM;FEM;SG	N;FEM;SG
ένα	um	ένας	um	NUM;NOM;NEUT;SG	NUM
ένα	uma	ένας	um	NUM;NOM;NEUT;SG	NUM
μια	um	ένας	um	NUM;NOM;FEM;SG	NUM
μια	uma	ένας	um	NUM;NOM;FEM;SG	NUM
έχει	tem	έχω	ter	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
αλλά	mas	αλλά	mas	CONJ	CONJ
μετά	então	μετά	então	ADV	ADV
μετά	depois	μετά	depois	ADV	ADV
μετά	depois	μετά	depois	ADV	ADV
επίσης	igualmente	επίσης	igualmente	ADV	ADV
επίσης	também	επίσης	também	ADV	ADV
όπως	como	όπως	como	ADV	ADV
είχε	teve	έχω	ter	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
δύο	duas	δύο	dois	NUM;NOM;MASC;PL	NUM
δύο	dois	δύο	dois	NUM;NOM;MASC;PL	NUM
αυτό	esta	αυτός	este	PRO;NOM;NEUT;SG;3	PRO;FEM;SG
αυτό	isso	αυτός	isso	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
αυτό	isto	αυτός	isto	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
αυτό	essa	αυτός	esse	PRO;NOM;NEUT;SG;3	PRO;FEM;SG
αυτό	essa	αυτός	esse	PRO;NOM;NEUT;SG;3	PRO;FEM;SG
αυτό	isso	αυτός	isso	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
όπου	aonde	όπου	aonde	ADV	ADV
όπου	onde	όπου	onde	ADV	ADV
μία	um	ένας	um	NUM;NOM;FEM;SG	NUM
μία	uma	ένας	um	NUM;NOM;FEM;SG	NUM
μπορεί	pode	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ομάδα	squad	ομάδα	squad	N;ACC;FEM;SG	N;MASC;SG
ομάδα	pelotão	ομάδα	pelotão	N;ACC;FEM;SG	N;MASC;SG
ομάδα	esquadrão	ομάδα	esquadrão	N;ACC;FEM;SG	N;MASC;SG
ομάδα	grupo	ομάδα	grupo	N;ACC;FEM;SG	N;MASC;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	N;MASC;SG
ομάδα	equipa	ομάδα	equipa	N;ACC;FEM;SG	N;FEM;SG
ομάδα	time	ομάδα	time	N;ACC;FEM;SG	N;MASC;SG
ομάδα	equipe	ομάδα	equipe	N;ACC;FEM;SG	N;FEM;SG
θέση	posição	θέση	posição	N;ACC;FEM;SG	N;FEM;SG
μεταξύ	entre	μεταξύ	entre	ADP	ADP
