분류	categoría	분류	categoría	N	N
선수	músicos	선수	músico	N	N
선수	entidades	선수	entidade	N	N
축구	fútbol	축구	fútbol	N	N
영화	filmes	영화	filme	N	N
영화	película	영화	película	N	N
영화	filme	영화	filme	N	N
영화	cine	영화	cinir	N	N
영화	cinema	영화	cinema	N	N
영화	película	영화	película	N	N
영화	filme	영화	filme	N	N
영화	filmes	영화	filme	N	N
영화	cinema	영화	cinema	N	N
그는	el	그+는	el	PRO	PRO
그는	que	그+는	que	PRO	PRO
현재	momento	현재	momento	N	N
현재	agasallo	현재	agasallo	N	N
사람	persoa	사람	persoa	N	N
사람	home	사람	home	N	N
사람	xente	사람	xente	N	N
사람	persoas	사람	persoa	N	N
사람	pobo	사람	pobo	N	N
배우	actores	배우	actor	N	N
배우	actriz	배우	actriz	N	N
배우	actor	배우	actor	N	N
또는	ou	또는	ou	CONJ	CONJ
그리고	e	그리고	e	CONJ	CONJ
그러나	pero	그러나	pero	CONJ	CONJ
그러나	pero	그러나	pero	CONJ	CONJ
그러나	mais	그러나	mais	CONJ	CONJ
파일	arquivos	파일	arquivo	N	N
다시	máis	다시	máis	ADV	ADV
다시	atrás	다시	atrás	ADV	ADV
공식	fórmula	공식	fórmula	N	N
세기	séculos	세기	século	N	N
세기	século	세기	século	N	N
세계	mundo	세계	mundo	N	N
세계	mundos	세계	mundo	N	N
하지만	pero	하지만	pero	CONJ	CONJ
하지만	mais	하지만	mais	CONJ	CONJ
게임	partido	게임	partido	N	N
게임	xogo	게임	xogo	N	N
게임	videoxogos	게임	videoxogos	N	N
게임	xogos	게임	xogo	N	N
게임	videoxogos	게임	videoxogos	N	N
텔레비전	televisión	텔레비전	televisión	N	N
텔레비전	tele	텔레비전	telar	N	N
텔레비전	programa	텔레비전	programa	N	N
텔레비전	televisión	텔레비전	televisión	N	N
텔레비전	tele	텔레비전	telar	N	N
감독	dirección	감독	dirección	N	N
학교	escolas	학교	escola	N	N
학교	instituto	학교	instituto	N	N
학교	escola	학교	escola	N	N
학교	colexio	학교	colexio	N	N
사용자	usuario	사용자	usuario	N	N
참가	participación	참가	participación	N	N
경기	partido	경기	partido	N	N
경기	xogo	경기	xogo	N	N
경기	videoxogos	경기	videoxogos	N	N
특히	especialmente	특히	especial	ADV	ADV
특히	moi	특히	moi	ADV	ADV
특히	particularmente	특히	particular	ADV	ADV
특히	especialmente	특히	especial	ADV	ADV
대학교	universidade	대학교	universidade	N	N
대학교	universidades	대학교	universidade	N	N
대학교	universidade	대학교	universidade	N	N
대학교	na	대학교	na	N	N
대학교	estudantes	대학교	estudantes	N	N
대학교	facultade	대학교	facultade	N	N
대학교	colexio	대학교	colexio	N	N
문서	documentos	문서	documento	N	N
문서	documento	문서	documento	N	N
그림	imaxes	그림	imaxe	N	N
그림	foto	그림	foto	N	N
그림	imaxe	그림	imaxe	N	N
그림	fotografía	그림	fotografía	N	N
그림	imaxe	그림	imaxe	N	N
매우	moi	매우	moi	ADV	ADV
지역	área	지역	área	N	N
지역	zona	지역	zona	N	N
지역	rexión	지역	rexión	N	N
지역	rexións	지역	rexión	N	N
목록	lista	목록	lista	N	N
목록	listaxe	목록	listaxe	N	N
주로	principalmente	주로	principal	ADV	ADV
주로	maiormente	주로	maiormente	ADV	ADV
주로	maioritariamente	주로	maioritariamente	ADV	ADV
많이	moito	많이	moito	ADV	ADV
많이	moito	많이	moito	ADV	ADV
많이	máis	많이	máis	ADV	ADV
많이	tanto	많이	tanto	ADV	ADV
도시	cidade	도시	cidade	N	N
도시	pobo	도시	pobo	N	N
도시	vila	도시	vila	N	N
도시	aldea	도시	aldea	N	N
도시	cidade	도시	cidade	N	N
도시	cidades	도시	cidade	N	N
음악	música	음악	música	N	N
가수	cantante	가수	cantante	N	N
죽음	morte	죽음	morte	N	N
죽음	mortes	죽음	morte	N	N
전쟁	guerra	전쟁	guerra	N	N
전쟁	guerras	전쟁	guerra	N	N
전쟁	guerra	전쟁	guerra	N	N
다음	lado	다음	lado	N	N
직업	carreira	직업	carreira	N	N
직업	profesión	직업	profesión	N	N
직업	traballo	직업	traballo	N	N
직업	traballos	직업	traballo	N	N
직업	traballo	직업	traballo	N	N
대학	universidades	대학	universidade	N	N
대학	universidade	대학	universidade	N	N
대학	universidades	대학	universidade	N	N
대학	universidade	대학	universidade	N	N
대학	na	대학	na	N	N
대학	estudantes	대학	estudantes	N	N
대학	facultade	대학	facultade	N	N
대학	colexio	대학	colexio	N	N
여자	muller	여자	muller	N	N
여자	mulleres	여자	muller	N	N
자료	datos	자료	dato	N	N
자료	puntos	자료	punto	N	N
자료	información	자료	información	N	N
이름	nome	이름	nome	N	N
이름	nomes	이름	nome	N	N
이름	nome	이름	nome	N	N
음반	ubicación	음반	ubicación	N	N
학급	clase	학급	clase	N	N
야구	béisbol	야구	béisbol	N	N
프로그램	programas	프로그램	programa	N	N
프로그램	aplicación	프로그램	aplicación	N	N
프로그램	programa	프로그램	programa	N	N
역사	historia	역사	historia	N	N
시간	horas	시간	hora	N	N
시간	hora	시간	hora	N	N
시간	momento	시간	momento	N	N
시간	tempo	시간	tempo	N	N
시간	vez	시간	vez	N	N
시간	hora	시간	hora	N	N
졸업	estudante	졸업	estudante	N	N
노선	ruta	노선	ruta	N	N
기타	guitarra	기타	guitarrar	N	N
구역	área	구역	área	N	N
구역	zona	구역	zona	N	N
거의	case	거의	case	ADV	ADV
제작	produción	제작	produción	N	N
제작	producción	제작	producción	N	N
청소년	xuventude	청소년	xuventude	N	N
청소년	mozos	청소년	mozo	N	N
청소년	mocidade	청소년	mocidade	N	N
청소년	francia	청소년	francia	N	N
남자	homes	남자	home	N	N
남자	home	남자	home	N	N
결과	resultado	결과	resultado	N	N
결과	resultados	결과	resultado	N	N
결과	consecuencia	결과	consecuencia	N	N
결과	resultado	결과	resultado	N	N
아들	fillo	아들	fillo	N	N
활동	acción	활동	acción	N	N
활동	actividades	활동	actividade	N	N
활동	activa	활동	activo	N	N
활동	activo	활동	activo	N	N
활동	activos	활동	activo	N	N
활동	militante	활동	militante	N	N
활동	accións	활동	acción	N	N
활동	actividade	활동	actividade	N	N
이미	xa	이미	xa	ADV	ADV
이상	ideais	이상	ideal	N	N
국가	país	국가	país	N	N
국가	estado	국가	estado	N	N
혹은	ou	혹은	ou	CONJ	CONJ
언어	idiomas	언어	idioma	N	N
언어	linguaxes	언어	linguaxe	N	N
언어	linguas	언어	lingua	N	N
언어	idioma	언어	idioma	N	N
언어	linguaxe	언어	linguaxe	N	N
언어	lingua	언어	lingua	N	N
스포츠	deporte	스포츠	deporte	N	N
스포츠	deportes	스포츠	deporte	N	N
스포츠	deporte	스포츠	deporte	N	N
설명	explicación	설명	explicación	N	N
설명	explicarllo	설명	explicarllo	N	N
설명	descrición	설명	descrición	N	N
시대	período	시대	período	N	N
시대	periodo	시대	periodo	N	N
시대	tempo	시대	tempo	N	N
시대	adolescencia	시대	adolescencia	N	N
대통령	presidente	대통령	presidente	N	N
대통령	vicepresidente	대통령	vicepresidente	N	N
가운데	media	가운데	media	N	N
가운데	medio	가운데	medio	N	N
가운데	oriente	가운데	oriente	N	N
교통	tráfico	교통	tráfico	N	N
정보	información	정보	información	N	N
인물	carácter	인물	carácter	N	N
인물	retrato	인물	retrato	N	N
요청	petición	요청	petición	N	N
노래	canta	노래	canta	N	N
노래	cante	노래	cante	N	N
노래	cancións	노래	canción	N	N
노래	canción	노래	canción	N	N
노래	canta	노래	canta	N	N
노래	canción	노래	canción	N	N
노래	cantiga	노래	cantiga	N	N
차단	mazás	차단	mazás	N	N
차단	mazá	차단	mazá	N	N
차단	bloque	차단	bloque	N	N
차단	acceso	차단	acceso	N	N
차단	barracón	차단	barracón	N	N
관계	relación	관계	relación	N	N
관계	relacións	관계	relación	N	N
관계	relación	관계	relación	N	N
관계	relacións	관계	relación	N	N
관계	relación	관계	relación	N	N
