und	och	und	och	CONJ	CONJ
von	från	von	från	ADP	ADP
das	denna	der	denna	PRO;NOM;NEUT;SG	PRO;DEF;MASC+FEM;SG
das	detta	der	denna	PRO;NOM;NEUT;SG	PRO;DEF;NEUT;SG
mit	med	mit	med	ADP	ADP
für	för	für	för	ADP	ADP
auch	även	auch	även	ADV	ADV
auch	också	auch	också	ADV	ADV
auch	även	auch	även	ADV	ADV
auch	också	auch	också	ADV	ADV
auch	alltför	auch	alltför	ADV	ADV
nicht	inte	nicht	inte	PART;NEG	PART;NEG
nicht	ej	nicht	ej	PART;NEG	PART;NEG
nach	efter	nach	efter	ADP	ADP
aus	från	aus	från	ADP	ADP
sie	ni	sie	ni	PRO;NOM;FEM;SG;3	PRO;NOM;DEF;MASC+FEM;SG
sie	du	sie	du	PRO;NOM;FEM;SG;3	PRO;NOM;DEF;MASC+FEM;SG
sie	hon	sie	hon	PRO;NOM;FEM;SG;3	PRO;NOM;DEF;MASC+FEM;SG
cest	cest	cest	cest		
sind	är	sein	vara	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
durch	igenom	durch	igenom	ADP	ADP
durch	genom	durch	genom	ADP	ADP
über	över	über	över	ADP	ADP
aber	men	aber	men	CONJ	CONJ
nur	bara	nur	bara	ADV	ADV
nur	enbart	nur	enbart	ADV	ADV
nur	endast	nur	endast	ADV	ADV
nur	bara	nur	bara	ADV	ADV
noch	fortfarande	noch	fortfarande	ADV	ADV
noch	ändå	noch	ändå	ADV	ADV
noch	ännu	noch	ännu	ADV	ADV
noch	ändå	noch	ändå	ADV	ADV
unter	under	unter	under	ADP	ADP
hat	har	haben	ha	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
man	man	man	man	PRO;NOM;INDF;SG	PRO;NOM;INDF;MASC+FEM;SG
vor	före	vor	före	ADP	ADP
diese	denna	dies	denna	PRO;NOM;FEM;SG	PRO;DEF;MASC+FEM;SG
diese	detta	dies	denna	PRO;NOM;FEM;SG	PRO;DEF;NEUT;SG
kann	kan	können	kunna	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
hier	här	hier	här	ADV	ADV
diskussion	diskussioner	diskussion	diskussion	N	N;NOM;INDF;MASC+FEM;PL
diskussion	diskussionerna	diskussion	diskussion	N	N;NOM;DEF;MASC+FEM;PL
diskussion	diskussioner	diskussion	diskussion	N	N;NOM;INDF;MASC+FEM;PL
diskussion	diskussion	diskussion	diskussion	N	N;NOM;INDF;MASC+FEM;SG
diskussion	debatt	diskussion	debatt	N	N;NOM;INDF;MASC+FEM;SG
diskussion	debatten	diskussion	debatt	N	N;NOM;DEF;MASC+FEM;SG
dieser	denna	dies	denna	PRO;NOM;MASC;SG	PRO;DEF;MASC+FEM;SG
dieser	detta	dies	denna	PRO;NOM;MASC;SG	PRO;DEF;NEUT;SG
jahr	year	Jahr	yea	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
jahr	årsmodell	Jahr	årsmodell	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
jahr	året	Jahr	år	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
jahr	år	Jahr	år	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
dann	sedan	dann	sedan	ADV	ADV
dann	sen	dann	sen	ADV	ADV
dann	då	dann	då	ADV	ADV
zwei	två	zwei	två	NUM	NUM;NOM
was	vad	was	vad	PRO;NOM;NEUT;SG	PRO;INDF;NEUT;SG
sowie	och	sowie	och	CONJ	CONJ
hatte	hadde	haben	ha	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
hatte	hade	haben	ha	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
hatte	haft	haben	ha	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
zwischen	emellan	zwischen	emellan	ADP	ADP
