年	سال	年	سال	N	N;SG
月	قمر	月	قمر	N	N;SG
月	ماه	月	ماه	N	N;SG
月	moon	月	moon	N	N;SG
月	ماهها	月	ماه	N	N;PL
月	ماه	月	ماه	N	N;SG
月	ماهه	月	ماهه	N	N;SG
月	ماههای	月	ماه	N	N;PL
月	ماه	月	ماه	N	N;SG
村	روستای	村	روستا	N	N;SG
村	دهکده	村	دهکده	N	N;SG
村	ویلیج	村	ویلیج	N	N;SG
村	روستا	村	روستا	N	N;SG
人	انسان	人	انسان	N	N;SG
人	مَرد	人	مَرد	N	N;SG
人	مرد	人	مرد	N	N;SG
人	افراد	人	فرد	N	N;PL
人	مردمان	人	مردم	N	N;PL
人	آدمها	人	آدم	N	N;PL
人	مردم	人	مردم	N	N;SG
重	سنگینی	重	سنگینی	N	N;SG
一	یکی	一	یک	NUM	NUM
一	یک	一	یک	NUM	NUM
留言	پیغام	留言	پیغام	N	N;SG
留言	پیام	留言	پیام	N	N;SG
市	شهری	市	شهر	N	N;SG
市	شهر	市	شهر	N	N;SG
市	سیتی	市	سیتی	N	N;SG
站	پاسگاه	站	پاسگاه	N	N;SG
站	ایستگاه	站	ایستگاه	N	N;SG
站	استند	站	است	N	N;SG
站	ایستادن	站	None	N	N;SG
州	حالت	州	حالت	N	N;SG
州	استیت	州	استیت	N	N;SG
州	دولت	州	دولت	N	N;SG
州	وضعیت	州	وضعیت	N	N;SG
州	ایالت	州	ایالت	N	N;SG
三	سه	三	سه	NUM	NUM
家	خانه	家	خانه	N	N;SG
家	وطن	家	وطن	N	N;SG
家	خونه	家	خونه	N	N;SG
家	آغازه	家	آغازه	N	N;SG
米	برنجی	米	برنجی	N	N;SG
米	پلو	米	پلو	N	N;SG
米	رایس	米	None	N	N;SG
米	برنج	米	برنج	N	N;SG
米	متر	米	متر	N	N;SG
公司	شرکتی	公司	None	N	N;SG
公司	شرکت	公司	شرکت	N	N;SG
公司	گروهان	公司	گروه	N	N;PL
公司	شرکت	公司	شرکت	N	N;SG
公司	company	公司	None	N	N;SG
公司	کمپانی	公司	کمپانی	N	N;SG
公司	شرکتها	公司	شرکت	N	N;PL
公司	شرکتهای	公司	شرکت	N	N;PL
公司	احزاب	公司	حزب	N	N;PL
一	یکی	一	یک	NUM	NUM
一	یک	一	یک	NUM	NUM
西	وست	西	None	N	N;SG
西	باختر	西	باخت#باز	N	N;SG
西	غرب	西	غرب	N	N;SG
省	ولایت	省	ولایت	N	N;SG
省	استان	省	استان	N	N;SG
省	مهدیه	省	مهدیه	N	N;SG
省	gmina	省	gmina	N	N;SG
省	ویوودشیپ	省	ویوودشیپ	N	N;SG
度	درجه	度	درجه	N	N;SG
度	درجه	度	درجه	N	N;SG
二	دو	二	دو	NUM	NUM
區	منطقه	區	منطقه	N	N;SG
區	زون	區	زون	N	N;SG
區	منطقه	區	منطقه	N	N;SG
區	ناحیه	區	ناحیه	N	N;SG
區	بخش	區	بخش	N	N;SG
區	منطقه	區	منطقه	N	N;SG
區	مساحت	區	مساحت	N	N;SG
區	ناحیه	區	ناحیه	N	N;SG
人口	جمعیتی	人口	جمعیتی	N	N;SG
人口	جمعیت	人口	جمعیت	N	N;SG
人口	جمعیتی	人口	جمعیتی	N	N;SG
政府	دولتها	政府	دولت	N	N;PL
政府	دولتهای	政府	دولت	N	N;PL
政府	دولتی	政府	دولتی	N	N;SG
政府	حکومت	政府	حکومت	N	N;SG
政府	دولت	政府	دولت	N	N;SG
集	تنظیم	集	تنظیم	N	N;SG
集	قسمت	集	قسمت	N	N;SG
集	اپیزود	集	اپیزود	N	N;SG
世界	جهان	世界	جهان	N	N;SG
世界	دنیا	世界	دنیا	N	N;SG
世界	جهانی	世界	جهانی	N	N;SG
南	نان	南	نان	N	N;SG
南	نن	南	نن	N	N;SG
南	ساوت	南	ساوت	N	N;SG
南	جنوب	南	جنوب	N	N;SG
南	جنوبی	南	جنوبی	N	N;SG
南	نم	南	None	N	N;SG
路	جاده	路	جاده	N	N;SG
五	پنج	五	پنج	NUM	NUM
本	بِن	本	بِن		
文	ون	文	ون	N	N;SG
人民	افراد	人民	فرد	N	N;PL
人民	مردمان	人民	مردم	N	N;PL
人民	آدمها	人民	آدم	N	N;PL
人民	مردم	人民	مردم	N	N;SG
塔	تاور	塔	تاور	N	N;SG
塔	برج	塔	برج	N	N;SG
縣	شهرستان	縣	شهرستان	N	N;SG
縣	کانتی	縣	کانت#کان	N	N;SG
縣	کانتون	縣	کانتون	N	N;SG
任	رن	任	رن	N	N;SG
時間	زمان	時間	زمان	N	N;SG
時間	تایم	時間	تایم	N	N;SG
比	نسبت	比	نسبت	ADP	ADP
六	شش	六	شش	NUM	NUM
六	شیش	六	شیش	NUM	NUM
城	شهری	城	شهر	N	N;SG
城	شهر	城	شهر	N	N;SG
城	سیتی	城	سیتی	N	N;SG
城	قصر	城	None	N	N;SG
城	کاستل	城	کاستل	N	N;SG
城	کستل	城	کستل	N	N;SG
城	قلعه	城	قلعه	N	N;SG
中心	مراکز	中心	مرکز	N	N;PL
中心	سنتر	中心	سنتر	N	N;SG
中心	مرکزش	中心	مرکزش	N	N;SG
中心	مرکز	中心	مرکز	N	N;SG
中心	سنتر	中心	سنتر	N	N;SG
中心	مرکز	中心	مرکز	N	N;SG
線	خط	線	خط	N	N;SG
線	خطوط	線	خط	N	N;PL
線	نخ	線	نخ	N	N;SG
線	رشته	線	رشته	N	N;SG
山	کوهستانی	山	کوهستانی	N	N;SG
山	کوهی	山	None	N	N;SG
山	کوه	山	کوه	N	N;SG
山	کوهستان	山	کوهستان	N	N;SG
山	کوه	山	کوه	N	N;SG
山	طور	山	طور	N	N;SG
山	تپه	山	تپه	N	N;SG
山	هیل	山	هیل	N	N;SG
山	کوهستان	山	کوهستان	N	N;SG
山	کوهها	山	کوه	N	N;PL
太空	فضای	太空	فضا	N	N;SG
太空	فضا	太空	فضا	N	N;SG
太空	فضایی	太空	فضا	N	N;SG
太空	فاصله	太空	فاصله	N	N;SG
