netto	جالی	netto	جالی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bizarre	عجیب	bizar	عجیب	ADJ	ADJ
symboliek	رمزیت	symboliek	رمزیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
specialiteit	مہارت	specialiteit	مہارت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
specialiteit	خصوصیت	specialiteit	خصوصیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pleidooi	استدعا	pleidooi	استدعا	N;NEUT;SG	N;NOM;MASC;SG;3
pleidooi	عرضداشت	pleidooi	عرضداشت	N;NEUT;SG	N;NOM;MASC;SG;3
voorhoofd	گھاٹی	voorhoofd	گھاٹی	N;NEUT;SG	N;NOM;FEM;SG;3
voorhoofd	گھاٹی	voorhoofd	گھاٹی	N;NEUT;SG	N;NOM;FEM;SG;3
voorhoofd	پیشانی	voorhoofd	پیشانی	N;NEUT;SG	N;NOM;MASC;SG;3
aanvoer	فرودگاہ.	aanvoer	فرودگاہ.	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kapelaan	ادارے	kapelaan	ادارہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
denominatie	وزن	denominatie	وزن	N;MASC+FEM;SG	N;NOM;MASC;SG;3
denominatie	شمار	denominatie	شمار	N;MASC+FEM;SG	N;NOM;MASC;SG;3
onderdrukken	پھیلنے	onderdrukken	پھیل	V;NFIN	V;NFIN
continuïteit	تسلسل	continuïteit	تسلسل	N;MASC+FEM;SG	N;NOM;MASC;SG;3
postzegel	قسم	postzegel	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
glans	روشنی	glans	روشنی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
glans	روشنی	glans	روشنی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
glans	چمک	glans	چمک	N;MASC+FEM;SG	N;NOM;MASC;SG;3
criminaliteit	معصیت	criminaliteit	معصیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mislukking	تباہی	mislukking	تباہی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mislukking	ناکامی	mislukking	ناکامی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mislukking	تباہی	mislukking	تباہی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
aanbidding	تعظیم	aanbidding	تعظیم	N;MASC+FEM;SG	N;NOM;FEM;SG;3
groente	آلو	groente	آلو	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ontkennen	ماننے	ontkennen	مان	V;NFIN	V;ACC;NFIN
magisch	عجیب	magisch	عجیب	ADJ	ADJ
magisch	پُراسرار.	magisch	پُراسرار.	ADJ	ADJ
magisch	پُراسرار	magisch	پُراسرار	ADJ	ADJ
magisch	ساحرانہ.	magisch	ساحرانہ.	ADJ	ADJ
scheenbeen	بانس	scheenbeen	بانس	N;NEUT;SG	N;NOM;MASC;SG;3
rotten	گلانا	rot	گلا	V;NFIN	V;MASC;SG;NFIN;ACT
eerlijke	صاف	eerlijk	صاف	ADJ	ADJ
eerlijke	اچھا	eerlijk	اچھا	ADJ	ADJ;NOM;MASC;SG
eerlijke	منصفانہ	eerlijk	منصفانہ	ADJ	ADJ
eerlijke	ٹھیک	eerlijk	ٹھیک	ADJ	ADJ
eerlijke	واضح	eerlijk	واضح	ADJ	ADJ
eerlijke	تعریفی	eerlijk	تعریفی	ADJ	ADJ
eerlijke	عمدہ	eerlijk	عمدہ	ADJ	ADJ
eerlijke	مکمل	eerlijk	مکمل	ADJ	ADJ
eerlijke	مخلصانہ	eerlijk	مخلصانہ	ADJ	ADJ
tolerantie	برداشت	tolerantie	برداشت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
tolerantie	رواداری	tolerantie	رواداری	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaker	محافظ	bewaker	محافظ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaker	مدافعت	bewaker	مدافعت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaker	نگرانی	bewaker	نگرانی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaker	چوکسی	bewaker	چوکسی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaker	محافظ	bewaker	محافظ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
grip	قبضہ	grip	قبضہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
grip	نوکری	grip	نوکری	N;MASC+FEM;SG	N;NOM;FEM;SG;3
grip	قبضہ	grip	قبضہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
grip	نوکری	grip	نوکری	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vergetelheid	معافی	vergetelheid	معافی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
verbranden	بھڑکنا	verbranden	بھڑک	V;NFIN	V;NFIN;ACT
verbranden	کھلا	verbranden	کھل	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
voorwaarts	پیشگی	voorwaarts	پیشگی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
overwinnen	نڈھال	overwinnen	نڈھال	V;NFIN	V;ACT
