egy	une	egy	un	DET;INDF	DET;INDF;FEM;SG
nem	non	nem	non	ADV	ADV
nem	pas	nem	pas	ADV	ADV;NEG
magyar	hongroise	magyar	hongrois	ADJ;NOM;SG	ADJ;FEM;SG
magyar	hongrois	magyar	hongrois	ADJ;NOM;SG	ADJ;MASC;SG
első	première	első	premier	ADJ;NOM;SG	ADJ;FEM;SG
első	premier	első	premier	ADJ;NOM;SG	ADJ;MASC;SG
csak	uniquement	csak	uniquement	ADV	ADV
csak	seulement	csak	seulement	ADV	ADV
csak	simplement	csak	simplement	ADV	ADV
csak	juste	csak	juste	ADV	ADV
még	même	még	même	ADV	ADV
még	encore	még	encore	ADV	ADV
még	toujours	még	toujours	ADV	ADV
van	avoir	van	avoir	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
település	village	település	village	N;NOM;SG	N;MASC;SG
település	municipalité	település	municipalité	N;NOM;SG	N;FEM;SG
település	localité	település	localité	N;NOM;SG	N;FEM;SG
már	déjà	már	déjà	ADV	ADV
között	parmi	között	parmi	ADP	ADP
között	entre	között	entre	ADP	ADP
után	après	után	après	ADP	ADP
nagy	grande	nagy	grand	ADJ;NOM;SG	ADJ;FEM;SG
nagy	grand	nagy	grand	ADJ;NOM;SG	ADJ;MASC;SG
nagy	gros	nagy	gros	ADJ;NOM;SG	ADJ;MASC;SG
nagy	grosse	nagy	gros	ADJ;NOM;SG	ADJ;FEM;SG
nagy	grande	nagy	grand	ADJ;NOM;SG	ADJ;FEM;SG
nagy	grand	nagy	grand	ADJ;NOM;SG	ADJ;MASC;SG
személyek	personnes	személy	personne	N;NOM;PL	N;FEM;PL
ország	pays	ország	pays	N;NOM;SG	N;MASC;SG
évek	années	év	année	N;NOM;PL	N;FEM;PL
évek	ans	év	an	N;NOM;PL	N;MASC;PL
klub	club	klub	club	N;NOM;SG	N;MASC;SG
információk	infos	információ	info	N;NOM;PL	N;FEM;PL
információk	informations	információ	information	N;NOM;PL	N;FEM;PL
információk	infos	információ	info	N;NOM;PL	N;FEM;PL
információk	renseignements	információ	renseignement	N;NOM;PL	N;MASC;PL
született	naître	születik	naître	V;INDF;IND;SG;3;PST;FIN;ACT	V;NFIN
született	né	születik	naître	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
született	née	születik	naître	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
lett	devenu	lesz	devenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
lett	devenue	lesz	devenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
lett	devint	lesz	devenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
vita	discussion	vita	discussion	N;NOM;SG	N;FEM;SG
vita	débat	vita	débat	N;NOM;SG	N;MASC;SG
vita	vita	vita	vita	N;NOM;SG	N;FEM;SG
vita	débat	vita	débat	N;NOM;SG	N;MASC;SG
vita	contestation	vita	contestation	N;NOM;SG	N;FEM;SG
vita	litige	vita	litige	N;NOM;SG	N;MASC;SG
vita	conflit	vita	conflit	N;NOM;SG	N;MASC;SG
vita	dispute	vita	dispute	N;NOM;SG	N;FEM;SG
aki	qui	aki	qui	PRO;NOM;SG;3	PRO
ezt	ceci	ez	ceci	PRO;ACC;SG;3	PRO;SG
ezt	cet	ez	ce	PRO;ACC;SG;3	PRO;SG;3
ezt	cela	ez	cela	PRO;ACC;SG;3	PRO;SG
ezt	ce	ez	ce	PRO;ACC;SG;3	PRO;SG;3
itt	ici	itt	ici	ADV	ADV
akkor	ensuite	akkor	ensuite	ADV	ADV
akkor	alors	akkor	alors	ADV	ADV
fájl	dossier	fájl	dossier	N;NOM;SG	N;MASC;SG
fájl	fichier	fájl	fichier	N;NOM;SG	N;MASC;SG
amerikai	américaine	amerikai	américain	ADJ;NOM;SG	ADJ;FEM;SG
amerikai	américain	amerikai	américain	ADJ;NOM;SG	ADJ;MASC;SG
német	allemande	német	allemand	ADJ;NOM;SG	ADJ;FEM;SG
január	janvier	január	janvier	N;NOM;SG	N;MASC;SG
május	mai	május	mai	N;NOM;SG	N;MASC;SG
kell	doit	kell	devoir	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
csapat	équipe	csapat	équipe	N;NOM;SG	N;FEM;SG
csapat	equipe	csapat	equipe	N;NOM;SG	N;FEM;SG
amely	laquelle	amely	lequel	PRO;NOM;SG;3	PRO;FEM;SG
amely	lequel	amely	lequel	PRO;NOM;SG;3	PRO;MASC;SG
más	autre	más	autre	PRO;NOM;SG;3	PRO;SG
március	marche	március	marche	N;NOM;SG	N;FEM;SG
március	mars	március	mars	N;NOM;SG	N;MASC;SG
augusztus	aout	augusztus	août	N;NOM;SG	N;MASC;SG
augusztus	août	augusztus	août	N;NOM;SG	N;MASC;SG
minden	tout	minden	tout	PRO;NOM;SG;3	PRO;MASC;SG
minden	tout	minden	tout	PRO;NOM;SG;3	PRO;MASC;SG
ami	laquelle	ami	lequel	PRO;NOM;SG;3	PRO;FEM;SG
ami	lequel	ami	lequel	PRO;NOM;SG;3	PRO;MASC;SG
július	juillet	július	juillet	N;NOM;SG	N;MASC;SG
szeptember	septembre	szeptember	septembre	N;NOM;SG	N;MASC;SG
június	juin	június	juin	N;NOM;SG	N;MASC;SG
alatt	sous	alatt	sous	ADP	ADP
október	octobre	október	octobre	N;NOM;SG	N;MASC;SG
labdarúgó	footballeur	labdarúgó	footballeur	N;NOM;SG	N;MASC;SG
február	fevrier	február	fevrier	N;NOM;SG	N;MASC;SG
február	février	február	février	N;NOM;SG	N;MASC;SG
december	décembre	december	décembre	N;NOM;SG	N;MASC;SG
december	decembre	december	decembre	N;NOM;SG	N;MASC;SG
november	novembre	november	novembre	N;NOM;SG	N;MASC;SG
cikkek	articles	cikk	article	N;NOM;PL	N;MASC;PL
április	avril	április	avril	N;NOM;SG	N;MASC;SG
város	ville	város	ville	N;NOM;SG	N;FEM;SG
város	ville	város	ville	N;NOM;SG	N;FEM;SG
három	trois	három	trois	NUM;NOM;SG	NUM
nemzetközi	international	nemzetközi	international	ADJ;NOM;SG	ADJ;MASC;SG
nemzetközi	internationale	nemzetközi	international	ADJ;NOM;SG	ADJ;FEM;SG
díj	redevance	díj	redevance	N;NOM;SG	N;FEM;SG
díj	récompense	díj	récompense	N;NOM;SG	N;FEM;SG
mivel	puisque	mivel	puisque	CONJ	CONJ
kép	photo	kép	photo	N;NOM;SG	N;FEM;SG
kép	image	kép	image	N;NOM;SG	N;FEM;SG
kép	image	kép	image	N;NOM;SG	N;FEM;SG
kép	photo	kép	photo	N;NOM;SG	N;FEM;SG
ezek	ces	ez	ce	PRO;NOM;PL;3	PRO;PL;3
előtt	avant	előtt	avant	ADP	ADP
nemzeti	national	nemzeti	national	ADJ;NOM;SG	ADJ;MASC;SG
nemzeti	nationale	nemzeti	national	ADJ;NOM;SG	ADJ;FEM;SG
század	compagnie	század	compagnie	N;NOM;SG	N;FEM;SG
század	société	század	société	N;NOM;SG	N;FEM;SG
század	escadrille	század	escadrille	N;NOM;SG	N;FEM;SG
század	escadre	század	escadre	N;NOM;SG	N;FEM;SG
század	escadron	század	escadron	N;NOM;SG	N;MASC;SG
század	siecle	század	siecle	N;NOM;SG	N;MASC;SG
század	siècle	század	siècle	N;NOM;SG	N;MASC;SG
század	century	század	century	N;NOM;SG	N;MASC;SG
hivatalos	officielle	hivatalos	officiel	ADJ;NOM;SG	ADJ;FEM;SG
hivatalos	officiel	hivatalos	officiel	ADJ;NOM;SG	ADJ;MASC;SG
ellen	contre	ellen	contre	ADP	ADP
svg	svg	svg	svg	N;NOM;SG	N;MASC;SG
végeredmény	aboutissement	végeredmény	aboutissement	N;NOM;SG	N;MASC;SG
szövetség	pacte	szövetség	pacte	N;NOM;SG	N;MASC;SG
szövetség	alliance	szövetség	alliance	N;NOM;SG	N;FEM;SG
szövetség	fédération	szövetség	fédération	N;NOM;SG	N;FEM;SG
szövetség	association	szövetség	association	N;NOM;SG	N;FEM;SG
része	partie	rész	partie	N;NOM;SG	N;FEM;SG
olimpiai	olympique	olimpiai	olympique	ADJ;NOM;SG	ADJ;MASC;SG
nagyon	très	nagyon	très	ADV	ADV
nagyon	trés	nagyon	trés	ADV	ADV
következő	next	következő	next		
kis	petit	kis	petit	ADJ;NOM;SG	ADJ;MASC;SG
kis	petite	kis	petit	ADJ;NOM;SG	ADJ;FEM;SG
kis	petit	kis	petit	ADJ;NOM;SG	ADJ;MASC;SG
kis	petite	kis	petit	ADJ;NOM;SG	ADJ;FEM;SG
ott	là	ott	là	ADV	ADV
templom	temple	templom	temple	N;NOM;SG	N;MASC;SG
templom	tempe	templom	tempe	N;NOM;SG	N;FEM;SG
templom	église	templom	église	N;NOM;SG	N;FEM;SG
templom	eglise	templom	eglise	N;NOM;SG	N;FEM;SG
volna	serait	volna	être	V;INDF;COND;SG;3;PRS;ACT	V;COND;SG;3;PRS;FIN
volna	aurait	volna	avoir	V;INDF;COND;SG;3;PRS;ACT	V;COND;SG;3;PRS;FIN
elhunyt	décédée	el+huny	décéder	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elhunyt	décédé	el+huny	décéder	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
hivatkozások	références	hivatkozás	référence	N;NOM;PL	N;FEM;PL
hivatkozások	liens	hivatkozás	lien	N;NOM;PL	N;MASC;PL
kapott	reçu	kap	recevoir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kapott	reçue	kap	recevoir	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
római	romain	római	romain	ADJ;NOM;SG	ADJ;MASC;SG
római	romaine	római	romain	ADJ;NOM;SG	ADJ;FEM;SG
óta	depuis	óta	depuis	ADP	ADP
egyesült	unie	egyesül	unie	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
család	famille	család	famille	N;NOM;SG	N;FEM;SG
falu	village	falu	village	N;NOM;SG	N;MASC;SG
neve	nom	név	nom	N;NOM;SG	N;MASC;SG
neve	dénomination	név	dénomination	N;NOM;SG	N;FEM;SG
halál	décès	halál	décès	N;NOM;SG	N;MASC;SG
készült	fait	készül	faire	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
készült	faite	készül	faire	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
készült	fabriqué	készül	fabriquer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
film	film	film	film	N;NOM;SG	N;MASC;SG
film	film	film	film	N;NOM;SG	N;MASC;SG
kapcsolódó	connexe	kapcsolódó	connexe	ADJ;NOM;SG	ADJ;MASC;SG
négy	quatre	négy	quatre	NUM;NOM;SG	NUM
éve	annee	év	annee	N;NOM;SG	N;FEM;SG
éve	an	év	an	N;NOM;SG	N;MASC;SG
éve	année	év	année	N;NOM;SG	N;FEM;SG
adott	donné	ad	donner	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
györgy	georges	györgy	george	N;NOM;SG	N;MASC;SG
nagyobb	supérieur	nagy	supérieur	ADJ;NOM;CMPR;SG	ADJ;MASC;SG
európai	européenne	európai	européen	ADJ;NOM;SG	ADJ;FEM;SG
európai	européen	európai	européen	ADJ;NOM;SG	ADJ;MASC;SG
jegyzőkönyv	protocole	jegyzőkönyv	protocole	N;NOM;SG	N;MASC;SG
jegyzőkönyv	protocol	jegyzőkönyv	protocole	N;NOM;SG	N;MASC;SG
őket	eux	ők	soi	PRO;ACC;PL;3	PRO;MASC;PL;3
vett	achetée	vesz	acheter	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
vett	acheté	vesz	acheter	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
károly	charles	károly	charle	N;NOM;SG	N;MASC;SG
