vili	villa	vila	villa	N;NOM;FEM;SG	N;FEM;SG
čet	thu	čet	thu	N;NOM;MASC;SG	N
čet	tropa	čet	tropa	N;NOM;MASC;SG	N;FEM;SG
čet	tropa	čet	tropa	N;NOM;MASC;SG	N;FEM;SG
mamo	mamá	mama	mamá	N;ACC;FEM;SG	N;FEM;SG
mamo	mama	mama	mama	N;ACC;FEM;SG	N;FEM;SG
mamo	mom	mama	mom	N;ACC;FEM;SG	N
mamo	madre	mama	madre	N;ACC;FEM;SG	N;FEM;SG
galaksij	galaxias	galaksija	galaxias	N;GEN;FEM;PL	N;FEM;PL
bitk	batallas	bitk	batalla	N;GEN;FEM;PL	N;FEM;PL
evangelij	evangelio	evangelij	evangelio	N;NOM;MASC;SG	N;MASC;SG
evangelij	gospel	evangelij	gospel	N;NOM;MASC;SG	N;MASC;SG
giacomo	giacomo	giacoma	giacomo	N;NOM;MASC;SG	N;MASC;SG
zaščiti	proteger	zaščititi	proteger	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
zaščiti	protege	zaščititi	proteger	V;PFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
ledvic	riñones	ledvica	riñón	N;GEN;FEM;PL	N;MASC;PL
spomini	recuerdos	spomin	recuerdo	N;NOM;MASC;PL	N;MASC;PL
spomini	memorias	spomin	memoria	N;NOM;MASC;PL	N;FEM;PL
spomini	recuerdos	spomin	recuerdo	N;NOM;MASC;PL	N;MASC;PL
kopenski	terrestre	kopenski	terrestre	ADJ;NOM;DEF;MASC;SG	ADJ;SG
kopenski	terrenal	kopenski	terrenal	ADJ;NOM;DEF;MASC;SG	ADJ;SG
bakra	cobre	bakra	cobre	N;NOM;MASC;SG	N;MASC;SG
poklicno	ocupacional	poklicen	ocupacional	ADJ;NOM;NEUT;SG	ADJ;SG
poklicno	vocacional	poklicen	vocacional	ADJ;NOM;NEUT;SG	ADJ;SG
kristus	cristo	kristus	cristo	N;NOM;MASC;SG	N;MASC;SG
predsednica	president	predsednica	president	N;NOM;FEM;SG	N;MASC;SG
predsednica	presidenta	predsednica	presidenta	N;NOM;FEM;SG	N;FEM;SG
predsednica	presidente	predsednica	presidente	N;NOM;FEM;SG	N;MASC;SG
predsednica	presidenta	predsednica	presidenta	N;NOM;FEM;SG	N;FEM;SG
shranjevanje	almacenaje	shranjevanje	almacenaje	N;NOM;NEUT;SG	N;MASC;SG
shranjevanje	ahorro	shranjevanje	ahorro	N;NOM;NEUT;SG	N;MASC;SG
shranjevanje	almacén	shranjevanje	almacén	N;NOM;NEUT;SG	N;MASC;SG
shranjevanje	almacenaje	shranjevanje	almacenaje	N;NOM;NEUT;SG	N;MASC;SG
shranjevanje	almacenamiento	shranjevanje	almacenamiento	N;NOM;NEUT;SG	N;MASC;SG
zdravniki	medicos	zdravnik	medico	N;NOM;MASC;PL	N;MASC;PL
zdravniki	facultativos	zdravnik	facultativo	N;NOM;MASC;PL	N;MASC;PL
zdravniki	médicos	zdravnik	médico	N;NOM;MASC;PL	N;MASC;PL
zdravniki	doctores	zdravnik	doctor	N;NOM;MASC;PL	N;MASC;PL
zdravniki	medicos	zdravnik	medico	N;NOM;MASC;PL	N;MASC;PL
zdravniki	médicos	zdravnik	médico	N;NOM;MASC;PL	N;MASC;PL
raziskuje	explorar	raziskovati	explorar	V;IPFV;IND;SG;3;PRS;FIN	V;NFIN
raziskuje	explorando	raziskovati	explorar	V;IPFV;IND;SG;3;PRS;FIN	V;V.MSDR
raziskuje	explora	raziskovati	explorar	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
lopez	lópez	lopez	lópez	N;NOM;MASC;SG	N;MASC;SG
veri	faith	vera	faith	N;NOM;FEM;SG	N
veri	fe	vera	fe	N;NOM;FEM;SG	N;FEM;SG
hudi	severa	hud	severo	ADJ;NOM;MASC;SG	ADJ;FEM;SG
hudi	severo	hud	severo	ADJ;NOM;MASC;SG	ADJ;MASC;SG
hudi	grave	hud	grave	ADJ;NOM;MASC;SG	ADJ;SG
lisa	lisa	lisa	lisa	N;NOM;FEM;SG	N;FEM;SG
nedelja	domingo	nedeljati	domingo	N;NOM;FEM;SG	N
sedmi	séptima	sedmi	séptimo	ADJ;NOM;MASC;SG	ADJ;FEM;SG
sedmi	séptimo	sedmi	séptimo	ADJ;NOM;MASC;SG	ADJ;MASC;SG
piramide	pirámides	piramid	pirámid	N;NOM;FEM;PL	N;FEM;PL
piramide	pirámides	piramid	pirámid	N;NOM;FEM;PL	N;FEM;PL
biolog	biólogo	biolog	biólogo	N;NOM;MASC;SG	N;MASC;SG
gerald	gerald	gerald	gerald	N;NOM;MASC;SG	N;SG
profesorica	profesor	profesorica	profesor	N;NOM;FEM;SG	N;MASC;SG
profesorica	catedrático	profesorica	catedrático	N;NOM;FEM;SG	N;MASC;SG
profesorica	profesora	profesorica	profesora	N;NOM;FEM;SG	N;FEM;SG
univerz	universidades	univerza	universidad	N;GEN;FEM;PL	N;FEM;PL
spremenljivke	variables	spremenljivka	variable	N;NOM;FEM;PL	N;FEM;PL
prejšnji	anterior	prejšnji	anterior	ADJ;NOM;MASC;SG	ADJ;SG
prejšnji	previo	prejšnji	previo	ADJ;NOM;MASC;SG	ADJ;MASC;SG
mathieu	mathieu	mathi	mathieu	N;NOM;MASC;SG	N;MASC;SG
odstranitev	remoción	odstranitev	remoción	N;NOM;FEM;SG	N;FEM;SG
odstranitev	eliminación	odstranitev	eliminación	N;NOM;FEM;SG	N;FEM;SG
sladkorja	azucar	sladkor	azucar	N;GEN;MASC;SG	N;MASC;SG
sladkorja	azúcar	sladkor	azúcar	N;GEN;MASC;SG	N;MASC;SG
nepravilnosti	irregularidad	nepravilnost	irregularidad	N;GEN;FEM;SG	N;FEM;SG
nepravilnosti	irregularidad	nepravilnost	irregularidad	N;GEN;FEM;SG	N;FEM;SG
billie	billie	billev	billie	N;NOM;MASC;SG	N;FEM;SG
krajevna	local	krajeven	local	ADJ;NOM;FEM;SG	ADJ;SG
uspešnost	rendimiento	uspešnost	rendimiento	N;NOM;FEM;SG	N;MASC;SG
uspešnost	desempeño	uspešnost	desempeño	N;NOM;FEM;SG	N;MASC;SG
uspešnost	actuación	uspešnost	actuación	N;NOM;FEM;SG	N;FEM;SG
uspešnost	performance	uspešnost	performance	N;NOM;FEM;SG	N;FEM;SG
uspešnost	efectividad	uspešnost	efectividad	N;NOM;FEM;SG	N;FEM;SG
uspešnost	eficacia	uspešnost	eficacia	N;NOM;FEM;SG	N;FEM;SG
uspešnost	exito	uspešnost	exito	N;NOM;FEM;SG	N;MASC;SG
