nuits	nopți	nuit	noapte	N;FEM;PL	N;INDF;FEM;PL
cardiaque	cardiacă	cardiaque	cardiac	ADJ;MASC;SG	ADJ;INDF;FEM;SG
volcan	vulcanul	volcan	vulcan	N;MASC;SG	N;DEF;MASC;SG
volcan	vulcan	volcan	vulcan	N;MASC;SG	N;INDF;MASC;SG
parlant	vorbind	parler	vorbi	V;PRS;V.PTCP	V;V.MSDR
grille	grila	grille	grilă	N;FEM;SG	N;DEF;FEM;SG
grille	grilă	grille	grilă	N;FEM;SG	N;INDF;FEM;SG
marvel	marvel	marvel	marvel	N;MASC;SG	N;INDF;MASC;SG
remarques	note	remarque	notă	N;FEM;PL	N;INDF;FEM;PL
remarques	comentarii	remarque	comentariu	N;FEM;PL	N;INDF;FEM;PL
remarques	comentariile	remarque	comentariu	N;FEM;PL	N;DEF;FEM;PL
remarques	observații	remarque	observație	N;FEM;PL	N;INDF;FEM;PL
remarques	remarci	remarque	remarcă	N;FEM;PL	N;INDF;FEM;PL
remarques	observații	remarque	observație	N;FEM;PL	N;INDF;FEM;PL
tend	tinde	tendre	tinde	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
quête	quest	quête	quest	N;FEM;SG	N;INDF;MASC;SG
hébreu	ebraică	hébreu	ebraic	N;MASC;SG	N;INDF;FEM;SG
vignoble	podgorie	vignoble	podgorie	N;MASC;SG	N;INDF;FEM;SG
vignoble	cramă	vignoble	cramă	N;MASC;SG	N;INDF;FEM;SG
roue	roată	roue	roată	N;FEM;SG	N;INDF;FEM;SG
roue	roata	roue	roată	N;FEM;SG	N;DEF;FEM;SG
autorisé	permise	autoriser	permite	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
cavalier	rider	cavalier	rider	N;MASC;SG	N;INDF;MASC;SG
cavalier	cavalier	cavalier	cavalier	N;MASC;SG	N;INDF;MASC;SG
navigateur	navigator	navigateur	navigator	N;MASC;SG	N;INDF;MASC;SG
navigateur	navigatorul	navigateur	navigator	N;MASC;SG	N;DEF;MASC;SG
navigateur	navigator	navigateur	navigator	N;MASC;SG	N;INDF;MASC;SG
navigateur	browserul	navigateur	browser	N;MASC;SG	N;DEF;MASC;SG
