and	oraz	and	oraz	CONJ	CONJ
this	tym	this	to	PRO;SG	PRO;INS;NEUT;SG
his	jego	he	on	PRO;MASC;SG;3	PRO;GEN;MASC;SG;3
not	nie	not	nie	PART	PART;NEG
talk	mówić	talk	mówić	V;IMP;FIN	V;IPFV;NFIN;ACT
but	ale	but	ale	CONJ	CONJ
have	posiadać	have	posiadać	V;IMP;FIN	V;IPFV;NFIN;ACT
have	mieć	have	mieć	V;IMP;FIN	V;IPFV;NFIN;ACT
new	nowe	new	nowy	ADJ	ADJ;NOM;NEUT;SG
new	nowy	new	nowy	ADJ	ADJ;NOM;MASC;SG
first	najpierw	first	najpierw	ADV	ADV
page	stronę	page	strona	N;SG	N;ACC;FEM;SG
page	stronie	page	strona	N;SG	N;DAT;FEM;SG
page	strona	page	strona	N;SG	N;NOM;FEM;SG
they	oni	they	on	PRO;NOM;PL;3	PRO;NOM;MASC;PL;3
had	mial	have	mial	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
had	miał	have	mieć	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
had	miała	have	mieć	V;IND;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
had	miał	have	mieć	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
article	artykułu	article	artykuł	N;SG	N;GEN;MASC;SG
article	artykul	article	artykul	N;SG	N;ACC;MASC;SG
article	artykuł	article	artykuł	N;SG	N;NOM;MASC;SG
who	kto	who	kto	PRO	PRO;NOM;MASC;SG
who	kogo	who	kto	PRO	PRO;ACC;MASC;SG
all	wszystkie	all	wszystek	DET	DET;NOM;MASC;PL
their	ich	they	on	PRO;PL;3	PRO;GEN;MASC;PL;3
there	tam	there	tam	ADV	ADV
its	jego	its	on	PRO;NEUT;SG;3	PRO;GEN;MASC;SG;3
people	ludzi	people	człowiek	N;PL	N;ACC;MASC;PL
people	osoby	people	osoba	N;PL	N;NOM;FEM;PL
people	ludzie	people	człowiek	N;PL	N;NOM;MASC;PL
other	innych	other	inny	ADJ	ADJ;GEN;MASC;PL
other	inne	other	inny	ADJ	ADJ;NOM;NEUT;SG
other	inny	other	inny	ADJ	ADJ;NOM;MASC;SG
two	dwie	two	dwa	NUM	NUM;ACC;FEM;PL
two	dwóch	two	dwa	NUM	NUM;ACC;MASC;PL
two	dwa	two	dwa	NUM	NUM;ACC;MASC;PL
score	wynik	score	wynik	N;SG	N;NOM;MASC;SG
her	ją	she	on	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
she	ona	she	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
when	kiedy	when	kiedy	ADV	ADV
time	czasu	time	czas	N;SG	N;GEN;MASC;SG
time	czas	time	czas	N;SG	N;NOM;MASC;SG
team	ekipa	team	ekipa	N;SG	N;NOM;FEM;SG
team	drużyna	team	drużyna	N;SG	N;NOM;FEM;SG
team	zespół	team	zespół	N;SG	N;NOM;MASC;SG
american	amerykańska	american	amerykański	ADJ	ADJ;NOM;FEM;SG
american	amerykański	american	amerykański	ADJ	ADJ;NOM;MASC;SG
american	amerykańskie	american	amerykański	ADJ	ADJ;NOM;NEUT;SG
discussion	dyskusja	discussion	dyskusja	N;SG	N;NOM;FEM;SG
discussion	omówienie	discussion	omówienie	N;SG	N;NOM;NEUT;SG
discussion	dyskusji	discussion	dyskusja	N;SG	N;GEN;FEM;SG
discussion	dyskusję	discussion	dyskusja	N;SG	N;ACC;FEM;SG
links	linków	link	link	N;PL	N;GEN;MASC;PL
links	linki	link	linka	N;PL	N;NOM;FEM;PL
links	odnośniki	link	odnośnik	N;PL	N;ACC;MASC;PL
some	niektóre	some	niektóry	DET	DET;NOM;MASC;SG
some	niektórzy	some	niektóry	DET	DET;NOM;MASC;PL
see	patrz	see	patrzeć	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN;ACT
see	zobacz	see	zobaczyć	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
years	lat	year	rok	N;PL	N;GEN;MASC;PL
years	lata	year	rok	N;PL	N;NOM;MASC;PL
school	szkoły	school	szkoła	N;SG	N;GEN;FEM;SG
school	szkoła	school	szkoła	N;SG	N;NOM;FEM;SG
world	świat	world	świat	N;SG	N;NOM;MASC;SG
world	świata	world	świat	N;SG	N;GEN;MASC;SG
world	świecie	world	świat	N;SG	N;DAT;MASC;SG
university	uniwersytetu	university	uniwersytet	N;SG	N;GEN;MASC;SG
university	uczelnia	university	uczelniać	N;SG	N;NOM;FEM;SG
university	uniwersytet	university	uniwersytet	N;SG	N;NOM;MASC;SG
state	stan	state	stan	N;SG	N;NOM;MASC;SG
state	państwo	state	państwo	N;SG	N;NOM;NEUT;SG
states	stany	state	stany	N;PL	N;NOM;MASC;PL
states	stanów	state	stan	N;PL	N;GEN;MASC;PL
national	krajowa	national	krajowy	ADJ	ADJ;NOM;FEM;SG
national	krajowe	national	krajowy	ADJ	ADJ;NOM;NEUT;SG
national	national	national	national	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
national	narodowy	national	narodowy	ADJ	ADJ;NOM;MASC;SG
national	krajowy	national	krajowy	ADJ	ADJ;NOM;MASC;SG
national	krajowych	national	krajowy	ADJ	ADJ;GEN;MASC;PL
year	roku	year	rok	N;SG	N;GEN;MASC;SG
year	rok	year	rok	N;SG	N;NOM;MASC;SG
city	miejscowość	city	miejscowość	N;SG	N;NOM;FEM;SG
city	miasta	city	miasto	N;SG	N;GEN;NEUT;SG
city	miasto	city	miasto	N;SG	N;NOM;NEUT;SG
then	wtedy	then	wtedy	ADV	ADV
than	niż	than	niż	ADV	ADV
county	hrabstwo	county	hrabstwo	N;SG	N;NOM;NEUT;SG
county	okręg	county	okręg	N;SG	N;NOM;MASC;SG
county	hrabstwa	county	hrabstwo	N;SG	N;ACC;NEUT;SG
external	zewnętrzne	external	zewnętrzny	ADJ	ADJ;NOM;NEUT;SG
where	gdzie	where	gdzie	ADV	ADV
delete	usuń	delete	usiń	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
delete	usunąć	delete	usunąć	V;IMP;FIN	V;PFV;NFIN;ACT
any	jakikolwiek	any	jakikolwiek	DET	DET;NOM;MASC;SG
any	jakiekolwiek	any	jakiekolwiek	DET	DET;NOM;MASC;SG
film	folia	film	folia	N;SG	N;NOM;FEM;SG
film	film	film	film	N;SG	N;ACC;MASC;SG
him	go	he	on	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
three	trzy	three	trzy	NUM	NUM;ACC;MASC;PL
use	użyć	use	użyć	V;IMP;FIN	V;PFV;NFIN;ACT
use	użyj	use	użyj	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
war	wojnę	war	wojna	N;SG	N;ACC;FEM;SG
war	wojna	war	wojna	N;SG	N;NOM;FEM;SG
war	wojny	war	wojna	N;SG	N;GEN;FEM;SG
them	je	they	on	PRO;ACC;PL;3	PRO;ACC;NEUT;PL;3
link	odnośnik	link	odnośnik	N;SG	N;ACC;MASC;SG
later	później	later	późno	ADV	ADV;CMPR
part	część	part	część	N;SG	N;NOM;FEM;SG
players	zawodnicy	player	zawodnik	N;PL	N;NOM;MASC;PL
players	graczy	player	gracz	N;PL	N;ACC;MASC;PL
players	gracze	player	gracz	N;PL	N;NOM;MASC;PL
list	wykaz	list	wykaz	N;SG	N;NOM;MASC;SG
list	lista	list	list	N;SG	N;NOM;FEM;SG
list	spis	list	spis	N;SG	N;NOM;MASC;SG
list	listę	list	lista	N;SG	N;ACC;FEM;SG
know	znana	know	znany	V;IND;PRS;FIN	V;IPFV;IND;SG;PRS;FIN;ACT
name	nazwisko	name	nazwisko	N;SG	N;NOM;NEUT;SG
name	imię	name	imię	N;SG	N;NOM;NEUT;SG
name	nazwa	name	nazwa	N;SG	N;NOM;FEM;SG
group	grupie	group	grupa	N;SG	N;DAT;FEM;SG
group	grupy	group	grupa	N;SG	N;ACC;FEM;SG
group	grupa	group	grupa	N;SG	N;NOM;FEM;SG
history	historia	history	historia	N;SG	N;NOM;FEM;SG
history	historii	history	historia	N;SG	N;GEN;FEM;SG
history	historię	history	historia	N;SG	N;ACC;FEM;SG
series	szeregi	series	szereg	N;SG	N;ACC;MASC;SG
series	seria	series	seria	N;SG	N;NOM;FEM;SG
work	pracy	work	praca	N;SG	N;GEN;FEM;SG
work	praca	work	praca	N;SG	N;NOM;FEM;SG
before	wcześniej	before	wcześnie	ADV	ADV;CMPR
season	sezonie	season	sezon	N;SG	N;INS;MASC;SG
season	sezon	season	sezon	N;SG	N;NOM;MASC;SG
district	okręg	district	okręg	N;SG	N;NOM;MASC;SG
district	dzielnicy	district	dzielnica	N;SG	N;GEN;FEM;SG
district	dystrykt	district	dystrykt	N;SG	N;NOM;MASC;SG
district	dzielnica	district	dzielnica	N;SG	N;NOM;FEM;SG
district	rejon	district	rejon	N;SG	N;NOM;MASC;SG
now	teraz	now	teraz	ADV	ADV
comments	komentarzy	comment	komentarz	N;PL	N;GEN;MASC;PL
comments	komentarze	comment	komentarz	N;PL	N;NOM;MASC;PL
because	bo	because	bo	CONJ	CONJ
music	muzyka	music	muzyka	N;SG	N;NOM;FEM;SG
diff	różnica	diff	różnica	N;SG	N;NOM;FEM;SG
century	wieku	century	wiek	N;SG	N;GEN;MASC;SG
century	wiek	century	wiek	N;SG	N;NOM;MASC;SG
debate	debata	debate	debata	N;SG	N;NOM;FEM;SG
debate	debaty	debate	debata	N;SG	N;ACC;FEM;SG
title	tytuł	title	tytuł	N;SG	N;ACC;MASC;SG
title	tytuł	title	tytuł	N;SG	N;ACC;MASC;SG
articles	wyroby	article	wyrób	N;PL	N;NOM;MASC;PL
articles	artykułów	article	artykuł	N;PL	N;GEN;MASC;PL
articles	artykuły	article	artykuł	N;PL	N;NOM;MASC;PL
album	album	album	album	N;SG	N;NOM;MASC;SG
album	płyta	album	płyta	N;SG	N;NOM;FEM;SG
number	numer	number	numer	N;SG	N;NOM;MASC;SG
number	liczba	number	liczba	N;SG	N;NOM;FEM;SG
against	przeciwko	against	przeciwko	ADP	ADP
family	rodzina	family	rodzina	N;SG	N;NOM;FEM;SG
family	rodzinka	family	rodzinka	N;SG	N;NOM;FEM;SG
user	użytkownika	user	użytkownik	N;SG	N;ACC;MASC;SG
user	użytkownik	user	użytkownik	N;SG	N;NOM;MASC;SG
area	teren	area	teren	N;SG	N;NOM;MASC;SG
area	powierzchnia	area	powierzchnia	N;SG	N;NOM;FEM;SG
area	obszarze	area	obszarz	N;SG	N;ACC;MASC;SG
area	obszar	area	obszar	N;SG	N;NOM;MASC;SG
life	życia	life	życie	N;SG	N;GEN;NEUT;SG
life	dożywocie	life	dożywocie	N;SG	N;NOM;NEUT;SG
life	życie	life	życie	N;SG	N;NOM;NEUT;SG
british	brytyjskie	british	brytyjski	ADJ	ADJ;NOM;NEUT;SG
