من	từ	مِن	từ	ADP	ADP
عام	năm	عَام	năm	N;NOM;INDF;SG	N
عام	công	عَام	công	N;NOM;INDF;SG	N
عام	tướng	عَام	tướng	N;NOM;INDF;SG	N
اسم	tên	اِسم	tên	N;NOM;INDF;SG	N
مع	với	مَعَ	với	ADP;ACC	ADP
مع	bằng	مَعَ	bằng	ADP;ACC	ADP
المنطقة	tần	مِنطَقَة	tần	N;NOM;DEF;SG	N
المنطقة	vùng	مِنطَقَة	vùng	N;NOM;DEF;SG	N
المنطقة	huyện	مِنطَقَة	huyện	N;NOM;DEF;SG	N
المنطقة	múi	مِنطَقَة	múi	N;NOM;DEF;SG	N
المنطقة	vùng	مِنطَقَة	vùng	N;NOM;DEF;SG	N
المنطقة	vực	مِنطَقَة	vực	N;NOM;DEF;SG	N
المنطقة	vùng	مِنطَقَة	vùng	N;NOM;DEF;SG	N
سنة	năm	سَنَة	năm	N;NOM;INDF;SG	N
كان	bị	كَان	bị	V;PFV;MASC;SG;3;ACT	V
هذه	những	هٰذَا	những	DET;NOM;FEM;SG	DET
عدد	số	عَدَد	số	N;NOM;INDF;SG	N
بين	giữa	بَينَ	giữa	ADP;ACC	ADP
تعليق	luận	تَعلِيق	luận	N;NOM;INDF;SG	N
تاريخ	ngày	تَارِيخ	ngày	N;NOM;INDF;SG	N
نوع	kiểu	نَوع	kiểu	N;NOM;INDF;SG	N
نوع	loại	نَوع	loại	N;NOM;INDF;SG	N
سطر	dòng	سِطر	dòng	N;NOM;INDF;SG	N
خط	dòng	خَطّ	dòng	N;NOM;INDF;SG	N
كانت	bị	كَان	bị	V;PFV;FEM;SG;3;ACT	V
مدينة	phố	مَدِينَة	phố	N;NOM;INDF;SG	N
المدينة	phố	مَدِينَة	phố	N;NOM;DEF;SG	N
المدينة	phố	مَدِينَة	phố	N;NOM;DEF;SG	N
تم	xong	تَمّ	xong	V;PFV;MASC;SG;3;ACT	V
كرة	bóng	كُرَة	bóng	N;NOM;INDF;SG	N
كرة	banh	كُرَة	banh	N;NOM;INDF;SG	N
الله	allah	اَللّٰه	allah	N;NOM;DEF;SG	N
مساحة	vực	مِسَاحَة	vực	N;NOM;INDF;SG	N
مساحة	vùng	مِسَاحَة	vùng	N;NOM;INDF;SG	N
محافظة	tỉnh	مُحَافَظَة	tỉnh	N;NOM;INDF;SG	N
محافظة	dimashq	مُحَافَظَة	dimashq	N;NOM;INDF;SG	N
الولايات	kỳ	وِلَايَة	kỳ	N;NOM;DEF;PL	N
اليمن	yemen	يَمَن	yemen	N;NOM;DEF;SG	N
اليمن	ye	يَمَن	ye	N;NOM;DEF;SG	N
ثم	rồi	ثُمَّ	rồi	CONJ	CONJ
الصورة	foto	صُورَة	foto	N;NOM;DEF;SG	N
الصورة	ảnh	صُورَة	ảnh	N;NOM;DEF;SG	N
الصورة	nh	صُورَة	nh	N;NOM;DEF;SG	N
الصورة	hình	صُورَة	hình	N;NOM;DEF;SG	N
الصورة	ảnh	صُورَة	ảnh	N;NOM;DEF;SG	N
الصورة	ảnh	صُورَة	ảnh	N;NOM;DEF;SG	N
علم	chép	عَلِم	chép	V;PFV;MASC;SG;3;ACT	V
علم	trích	عَلِم	trích	V;PFV;MASC;SG;3;ACT	V
بعض	cầy	بَعض	cầy	N;NOM;INDF;SG	N
قائمة	menu	قَائِمَة	menu	N;NOM;INDF;SG	N
قائمة	danh	قَائِمَة	danh	N;NOM;INDF;SG	N
مقاطعة	quận	مُقَاطَعَة	quận	N;NOM;INDF;SG	N
مقاطعة	hạt	مُقَاطَعَة	hạt	N;NOM;INDF;SG	N
مقاطعة	tỉnh	مُقَاطَعَة	tỉnh	N;NOM;INDF;SG	N
العالم	giới	عَالَم	giới	N;NOM;DEF;SG	N
القرن	sừng	قَرن	sừng	N;NOM;DEF;SG	N
القرن	kèn	قَرن	kèn	N;NOM;DEF;SG	N
القرن	horn	قَرن	horn	N;NOM;DEF;SG	N
القدم	bộ	قَدَم	bộ	N;NOM;DEF;SG	N
القدم	chân	قَدَم	chân	N;NOM;DEF;SG	N
القدم	mét	قَدَم	mét	N;NOM;DEF;SG	N
القدم	chân	قَدَم	chân	N;NOM;DEF;SG	N
منطقة	tần	مِنطَقَة	tần	N;NOM;INDF;SG	N
منطقة	vùng	مِنطَقَة	vùng	N;NOM;INDF;SG	N
منطقة	huyện	مِنطَقَة	huyện	N;NOM;INDF;SG	N
منطقة	múi	مِنطَقَة	múi	N;NOM;INDF;SG	N
منطقة	vùng	مِنطَقَة	vùng	N;NOM;INDF;SG	N
منطقة	vực	مِنطَقَة	vực	N;NOM;INDF;SG	N
منطقة	vùng	مِنطَقَة	vùng	N;NOM;INDF;SG	N
الرمز	code	رَمز	code	N;NOM;DEF;SG	N
الرمز	mã	رَمز	mã	N;NOM;DEF;SG	N
البلد	quốc	بَلَد	quốc	N;NOM;DEF;SG	N
نتيجة	quả	نَتِيجَة	quả	N;ACC;INDF;SG	N
العرض	hiện	عَرض	hiện	N;NOM;DEF;SG	N
المساحة	vực	مِسَاحَة	vực	N;NOM;DEF;SG	N
المساحة	vùng	مِسَاحَة	vùng	N;NOM;DEF;SG	N
الحياة	đời	حَيَاة	đời	N;NOM;DEF;SG	N
وصلات	xích	وُصلَة	xích	N;NOM;INDF;PL	N
المركز	centre	مَركَز	centre	N;NOM;DEF;SG	N
المياه	nước	مَاء	nước	N;NOM;DEF;PL	N
مجموعة	nhóm	مَجمُوعَة	nhóm	N;NOM;INDF;SG	N
قرى	làng	قَريَة	làng	N;NOM;INDF;PL	N
مكان	nơi	مَكَان	nơi	N;NOM;INDF;SG	N
مكان	chỗ	مَكَان	chỗ	N;NOM;INDF;SG	N
حجم	cỡ	حَجم	cỡ	N;NOM;INDF;SG	N
حجم	size	حَجم	size	N;NOM;INDF;SG	N
الشيخ	sheikh	شَيخ	sheikh	N;NOM;DEF;SG	N
العديد	nhiều	عَدِيد	nhiều	ADJ;NOM;DEF;MASC;SG	ADJ
المحافظة	tỉnh	مُحَافَظَة	tỉnh	N;NOM;DEF;SG	N
الحرب	tranh	حَرب	tranh	N;NOM;DEF;SG	N
الحرب	chiến	حَرب	chiến	N;NOM;DEF;SG	N
قرية	làng	قَريَة	làng	N;NOM;INDF;SG	N
العام	năm	عَام	năm	N;NOM;DEF;SG	N
رئيس	sếp	رَئِيس	sếp	N;NOM;INDF;SG	N
رئيس	sếp	رَئِيس	sếp	N;NOM;INDF;SG	N
رئيس	boss	رَئِيس	boss	N;NOM;INDF;SG	N
شعار	slogan	شِعَار	slogan	N;NOM;INDF;SG	N
شعار	logo	شِعَار	logo	N;NOM;INDF;SG	N
كتاب	sách	كِتَاب	sách	N;NOM;INDF;SG	N
عشر	mười	عَشَرَة	mười	NUM;MASC	NUM
سنوات	năm	سَنَة	năm	N;NOM;INDF;PL	N
يوم	ngày	يَوم	ngày	N;NOM;INDF;SG	N
طريق	đường	طَرِيق	đường	N;NOM;INDF;SG	N
الدين	đạo	دِين	đạo	N;NOM;DEF;SG	N
الدين	nợ	دِين	nợ	N;NOM;DEF;SG	N
مركز	centre	مَركَز	centre	N;NOM;INDF;SG	N
ملف	tệp	مِلَفّ	tệp	N;NOM;INDF;SG	N
ملف	file	مِلَفّ	file	N;NOM;INDF;SG	N
قيد	constraint	قَيد	constraint	N;NOM;INDF;SG	N
قال	nói	قَال	nói	V;PFV;MASC;SG;3;ACT	V
قال	bảo	قَال	bảo	V;PFV;MASC;SG;3;ACT	V
الملك	vua	مَلِك	vua	N;NOM;DEF;SG	N
الاسم	tên	اِسم	tên	N;NOM;DEF;SG	N
ولد	trai	وَلَد	trai	N;NOM;INDF;SG	N
ولد	bé	وَلَد	bé	N;NOM;INDF;SG	N
البحر	biển	بَحر	biển	N;NOM;DEF;SG	N
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N
صورة	foto	صُورَة	foto	N;NOM;INDF;SG	N
صورة	ảnh	صُورَة	ảnh	N;NOM;INDF;SG	N
صورة	nh	صُورَة	nh	N;NOM;INDF;SG	N
صورة	hình	صُورَة	hình	N;NOM;INDF;SG	N
صورة	ảnh	صُورَة	ảnh	N;NOM;INDF;SG	N
صورة	ảnh	صُورَة	ảnh	N;NOM;INDF;SG	N
نباتات	cây	نَبَات	cây	N;NOM;INDF;PL	N
المملكة	saudi	مَملَكَة	saudi	N;NOM;DEF;SG	N
الدوري	league	دَورِيّ	league	N;NOM;DEF;SG	N
نظام	hệ	نِظَام	hệ	N;NOM;INDF;SG	N
قسم	sở	قِسم	sở	N;NOM;INDF;SG	N
قسم	khu	قِسم	khu	N;NOM;INDF;SG	N
قسم	phần	قِسم	phần	N;NOM;INDF;SG	N
السعودية	saudi	سَعُودِيَّة	saudi	N;NOM;DEF;SG	N
رقم	số	رَقم	số	N;NOM;INDF;SG	N
اليوم	ngày	يَوم	ngày	N;ACC;DEF;SG	N
اللغة	ngữ	لُغَة	ngữ	N;NOM;DEF;SG	N
عمل	nghề	عَمَل	nghề	N;NOM;INDF;SG	N
عمل	việc	عَمَل	việc	N;NOM;INDF;SG	N
جنوب	nam	جَنُوب	nam	N;NOM;INDF;SG	N
العالمية	chung	عَالَمِيّ	chung	ADJ;NOM;DEF;FEM;SG	ADJ
كبير	lớn	كَبِير	lớn	ADJ;NOM;INDF;MASC;SG	ADJ
كبير	to	كَبِير	to	ADJ;NOM;INDF;MASC;SG	ADJ
الوقت	gian	وَقت	gian	N;NOM;DEF;SG	N
الوقت	thời	وَقت	thời	N;NOM;DEF;SG	N
عملية	thao	عَمَلِيَّة	thao	N;NOM;INDF;SG	N
فبراير	tháng	فِبرَايِر	tháng	N;GEN;INDF;SG	N
شمال	bắc	شَمَال	bắc	N;NOM;INDF;SG	N
شمال	bắc	شَمَال	bắc	N;NOM;INDF;SG	N
