com	med	com	med	ADP	ADP
para	for	para	for	ADP	ADP
por	for	por	for	ADP	ADP
como	korleis	como	korleis	ADV	ADV
dos	dos	dos	dos	N;MASC;SG	N
são	er	ser	vere	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
das	das	das	das	N;MASC;SG	N;INDF;MASC;SG
também	òg	também	òg	ADV	ADV
também	også	também	også	ADV	ADV
também	óg	também	òg	ADV	ADV
também	også	também	også	ADV	ADV
mas	men	mas	men	CONJ	CONJ
discussão	diskusjon	discussão	diskusjon	N;FEM;SG	N;INDF;MASC;SG
entre	mellom	entre	mellom	ADP	ADP
sobre	om	sobre	om	ADP	ADP
tem	har	ter	ha	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
cidade	byen	cidade	by	N;FEM;SG	N;DEF;MASC;SG
cidade	by	cidade	by	N;FEM;SG	N;INDF;MASC;SG
cidade	city	cidade	city	N;FEM;SG	N
cidade	byen	cidade	by	N;FEM;SG	N;DEF;MASC;SG
cidade	poststed	cidade	poststed	N;FEM;SG	N;INDF;MASC;SG
cidade	by	cidade	by	N;FEM;SG	N;INDF;MASC;SG
quando	når	quando	når	ADV	ADV
foram	var	ser	vere	V;IND;PL;3;PST;FIN	V;IND;PST;FIN
janeiro	januar	janeiro	januar	N;MASC;SG	N;INDF;MASC;SG
grande	stor	grande	stor	ADJ;MASC;SG	ADJ;INDF;SG
grande	stort	grande	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	stor	grande	stor	ADJ;MASC;SG	ADJ;INDF;SG
grande	stort	grande	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	flott	grande	flott	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	supert	grande	super	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	kjempefint	grande	kjempefint	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
brasil	brasil	brasil	brasil	N;MASC;SG	N;INDF;MASC;SG
rio	river	rio	rive	N;MASC;SG	N;INDF;FEM;SG
rio	elv	rio	elv	N;MASC;SG	N;INDF;FEM;SG
depois	deretter	depois	deretter	ADV	ADV
depois	så	depois	så	ADV	ADV
depois	da	depois	da	ADV	ADV
depois	etterpå	depois	etterpå	ADV	ADV
estado	status	estado	status	N;MASC;SG	N;INDF;MASC;SG
estado	stat	estado	stat	N;MASC;SG	N;INDF;MASC;SG
estado	staten	estado	stat	N;MASC;SG	N;DEF;MASC;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC;SG
estado	delstat	estado	delstat	N;MASC;SG	N;INDF;MASC;SG
estado	betingelsen	estado	betingelse	N;MASC;SG	N;DEF;MASC;SG
estado	betingelse	estado	betingelse	N;MASC;SG	N;INDF;MASC;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC;SG
estado	stand	estado	stand	N;MASC;SG	N;INDF;MASC;SG
ano	årsmodell	ano	årsmodell	N;MASC;SG	N;INDF;MASC;SG
ano	året	ano	år	N;MASC;SG	N;DEF;NEUT;SG
ano	år	ano	år	N;MASC;SG	N;INDF;NEUT;SG
após	etter	após	etter	ADP	ADP
primeiro	først	primeiro	først	ADV	ADV
pode	kan	poder	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
ligações	tilknytninger	ligação	tilknytning	N;FEM;PL	N;INDF;FEM;PL
ligações	tilkoblinger	ligação	tilkoblinger	N;FEM;PL	N;INDF;FEM;PL
ligações	koblinger	ligação	koblinger	N;FEM;PL	N;INDF;FEM;PL
ligações	linker	ligação	linker	N;FEM;PL	N;INDF;MASC;PL
ligações	lenker	ligação	lank	N;FEM;PL	N;INDF;FEM;PL
primeira	første	primeiro	første	ADJ;FEM;SG	ADJ;DEF;SG
nome	namn	nome	namn	N;MASC;SG	N;INDF;NEUT;SG
nome	navnet	nome	navn	N;MASC;SG	N;DEF;NEUT;SG
nome	navn	nome	navn	N;MASC;SG	N;INDF;NEUT;SG
ainda	framleis	ainda	framleis	ADV	ADV
ainda	likevel	ainda	likevel	ADV	ADV
sem	utan	sem	utan	ADP	ADP
dia	dag	dia	dag	N;MASC;SG	N;INDF;MASC;SG
dia	dagen	dia	dag	N;MASC;SG	N;DEF;MASC;SG
dia	day	dia	day	N;MASC;SG	N;INDF;SG
dia	dia	dia	dia	N;MASC;SG	N;INDF;MASC;SG
dois	to	dois	to	NUM	NUM;PL
região	region	região	region	N;FEM;SG	N;INDF;MASC;SG
artigo	artikkel	artigo	artikkel	N;MASC;SG	N;INDF;MASC;SG
artigo	artikkelen	artigo	artikkel	N;MASC;SG	N;DEF;MASC;SG
apenas	berre	apenas	berre	ADV	ADV
apenas	bare	apenas	bare	ADV	ADV
apenas	berre	apenas	berre	ADV	ADV
apenas	akkurat	apenas	akkurat	ADV	ADV
apenas	bare	apenas	bare	ADV	ADV
apenas	nettopp	apenas	nettopp	ADV	ADV
ter	ter	ter	te	V;NFIN	V;IMP;FIN
ter	har	ter	ha	V;NFIN	V;IND;PRS;FIN
ter	ha	ter	ha	V;NFIN	V;IMP;FIN
msg	msg	msg	mag	N;FEM;SG	N;INDF;MASC;SG
julho	juli	julho	juli	N;MASC;SG	N;INDF;MASC;SG
julho	july	julho	july	N;MASC;SG	N
área	areal	área	areal	N;FEM;SG	N;INDF;NEUT;SG
área	område	área	område	N;FEM;SG	N;INDF;NEUT;SG
área	området	área	område	N;FEM;SG	N;DEF;NEUT;SG
área	area	área	area	N;FEM;SG	N;INDF;MASC;SG
agosto	august	agosto	august	N;MASC;SG	N;INDF;MASC;SG
agosto	aug	agosto	aug	N;MASC;SG	N
