erteilt	väljastatud	erteilen	väljastama	V;V.PTCP	V;PST;V.PTCP;PASS
gebeten	küsis	bitten	küsima	V;V.PTCP	V;IND;SG;3;PST;FIN;ACT
gebeten	palus	bitten	paluma	V;V.PTCP	V;IND;SG;3;PST;FIN;ACT
gebeten	küsitud	bitten	küsima	V;V.PTCP	V;PST;V.PTCP;PASS
wörtlich	sõnasõnaline	wörtlich	sõna_sõnaline	ADJ	ADJ;NOM;SG
kritisierte	kritiseeris	kritisieren	kritiseerima	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
kritisierte	kritiseeris	kritisieren	kritiseerima	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
jemals	kunagi	jemals	kunagi	ADV	ADV
verschwunden	läinud	verschwinden	minema	V;V.PTCP	V;PST;V.PTCP;ACT
verschwunden	haihtunud	verschwinden	haihtuma	V;V.PTCP	V;PST;V.PTCP;ACT
verschwunden	kadus	verschwinden	kaduma	V;V.PTCP	V;IND;SG;3;PST;FIN;ACT
verschwunden	kadusid	verschwinden	kaduma	V;V.PTCP	V;IND;PL;3;PST;FIN;ACT
verschwunden	kadus	verschwinden	kaduma	V;V.PTCP	V;IND;SG;3;PST;FIN;ACT
startet	algab	starten	algama	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
startet	alustab	starten	alustama	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
älterer	vanem	alt	vanem	ADJ	ADJ;NOM;CMPR;SG
zwingend	kohustuslik	zwingend	kohustuslik	ADJ	ADJ;NOM;SG
zwingend	kohustuslikud	zwingend	kohustuslik	ADJ	ADJ;NOM;PL
zwingend	kohustuslik	zwingend	kohustuslik	ADJ	ADJ;NOM;SG
zwingend	kohustuslikud	zwingend	kohustuslik	ADJ	ADJ;NOM;PL
zwingend	kohustuslik	zwingend	kohustuslik	ADJ	ADJ;NOM;SG
spezialisiert	spetsialiseerunud	spezialisieren	spetsialiseeruma	V;V.PTCP	V;PST;V.PTCP;ACT
spezialisiert	spetsialiseerunud	spezialisieren	spetsialiseeruma	V;V.PTCP	V;PST;V.PTCP;ACT
transportiert	veetud	transportieren	vedama	V;V.PTCP	V;PST;V.PTCP;PASS
germanistik	germaani	germanistik	germaani	ADJ	ADJ
singen	laulda	singen	laulma	V;NFIN	V;NFIN
singen	laulma	singen	laulma	V;NFIN	V;IN+ALL;V.CVB;ACT
woher	kuidas	woher	kuidas	ADV	ADV
überprüfung	läbivaatamine	überprüfung	läbi_vaatamine	N;NOM;FEM;SG	N;NOM;SG
überprüfung	ülevaatus	überprüfung	üle_vaatus	N;NOM;FEM;SG	N;NOM;SG
überprüfung	läbivaatus	überprüfung	läbi_vaatus	N;NOM;FEM;SG	N;NOM;SG
überprüfung	kontrollimine	überprüfung	kontrollimine	N;NOM;FEM;SG	N;NOM;SG
überprüfung	tõendamine	überprüfung	tõendamine	N;NOM;FEM;SG	N;NOM;SG
ägyptischen	egiptuse	ägyptisch	egiptuse	ADJ;PL	ADJ
ständigen	alalise	ständig	alaline	ADJ	ADJ;GEN;SG
ständigen	alalised	ständig	alaline	ADJ	ADJ;NOM;PL
ständigen	alaline	ständig	alaline	ADJ	ADJ;NOM;SG
ständigen	püsiv	ständig	püsiv	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
bühnen	etapid	bühnen	etapp	N;NOM;PL	N;NOM;PL
vermehrt	paljundatud	vermehrt	paljundama	ADJ	ADJ;PST;V.PTCP;PASS
japanisch	jaapani	japanisch	jaapani	ADJ	ADJ
fliehen	põgene	fliehen	põgene	V;NFIN	V;IMP;SG;2;PRS;FIN;ACT
stoffe	ained	stoffen	aine	N;NOM;PL	N;NOM;PL
fraglich	küsitav	fraglich	küsitav	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
fraglich	kahtlane	fraglich	kahtlane	ADJ	ADJ;NOM;SG
fraglich	kaheldav	fraglich	kaheldav	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
empfangen	saadi	empfangen	saama	V;V.PTCP	V;IND;PST;FIN;PASS
empfangen	laekunud	empfangen	laekuma	V;V.PTCP	V;PST;V.PTCP;ACT
pflicht	kohustuslik	pflicht	kohustuslik	ADJ	ADJ;NOM;SG
pflicht	kohustuslikud	pflicht	kohustuslik	ADJ	ADJ;NOM;PL
pflicht	kohustuslik	pflicht	kohustuslik	ADJ	ADJ;NOM;SG
pflicht	kohustuslikud	pflicht	kohustuslik	ADJ	ADJ;NOM;PL
pflicht	kohustuslik	pflicht	kohustuslik	ADJ	ADJ;NOM;SG
nummern	numbrid	nummern	number	N	N;NOM;PL
schnellen	kiire	schnell	kiire	ADJ	ADJ;NOM;SG
wusste	teadis	wissen	teadma	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
hinreichend	piisav	hinreichend	piisav	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
hinreichend	piisavad	hinreichend	piisav	ADJ	ADJ;NOM;PL;PRS;V.PTCP;ACT
theoretisch	teoreetiline	theoretisch	teoreetiline	ADJ	ADJ;NOM;SG
decken	kata	decken	katma	V;NFIN	V;IMP;SG;2;PRS;FIN;ACT
decken	katke	decken	katke	V;NFIN	V;IMP;SG;2;PRS;FIN;ACT
decken	katta	decken	katma	V;NFIN	V;NFIN
decken	katma	decken	katma	V;NFIN	V;IN+ALL;V.CVB;ACT
persönlicher	isiklik	persönlich	isiklik	ADJ	ADJ;NOM;SG
persönlicher	isiklikud	persönlich	isiklik	ADJ	ADJ;NOM;PL
ernährung	toitumine	Ernährung	toitumine	N;NOM;FEM;SG	N;NOM;SG
ernährung	dieet	Ernährung	dieet	N;NOM;FEM;SG	N;NOM;SG
ernährung	toitumine	Ernährung	toitumine	N;NOM;FEM;SG	N;NOM;SG
vergleichen	võrdle	vergleichen	võrdle	V;NFIN	V;IMP;SG;2;PRS;FIN;ACT
lebensweise	elustiil	lebensweise	elu_stiil	N	N;NOM;SG
gestrichen	kustutanud	gestrechen	kustutama	V;V.PTCP	V;PST;V.PTCP;ACT
gestrichen	tühistatud	gestrechen	tühista=tud	V;V.PTCP	V;PST;V.PTCP;PASS
gestrichen	kaotati	gestrechen	kaotama	V;V.PTCP	V;IND;PST;FIN;PASS
gestrichen	tühistatud	gestrechen	tühista=tud	V;V.PTCP	V;PST;V.PTCP;PASS
geistliche	vaimulikud	geistlich	vaimulik	ADJ;NOM;FEM;PL	ADJ;NOM;PL
anerkannte	tunnustatud	anerkannt	tunnusta=tud	ADJ;SG	ADJ;PST;V.PTCP;PASS
