ve	en	ve	en	CONJ	CONJ
sonra	dan	sonra	dan	ADV	ADV
sonra	daarna	sonra	daarna	ADV	ADV
sonra	straks	sonra	straks	ADV	ADV
yer	plaats	yer	plaats	N;NOM;SG;3	N;MASC+FEM;SG
yer	lokatie	yer	lokatie	N;NOM;SG;3	N;MASC+FEM;SG
yer	locatie	yer	locatie	N;NOM;SG;3	N;MASC+FEM;SG
yer	ligging	yer	ligging	N;NOM;SG;3	N;MASC+FEM;SG
bağlantılar	connecties	bağlantı	connectie	N;NOM;PL;3	N;PL
bağlantılar	aansluitingen	bağlantı	aansluiting	N;NOM;PL;3	N;PL
bağlantılar	verbindingen	bağlantı	verbinding	N;NOM;PL;3	N;PL
bağlantılar	contacten	bağlantı	contact	N;NOM;PL;3	N;PL
bağlantılar	contactpersonen	bağlantı	contactpersoon	N;NOM;PL;3	N;PL
center	centrum	center	centrum	N;NOM;SG;3	N;NEUT;SG
türk	turkse	türk	turks	ADJ	ADJ
türk	turks	türk	turk	ADJ	ADJ
diğer	overige	diğer	overig	ADJ	ADJ
diğer	andere	diğer	ander	ADJ	ADJ
diğer	ander	diğer	ander	ADJ	ADJ
yeni	nieuw	yeni	nieuw	ADJ	ADJ
yeni	nieuwe	yeni	nieuw	ADJ	ADJ
her	iedere	her	ieder	DET	DET
her	elke	her	elk	DET	DET
aynı	hetzelfde	aynı	hetzelfde	ADJ	ADJ
aynı	zelfde	aynı	zelfde	ADJ	ADJ
ilgili	relevant	ilgili	relevant	ADJ	ADJ
ilgili	relevante	ilgili	relevant	ADJ	ADJ
ilgili	verwant	ilgili	verwant	ADJ	ADJ
ilgili	verwante	ilgili	verwant	ADJ	ADJ
madde	substantie	madde	substantie	N;NOM;SG;3	N;MASC+FEM;SG
madde	clausule	madde	clausule	N;NOM;SG;3	N;MASC+FEM;SG
madde	materiaal	madde	materiaal	N;NOM;SG;3	N;NEUT;SG
madde	materie	madde	materie	N;NOM;SG;3	N;MASC+FEM;SG
madde	artikel	madde	artikel	N;NOM;SG;3	N;NEUT;SG
sağlık	welzijn	sağlık	welzijn	N;NOM;SG;3	N;NEUT;SG
sağlık	wellness	sağlık	wellness	N;NOM;SG;3	N;NEUT;SG
sağlık	gezondheid	sağlık	gezondheid	N;NOM;SG;3	N;MASC+FEM;SG
sağlık	gezondheidszorg	sağlık	gezondheidszorg	N;NOM;SG;3	N;MASC+FEM;SG
genel	generieke	genel	generiek	ADJ	ADJ
genel	globaal	genel	globaal	ADJ	ADJ
genel	algemene	genel	algemeen	ADJ	ADJ
genel	algemeen	genel	algemeen	ADJ	ADJ
adı	naam	ad	naam	N;NOM;SG;3	N;MASC+FEM;SG
ama	maar	ama	maar	CONJ	CONJ
ikinci	tweede	ikinci	twee	ADJ	ADJ
üniversitesi	universiteit	üniversitesi	universiteit	N;NOM;SG;3	N;MASC+FEM;SG
zaman	tijd	zaman	tijd	N;NOM;SG;3	N;MASC+FEM;SG
aralık	dec	aralık	dec	N;NOM;SG;3	N;MASC+FEM;SG
aralık	interval	aralık	interval	N;NOM;SG;3	N;MASC+FEM;SG
yüksek	hoog	yüksek	hoog	ADJ	ADJ
yüksek	hoge	yüksek	hoog	ADJ	ADJ
yüksek	hogere	yüksek	hoog	ADJ	ADJ;CMPR
yüksek	hoger	yüksek	hoog	ADJ	ADJ;CMPR
sadece	alleen	sadece	alleen	ADV	ADV
sadece	slechts	sadece	slechts	ADV	ADV
şekilde	manier	şekil	manier	N;ESS;SG;3	N;MASC+FEM;SG
bilgi	info	bilgi	info	N;NOM;SG;3	N;MASC+FEM;SG
bilgi	informatie	bilgi	informatie	N;NOM;SG;3	N;MASC+FEM;SG
bilgi	kennis	bilgi	kennis	N;NOM;SG;3	N;MASC+FEM;SG
kez	times	kez	time	N;NOM;SG;3	N;MASC+FEM;SG
devlet	state	devlet	state	N;NOM;SG;3	N;MASC+FEM;SG
devlet	gouvernementele	devlet	gouvernementeel	N;NOM;SG;3	N;MASC+FEM;SG
devlet	regering	devlet	regering	N;NOM;SG;3	N;MASC+FEM;SG
devlet	overheid	devlet	overheid	N;NOM;SG;3	N;MASC+FEM;SG
üç	drie	üç	drie	NUM	NUM
başladı	begonnen	başla	beginnen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
başladı	gestart	başla	starten	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
başladı	begon	başla	beginnen	V;PFV;IND;SG;3;POS;PST	V;SG;PST;FIN
başladı	opgestart	başla	opstarten	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
başladı	begonnen	başla	beginnen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
küçük	kleine	küçük	klein	ADJ	ADJ
küçük	klein	küçük	klein	ADJ	ADJ
küçük	smal	küçük	smal	ADJ	ADJ
küçük	kleine	küçük	klein	ADJ	ADJ
küçük	klein	küçük	klein	ADJ	ADJ
gelen	binnenkomende	gel	binnenkomen	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
gelen	inkomend	gel	inkomen	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
gelen	inkomende	gel	inkomen	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
kabul	acceptatie	kabul	acceptatie	N;NOM;SG;3	N;MASC+FEM;SG
kabul	aanvaarding	kabul	aanvaarding	N;NOM;SG;3	N;MASC+FEM;SG
kupası	kopje	kupa	kopje	N;NOM;SG;3	N;NEUT;SG
kupası	beker	kupa	beker	N;NOM;SG;3	N;MASC+FEM;SG
okulu	school	okul	school	N;NOM;SG;3	N;MASC+FEM;SG
aldı	genomen	al	nemen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
aldı	meegenomen	al	meenemen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
aldı	nam	al	nemen	V;PFV;IND;SG;3;POS;PST	V;SG;PST;FIN
aldı	ontvangen	al	ontvangen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
farklı	verschillend	farklı	verschillend	ADJ	ADJ
farklı	verschillende	farklı	verschillend	ADJ	ADJ
özel	exclusieve	özel	exclusief	ADJ	ADJ
özel	exclusief	özel	exclusief	ADJ	ADJ
özel	privé	özel	privé	ADJ	ADJ
özel	particulier	özel	particulier	ADJ	ADJ
özel	speciaal	özel	speciaal	ADJ	ADJ
özel	bijzonder	özel	bijzonder	ADJ	ADJ
özel	speciale	özel	speciaal	ADJ	ADJ
özel	maatwerk	özel	maatwerk	ADJ	ADJ
biri	iemand	biri	iemand	PRO;NOM;SG;3	PRO;3
biri	iemand	biri	iemand	PRO;NOM;SG;3	PRO;3
alanı	veld	alan	veld	N;NOM;SG;3	N;NEUT;SG
alanı	gebied	alan	gebied	N;NOM;SG;3	N;NEUT;SG
alanı	oppervlakte	alan	oppervlakte	N;NOM;SG;3	N;MASC+FEM;SG
uzun	groter	uzun	groot	ADJ	ADJ;CMPR
uzun	langer	uzun	langer	ADJ	ADJ;CMPR
uzun	lang	uzun	lang	ADJ	ADJ
uzun	lange	uzun	lang	ADJ	ADJ
elektrik	elektriciteit	elektrik	elektriciteit	N;NOM;SG;3	N;MASC+FEM;SG
elektrik	electriciteit	elektrik	electriciteit	N;NOM;SG;3	N;MASC+FEM;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;NEUT;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;NEUT;SG
kısa	kortere	kısa	kort	ADJ	ADJ;CMPR
kısa	korter	kısa	kort	ADJ	ADJ;CMPR
kısa	kort	kısa	kort	ADJ	ADJ
kısa	korte	kısa	kort	ADJ	ADJ
