befintliga	existentes	befintlig	existente	ADJ;NOM;PL	ADJ;PL
alias	alias	alia	alias	N;NOM;INDF;NEUT;SG	N;MASC;SG
alias	alias	alia	alias	N;NOM;INDF;NEUT;SG	N;MASC;SG
alias	aka	alia	aka	N;NOM;INDF;NEUT;SG	N
alias	alias	alia	alias	N;NOM;INDF;NEUT;SG	N;MASC;SG
skatt	tesoro	skatt	tesoro	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
skatt	fiscalidad	skatt	fiscalidad	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
skatt	tributación	skatt	tributación	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
svansen	rabo	svans	rabo	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
svansen	cola	svans	cola	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
florens	florencia	flor	florencia	N;GEN;DEF;MASC+FEM;SG	N;FEM;SG
business	empresa	business	empresa	N;NOM;INDF;NEUT;SG	N;FEM;SG
business	negocio	business	negocio	N;NOM;INDF;NEUT;SG	N;MASC;SG
fantasy	fantasy	fantasy	fantasy	N;NOM;INDF;MASC+FEM;SG	N;MASC
fantasy	fantasia	fantasy	fantasia	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
fantasy	fantasía	fantasy	fantasía	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
passiflora	passiflora	passiflora	passiflora	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
bönder	campesinos	bönder	campesino	N;NOM;INDF;NEUT;PL	N;MASC;PL
bönder	agricultores	bönder	agricultor	N;NOM;INDF;NEUT;PL	N;MASC;PL
bönder	campesinos	bönder	campesino	N;NOM;INDF;NEUT;PL	N;MASC;PL
bönder	granjeros	bönder	granjero	N;NOM;INDF;NEUT;PL	N;MASC;PL
break	break	break	break	N;NOM;INDF;NEUT;SG	N;MASC;SG
break	descanso	break	descanso	N;NOM;INDF;NEUT;SG	N;MASC;SG
eyes	eyes	eyes	eye	N;NOM;INDF;NEUT;SG	N
svans	rabo	svans	rabo	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
svans	cola	svans	cola	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
woods	bosque	woods	bosque	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
woods	woods	woods	woods	N;NOM;INDF;MASC+FEM;SG	N
praktiska	prácticos	praktisk	práctico	ADJ;NOM;PL	ADJ;MASC;PL
praktiska	prácticos	praktisk	práctico	ADJ;NOM;PL	ADJ;MASC;PL
dansare	bailarinas	dansare	bailarino	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
dansare	bailarines	dansare	bailarin	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
palmer	palmer	palmer	palmer	N;NOM;INDF;MASC+FEM;SG	N;SG
blandad	mixta	blanda	mixto	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;FEM;SG
blandad	mixto	blanda	mixto	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;MASC;SG
blandad	mezclado	blanda	mezclado	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
blandad	mezclado	blanda	mezclado	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
tåget	train	tågen	train	N;NOM;DEF;NEUT;SG	N
tåget	entreno	tågen	entreno	N;NOM;DEF;NEUT;SG	N;MASC;SG
tåget	tren	tågen	tren	N;NOM;DEF;NEUT;SG	N;MASC;SG
undersöka	investigar	undersöka	investigar	V;IMP;FIN;ACT	V;NFIN
undersöka	investigue	undersöka	investigar	V;IMP;FIN;ACT	V;IMP;SG;3;FIN
undersöka	investiguen	undersöka	investigar	V;IMP;FIN;ACT	V;IMP;PL;3;FIN
undersöka	examinar	undersöka	examinar	V;IMP;FIN;ACT	V;NFIN
undersöka	examine	undersöka	examinar	V;IMP;FIN;ACT	V;IMP;SG;3;FIN
ägaren	propietario	ägare	propietario	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
ägaren	dueño	ägare	dueño	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
