この	इस	この	यह	DET	DET;ACC;SG;3
もの	बातों	もの	बात	N	N;ACC;FEM;PL;3
もの	चीजें	もの	चीज	N	N;NOM;FEM;PL;3
もの	चीज़ें	もの	चीज़	N	N;NOM;FEM;PL;3
もの	बातें	もの	बात	N	N;NOM;FEM;PL;3
大学	विश्वविद्यालय	大学	विश्वविद्यालय	N	N;NOM;MASC;SG;3
大学	विश्वविद्यालयों	大学	विश्वविद्यालय	N	N;ACC;MASC;PL;3
大学	विश्वविद्यालय	大学	विश्वविद्यालय	N	N;NOM;MASC;SG;3
大学	यूनिवर्सिटी	大学	यूनिवर्सिटी	N	N;NOM;FEM;SG;3
大学	विश्वविद्यालयों	大学	विश्वविद्यालय	N	N;ACC;MASC;PL;3
大学	कॉलेज	大学	कॉलेज	N	N;NOM;MASC;SG;3
大学	कॉलेज	大学	कॉलेज	N	N;NOM;MASC;SG;3
大学	कॉलेजों	大学	कॉलेज	N	N;ACC;MASC;PL;3
テレビ	टेलीविज़न	テレビ	टेलीविज़न	N	N;NOM;MASC;SG;3
テレビ	टेलीविजन	テレビ	टेलीविजन	N	N;NOM;MASC;SG;3
テレビ	टीवी	テレビ	टीवी	N	N;NOM;MASC;SG;3
テレビ	दूरदर्शन	テレビ	दूरदर्शन	N	N;NOM;MASC;SG;3
テレビ	टेलीविज़न	テレビ	टेलीविज़न	N	N;NOM;MASC;SG;3
削除	मिटाया	削除	मिटा	V	V;PFV;MASC;SG;V.PTCP;ACT
削除	हटाना	削除	हटा	V	V;MASC;NFIN;ACT
削除	हटाना	削除	हटा	V	V;MASC;NFIN;ACT
削除	निकालें	削除	निकाल	V	V;SBJV;PL;FIN;ACT
削除	हटाएँ	削除	हटा	V	V;SBJV;PL;FIN;ACT
削除	हटाएँ	削除	हटा	V	V;SBJV;PL;FIN;ACT
現在	धारा	現在	धारा	N	N;NOM;FEM;SG;3
現在	मौज़ूदा	現在	मौज़ूदा	N	N;NOM;FEM;SG;3
現在	वर्तमान	現在	वर्तमान	N	N;NOM;MASC;SG;3
現在	वर्तमान	現在	वर्तमान	N	N;NOM;MASC;SG;3
学校	विद्यालय	学校	विद्यालय	N	N;NOM;MASC;SG;3
学校	स्कूल	学校	स्कूल	N	N;NOM;MASC;SG;3
学校	स्कूलों	学校	स्कूल	N	N;ACC;MASC;PL;3
学校	विद्यालय	学校	विद्यालय	N	N;NOM;MASC;SG;3
学校	school	学校	school	N	N;NOM;MASC;SG;3
学校	स्कूल	学校	स्कूल	N	N;NOM;MASC;SG;3
これ	ये	これ	यह	PRO	PRO;NOM;PL;3
これ	यह	これ	यह	PRO	PRO;NOM;SG;3
世界	दुनिया	世界	दुनिया	N	N;NOM;FEM;SG;3
世界	विश्व	世界	विश्व	N	N;NOM;MASC;SG;3
世界	संसार	世界	संसार	N	N;NOM;MASC;SG;3
でも	लेकिन	でも	लेकिन	CONJ	CONJ
でも	मगर	でも	मगर	CONJ	CONJ
作品	डिस्कोग्राफ़ी	作品	डिस्कोग्राफ़ी	N	N;NOM;FEM;SG;3
映画	चलचित्र	映画	चलचित्र	N	N;NOM;MASC;SG;3
映画	फ़िल्म	映画	फ़िल्म	N	N;NOM;FEM;SG;3
映画	मूवी	映画	मूवी	N	N;NOM;FEM;SG;3
映画	फिल्म	映画	फिल्म	N	N;NOM;FEM;SG;3
映画	सिनेमा	映画	सिनेमा	N	N;NOM;MASC;SG;3
映画	फ़िल्म	映画	फ़िल्म	N	N;NOM;FEM;SG;3
映画	फिल्म	映画	फिल्म	N	N;NOM;FEM;SG;3
映画	फिल्में	映画	फिल्म	N	N;NOM;FEM;PL;3
映画	मूवी	映画	मूवी	N	N;NOM;FEM;SG;3
映画	फ़िल्में	映画	फ़िल्म	N	N;NOM;FEM;PL;3
映画	फिल्मों	映画	फिल्म	N	N;ACC;FEM;PL;3
監督	निर्देशक	監督	निर्देशक	N	N;NOM;MASC;SG;3
監督	निदेशक	監督	निदेशक	N	N;NOM;MASC;SG;3
監督	पर्यवेक्षण	監督	पर्यवेक्षण	N	N;NOM;MASC;SG;3
鉄道	रेलमार्ग	鉄道	रेलमार्ग	N	N;NOM;MASC;SG;3
鉄道	रेलरोड	鉄道	रेलरोड	N	N;NOM;MASC;SG;3
鉄道	रेलवे	鉄道	रेलवे	N	N;NOM;MASC;SG;3
鉄道	रेल	鉄道	रेल	N	N;NOM;FEM;SG;3
鉄道	रेलवे	鉄道	रेलवे	N	N;NOM;MASC;SG;3
鉄道	रेल	鉄道	रेल	N	N;NOM;FEM;SG;3
出演	दिखावे	出演	दिखावा	V	V;MASC;SG;3;FIN;ACT
出演	डाल	出演	डाल	V	V;ACT
時間	घंटे	時間	घंटा	N	N;NOM;MASC;SG;3
時間	घंटा	時間	घंटा	N	N;NOM;MASC;SG;3
時間	कार्यकाल	時間	कार्यकाल	N	N;NOM;MASC;SG;3
時間	घंटों	時間	घंटा	N	N;NOM;MASC;PL;3
時間	घंटा	時間	घंटा	N	N;NOM;MASC;SG;3
時間	वक़्त	時間	वक़्त	N	N;NOM;MASC;SG;3
時間	वक्त	時間	वक्त	N	N;NOM;MASC;SG;3
時間	समय	時間	समय	N	N;NOM;MASC;SG;3
シリーズ	श्रेणी	シリーズ	श्रेणी	N	N;NOM;FEM;SG;3
記事	लेख	記事	लेख	N	N;NOM;MASC;SG;3
記事	आलेख	記事	आलेख	N	N;NOM;MASC;SG;3
記事	कहानी	記事	कहानी	N	N;NOM;FEM;SG;3
記事	स्टोरी	記事	स्टोरी	N	N;NOM;FEM;SG;3
記事	कहानियाँ	記事	कहानी	N	N;NOM;FEM;PL;3
記事	कहानियां	記事	कहानी	N	N;NOM;FEM;PL;3
記事	लेख	記事	लेख	N	N;NOM;MASC;SG;3
記事	आलेख	記事	आलेख	N	N;NOM;MASC;SG;3
選手	खिलाडी	選手	खिलाडी	N	N;NOM;MASC;SG;3
選手	खिलाड़ी	選手	खिलाडी	N	N;NOM;MASC;SG;3
しかし	लेकिन	しかし	लेकिन	CONJ	CONJ
しかし	मगर	しかし	मगर	CONJ	CONJ
大会	कन्वेंशन	大会	कन्वेंशन	N	N;NOM;MASC;SG;3
大会	सम्मेलन	大会	सम्मेलन	N	N;NOM;MASC;SG;3
チーム	टीम	チーム	टीम	N	N;NOM;FEM;SG;3
チーム	टीमों	チーム	टीम	N	N;ACC;FEM;PL;3
チーム	टीम	チーム	टीम	N	N;NOM;FEM;SG;3
チーム	टोली	チーム	टोली	N	N;NOM;FEM;SG;3
優勝	जीतना	優勝	जीत	V	V;MASC;NFIN;ACT
作詞	गीत	作詞	गीत	N	N;NOM;MASC;PL;3
結果	रिजल्ट	結果	रिजल्ट	N	N;NOM;MASC;SG;3
結果	परिणाम	結果	परिणाम	N	N;NOM;MASC;PL;3
