dan	og	dan	og	CONJ	CONJ
dari	frå	dari	frå	ADP	ADP
dengan	med	dengan	med	ADP	ADP
adalah	er	adalah	vere	V	V;IND;PRS;FIN
untuk	for	untuk	for	ADP	ADP
tahun	ar	tahun	ar	N;SG	N;INDF;MASC;SG
tahun	år	tahun	år	N;SG	N;INDF;NEUT;SG
tahun	årsmodell	tahun	årsmodell	N;SG	N;INDF;MASC;SG
tahun	året	tahun	år	N;SG	N;DEF;NEUT;SG
tahun	år	tahun	år	N;SG	N;INDF;NEUT;SG
juga	òg	juga	òg	ADV	ADV
juga	også	juga	også	ADV	ADV
tidak	ikkje	tidak	ikkje	PART;NEG	PART;NEG
menjadi	bli	menjadi	bli	V;SG;ACT	V;IMP;FIN
bagian	seksjonen	bagian	seksjon	N;SG	N;DEF;MASC;SG
bagian	seksjon	bagian	seksjon	N;SG	N;INDF;MASC;SG
bagian	delen	bagian	del	N;SG	N;DEF;MASC;SG
bagian	seksjon	bagian	seksjon	N;SG	N;INDF;MASC;SG
bagian	seksjoner	bagian	seksjon	N;SG	N;INDF;MASC;SG
spesies	art	spesies	art	N;SG	N;INDF;MASC;SG
orang	person	orang	person	N;SG	N;INDF;MASC;SG
orang	personen	orang	person	N;SG	N;DEF;MASC;SG
orang	mennesker	orang	menneske	N;SG	N;INDF;MASC;SG
memiliki	har	menmiliki	ha	V;SG;ACT	V;IND;PRS;FIN
memiliki	har	menmiliki	ha	V;SG;ACT	V;IND;PRS;FIN
memiliki	ha	menmiliki	ha	V;SG;ACT	V;IMP;FIN
kota	byen	kota	by	N;SG	N;DEF;MASC;SG
kota	by	kota	by	N;SG	N;INDF;MASC;SG
kota	city	kota	city	N;SG	N
kota	byen	kota	by	N;SG	N;DEF;MASC;SG
kota	poststed	kota	poststed	N;SG	N;INDF;MASC;SG
kota	by	kota	by	N;SG	N;INDF;MASC;SG
seperti	som	seperti	som	ADP	ADP
pranala	link	pranala	link	N;SG	N;INDF;MASC;SG
pranala	kobling	pranala	kobling	N;SG	N;INDF;FEM;SG
pranala	lenke	pranala	lenke	N;SG	N;INDF;MASC;SG
pranala	hyperlenke	pranala	hyperlenke	N;SG	N;INDF;MASC;SG
karena	fordi	karena	fordi	CONJ	CONJ
desa	landsby	desa	landsby	N;SG	N;INDF;MASC;SG
desa	village	desa	village	N;SG	N;INDF;MASC;SG
desa	bygda	desa	bygd	N;SG	N;DEF;FEM;SG
ada	eksisterer	ada	eksistere	V;SG	V;IND;PRS;FIN
nama	namn	nama	namn	N;SG	N;INDF;NEUT;SG
nama	navnet	nama	navn	N;SG	N;DEF;NEUT;SG
nama	navn	nama	navn	N;SG	N;INDF;NEUT;SG
nama	names	nama	names	N;SG	N
nama	navn	nama	navn	N;SG	N;INDF;NEUT;SG
kayu	trevirke	kayu	trevirke	N;SG	N;INDF;NEUT;SG
kayu	treverk	kayu	treverk	N;SG	N;INDF;NEUT;SG
bahwa	at	bahwa	at	CONJ	CONJ
setelah	etter	setelah	etter	ADP	ADP
bahasa	språk	bahasa	språk	N;SG	N;INDF;NEUT;SG
bahasa	språk	bahasa	språk	N;SG	N;INDF;NEUT;SG
asteroid	asteroider	asteroid	asteroid	N	N;INDF;MASC;SG
asteroid	asteroide	asteroid	asteroid	N	N;INDF;MASC;SG
besar	stor	besar	stor	ADJ;SG	ADJ;INDF;SG
