una	egy	uno	egy	DET;INDF;FEM;SG	DET;INDF
como	mint	como	mint	CONJ	CONJ
también	egyben	también	egyben	ADV	ADV
entre	között	entre	között	ADP	ADP
entre	között	entre	között	ADP	ADP
este	ezt	este	ez	PRO;MASC;SG	PRO;ACC;SG;3
este	ez	este	ez	PRO;MASC;SG	PRO;NOM;SG;3
pero	de	pero	de	CONJ	CONJ
años	évek	año	év	N;MASC;PL	N;NOM;PL
año	évjárat	año	évjárat	N;MASC;SG	N;NOM;SG
año	éve	año	év	N;MASC;SG	N;NOM;SG
año	év	año	év	N;MASC;SG	N;NOM;SG
desde	óta	desde	óta	ADP	ADP
esta	ezt	este	ez	PRO;FEM;SG	PRO;ACC;SG;3
esta	ez	este	ez	PRO;FEM;SG	PRO;NOM;SG;3
enlaces	linkek	enlace	link	N;MASC;PL	N;NOM;PL
enlaces	hivatkozások	enlace	hivatkozás	N;MASC;PL	N;NOM;PL
enlaces	kapcsolatok	enlace	kapcsolat	N;MASC;PL	N;NOM;PL
ciudad	városban	ciudad	város	N;FEM;SG	N;IN+ESS;SG
ciudad	város	ciudad	város	N;FEM;SG	N;NOM;SG
ciudad	város	ciudad	város	N;FEM;SG	N;NOM;SG
parte	buli	parte	buli	N;FEM;SG	N;NOM;SG
parte	rész	parte	rész	N;FEM;SG	N;NOM;SG
parte	része	parte	rész	N;FEM;SG	N;NOM;SG
sin	nélkül	sin	nélkül	ADP	ADP
nacional	nemzeti	nacional	nemzeti	ADJ;SG	ADJ;NOM;SG
nacional	országos	nacional	országos	ADJ;SG	ADJ;NOM;SG
primera	első	primero	első	ADJ;FEM;SG	ADJ;NOM;SG
team	csapat	team	csapat	N	N;NOM;SG
nombre	neve	nombre	név	N;MASC;SG	N;NOM;SG
nombre	név	nombre	név	N;MASC;SG	N;NOM;SG
estados	államok	estado	állam	N;MASC;PL	N;NOM;PL
estados	államokat	estado	állam	N;MASC;PL	N;ACC;PL
utc	utc	utc	utc	N	N;NOM;SG
siglo	évszázad	siglo	évszázad	N;MASC;SG	N;NOM;SG
siglo	század	siglo	század	N;MASC;SG	N;NOM;SG
después	később	después	későn	ADV	ADV
gran	nagy	gran	nagy	ADJ;SG	ADJ;NOM;SG
puede	tud	poder	tud	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
estado	állapot	estado	állap	N;MASC;SG	N;NOM;SG
estado	státusz	estado	státusz	N;MASC;SG	N;NOM;SG
estado	állapot	estado	állap	N;MASC;SG	N;NOM;SG
estado	állam	estado	állam	N;MASC;SG	N;NOM;SG
estado	állapota	estado	állapot	N;MASC;SG	N;NOM;SG
estado	feltétel	estado	feltétel	N;MASC;SG	N;NOM;SG
estado	állapot	estado	állap	N;MASC;SG	N;NOM;SG
lugar	helyszín	lugar	helyszín	N;MASC;SG	N;NOM;SG
lugar	hely	lugar	hely	N;MASC;SG	N;NOM;SG
lugar	helyszín	lugar	helyszín	N;MASC;SG	N;NOM;SG
lugar	hely	lugar	hely	N;MASC;SG	N;NOM;SG
lugar	elhelyezkedés	lugar	elhelyezkedés	N;MASC;SG	N;NOM;SG
primer	első	primero	első	ADJ;MASC;SG	ADJ;NOM;SG
población	populáció	población	populáció	N;FEM;SG	N;NOM;SG
población	népesség	población	népesség	N;FEM;SG	N;NOM;SG
población	lakosság	población	lakosság	N;FEM;SG	N;NOM;SG
muy	nagyon	mucho	nagyon	ADV	ADV
nueva	új	nuevo	új	ADJ;FEM;SG	ADJ;NOM;SG
historia	sztori	historia	sztori	N;FEM;SG	N;NOM;SG
historia	történet	historia	történet	N;FEM;SG	N;NOM;SG
historia	története	historia	történet	N;FEM;SG	N;NOM;SG
historia	mese	historia	mese	N;FEM;SG	N;NOM;SG
