con	med	con	med	ADP	ADP
categoría	kategori	categoría	kategori	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
categoría	kategorin	categoría	kategori	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
para	för	para	för	ADP	ADP
como	som	como	som	CONJ	CONJ
más	mera	más	mycket	ADV	ADV;CMPR
más	mer	más	mycket	ADV	ADV;CMPR
también	också	también	också	ADV	ADV
también	även	también	även	ADV	ADV
también	också	también	också	ADV	ADV
también	alltför	también	alltför	ADV	ADV
entre	bland	entre	bland	ADP	ADP
entre	emellan	entre	emellan	ADP	ADP
entre	mellan	entre	mellan	ADP	ADP
este	denna	este	denna	PRO;MASC;SG	PRO;DEF;MASC+FEM;SG
este	detta	este	denna	PRO;MASC;SG	PRO;DEF;NEUT;SG
pero	men	pero	men	CONJ	CONJ
años	åratal	año	åratal	N;MASC;PL	N;NOM;INDF;NEUT;PL
años	åren	año	år	N;MASC;PL	N;NOM;DEF;NEUT;PL
dos	två	dos	två	NUM;PL	NUM;NOM
son	är	ser	vara	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
año	year	año	yea	N;MASC;SG	N;NOM;INDF;NEUT;SG
año	årsmodell	año	årsmodell	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
año	året	año	år	N;MASC;SG	N;NOM;DEF;NEUT;SG
año	år	año	år	N;MASC;SG	N;NOM;INDF;NEUT;SG
desde	från	desde	från	ADP	ADP
esta	denna	este	denna	PRO;FEM;SG	PRO;DEF;MASC+FEM;SG
esta	detta	este	denna	PRO;FEM;SG	PRO;DEF;NEUT;SG
enlaces	länkar	enlace	länka	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
externos	yttre	externo	yttre	ADJ;MASC;PL	ADJ;NOM;CMPR
ciudad	town	ciudad	town	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ciudad	stad	ciudad	stad	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ciudad	staden	ciudad	stad	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ciudad	staden	ciudad	stad	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ciudad	city	ciudad	city	N;FEM;SG	N;NOM;INDF;NEUT;SG
ciudad	ort	ciudad	ort	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ciudad	stad	ciudad	stad	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ciudad	orten	ciudad	ort	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ciudad	ciudad	ciudad	ciuda	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
parte	party	parte	party	N;FEM;SG	N;NOM;INDF;NEUT;SG
parte	fest	parte	fest	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
parte	part	parte	part	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
parte	kalas	parte	kala	N;FEM;SG	N;NOM;INDF;NEUT;SG
parte	parti	parte	parti	N;FEM;SG	N;NOM;INDF;NEUT;SG
parte	delen	parte	del	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
parte	del	parte	del	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
durante	under	durante	under	ADP	ADP
sin	utan	sin	utan	ADP	ADP
san	sankt	san	sankt	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
san	saint	san	saint	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
