laras	hordó	laras	hordó	N	N;NOM;SG
akademisi	akadémiai	akademisi	akadémiai	N;SG	N;NOM;SG
patroli	őrjárat	patroli	őrjárat	N;SG	N;NOM;SG
patroli	járőr	patroli	járőr	N;SG	N;NOM;SG
patroli	őrjárat	patroli	őrjárat	N;SG	N;NOM;SG
volkswagen	volkswagen	volkswagen	volkspag	N	N;NOM;SG
produktif	eredményes	produktif	eredményes	ADJ;SG	ADJ;NOM;SG
bandingkan	összehasonlítani	bandingkan	összehasonlít	V;SG;ACT	V;NFIN;ACT
pelaut	tengerész	penlaut	tengerész	N;SG	N;NOM;SG
pelaut	matróz	penlaut	matróz	N;SG	N;NOM;SG
pelaut	tengerész	penlaut	tengerész	N;SG	N;NOM;SG
pelaut	matróz	penlaut	matróz	N;SG	N;NOM;SG
perkantoran	hivatal	perkantoran	hivatal	N;SG	N;NOM;SG
perkantoran	iroda	perkantoran	iroda	N;SG	N;NOM;SG
utang	adósság	utang	adósság	N;SG	N;NOM;SG
utang	tartozás	utang	tartozás	N;SG	N;NOM;SG
utang	tartozás	utang	tartozás	N;SG	N;NOM;SG
utang	adósság	utang	adósság	N;SG	N;NOM;SG
utang	adóssága	utang	adósság	N;SG	N;NOM;SG
tayangan	megjelenés	tayangan	megjelenés	N;SG	N;NOM;SG
tayangan	benyomás	tayangan	benyomás	N;SG	N;NOM;SG
tayangan	megtekintés	tayangan	megtekintés	N;SG	N;NOM;SG
tayangan	benyomást	tayangan	benyomás	N;SG	N;ACC;SG
tayangan	benyomás	tayangan	benyomás	N;SG	N;NOM;SG
kelanjutan	folytatás	kelanjutan	folytatás	N;SG	N;NOM;SG
kelanjutan	folytatása	kelanjutan	folytatás	N;SG	N;NOM;SG
menyelidiki	nyomoz	menselidiki	nyomoz	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
menyelidiki	nyomozni	menselidiki	nyomoz	V;SG;ACT	V;NFIN;ACT
orientasi	eligazítás	orientasi	eligazítás	N;SG	N;NOM;SG
orientasi	irányultság	orientasi	irányultság	N;SG	N;NOM;SG
mangga	mangó	mangga	mangó	N	N;NOM;SG
mangga	mangó	mangga	mangó	N	N;NOM;SG
idris	idris	idris	idris		
bir	sör	bir	sör	N;SG	N;NOM;SG
bir	sört	bir	sört	N;SG	N;ACC;SG
rusa	jávorszarvas	rusa	jávorszarvas	N	N;NOM;SG
rusa	szarvast	rusa	szarvas	N	N;ACC;SG
bahu	vállán	bahu	vállán	N;SG	N;ON+ESS;SG
bahu	válla	bahu	válla	N;SG	N;NOM;SG
bahu	váll	bahu	váll	N;SG	N;NOM;SG
bahu	váll	bahu	váll	N;SG	N;NOM;SG
berlari	futott	berlari	fut	V;SG;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
berlari	futottam	berlari	fut	V;SG;ACT	V;INDF;IND;SG;1;PST;FIN;ACT
berlari	fut	berlari	fut	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
berlari	futok	berlari	fut	V;SG;ACT	V;INDF;IND;SG;1;PRS;FIN;ACT
residen	lakos	residen	lakos	N	N;NOM;SG
residen	prefektus	residen	prefektus	N	N;NOM;SG
anggrek	orchidea	anggrek	orchidea	N;SG	N;NOM;SG
anggrek	orchidea	anggrek	orchidea	N;SG	N;NOM;SG
referendum	népszavazás	referendum	népszavazás	N	N;NOM;SG
arwah	szesz	arwah	szesz	N;SG	N;NOM;SG
michelle	michelle	michelle	michelle	N	N;NOM;SG
seminari	szemináriumba	seminari	szeminárium	N	N;IN+ALL;SG
seminari	szeminárium	seminari	szeminárium	N	N;NOM;SG
sindrom	szindróma	sindrom	szindróma	N	N;NOM;SG
sajak	rím	sajak	rím	N	N;NOM;SG
instalasi	telepítés	instalasi	telepítés	N;SG	N;NOM;SG
instalasi	létesítmény	instalasi	létesítmény	N;SG	N;NOM;SG
instalasi	telepítés	instalasi	telepítés	N;SG	N;NOM;SG
