kategória	類別	kategória	類別	N;NOM;FEM;SG	N
roku	年度	rok	年度	N;INAN;GEN;MASC;SG	N
roku	年份	rok	年份	N;INAN;GEN;MASC;SG	N
roku	年	rok	年	N;INAN;GEN;MASC;SG	N
ako	就	ako	就	ADV	ADV
pozri	見	pozrieť	見	V;PFV;IMP;SG;2;POS;FIN	V
obce	公社	obec	公社	N;NOM;FEM;PL	N
obce	市鎮	obec	市鎮	N;NOM;FEM;PL	N
obce	市	obec	市	N;NOM;FEM;PL	N
obce	市鎮	obec	市鎮	N;NOM;FEM;PL	N
obce	鄉村	obec	鄉村	N;NOM;FEM;PL	N
obce	村	obec	村	N;NOM;FEM;PL	N
obyvateľov	居民	obyvateľ	居民	N;ANIM;ACC;MASC;PL	N
obec	公社	obec	公社	N;NOM;FEM;SG	N
obec	市	obec	市	N;NOM;FEM;SG	N
obec	村	obec	村	N;NOM;FEM;SG	N
obec	鄉村	obec	鄉村	N;NOM;FEM;SG	N
obec	村	obec	村	N;NOM;FEM;SG	N
obec	村落	obec	村落	N;NOM;FEM;SG	N
obec	村子	obec	村子	N;NOM;FEM;SG	N
bod	角	bod	角	N;INAN;NOM;MASC;SG	N
bod	點	bod	點	N;INAN;NOM;MASC;SG	N
zoznam	名單	zoznam	名單	N;INAN;NOM;MASC;SG	N
zoznam	清單	zoznam	清單	N;INAN;NOM;MASC;SG	N
iné	其他	iný	其他	DET;NOM;NEUT;SG	DET
iné	其他	iný	其他	DET;NOM;NEUT;SG	DET
počet	數字	počet	數字	N;INAN;NOM;MASC;SG	N
počet	數	počet	數	N;INAN;NOM;MASC;SG	N
počet	號碼	počet	號碼	N;INAN;NOM;MASC;SG	N
počet	編號	počet	編號	N;INAN;NOM;MASC;SG	N
miesto	斑點	miesto	斑點	N;NOM;NEUT;SG	N
miesto	地方	miesto	地方	N;NOM;NEUT;SG	N
miesto	地點	miesto	地點	N;NOM;NEUT;SG	N
miesto	位置	miesto	位置	N;NOM;NEUT;SG	N
miesto	地點	miesto	地點	N;NOM;NEUT;SG	N
miesto	地點	miesto	地點	N;NOM;NEUT;SG	N
miesto	場地	miesto	場地	N;NOM;NEUT;SG	N
miesto	會場	miesto	會場	N;NOM;NEUT;SG	N
miesto	網站	miesto	網站	N;NOM;NEUT;SG	N
miesto	工地	miesto	工地	N;NOM;NEUT;SG	N
obcí	公社	obec	公社	N;GEN;FEM;PL	N
obcí	市鎮	obec	市鎮	N;GEN;FEM;PL	N
obcí	市	obec	市	N;GEN;FEM;PL	N
obcí	市鎮	obec	市鎮	N;GEN;FEM;PL	N
obci	公社	obec	公社	N;DAT;FEM;SG	N
jej	她	ona	她	PRO;DAT;FEM;SG;3	PRO;3
projekty	項目	projekt	項目	N;INAN;NOM;MASC;PL	N
francúzska	法文	francúzsky	法文	N;NOM;FEM;SG	N
najvyšší	最高	vysoký	最高	ADJ;ANIM;NOM;RL;MASC;SG	ADJ
najvyšší	最高	vysoký	最高	ADJ;ANIM;NOM;RL;MASC;SG	ADJ
graf	圖表	graf	圖表	N;INAN;NOM;MASC;SG	N
graf	圖形	graf	圖形	N;INAN;NOM;MASC;SG	N
graf	圖	graf	圖	N;INAN;NOM;MASC;SG	N
graf	圖表	graf	圖表	N;INAN;NOM;MASC;SG	N
graf	圖	graf	圖	N;INAN;NOM;MASC;SG	N
najnižší	最低	žízky	最低	ADJ;INAN;NOM;RL;MASC;SG	ADJ
zobrazuje	顯示	zobrazovať	顯示	V;IPFV;IND;SG;3;POS;PRS;FIN	V
mesto	城鎮	mesto	城鎮	N;NOM;NEUT;SG	N
mesto	鎮	mesto	鎮	N;NOM;NEUT;SG	N
mesto	城市	mesto	城市	N;NOM;NEUT;SG	N
mesto	市	mesto	市	N;NOM;NEUT;SG	N
mesto	城	mesto	城	N;NOM;NEUT;SG	N
rokov	歲	rok	歲	N;INAN;GEN;MASC;PL	N
rokov	年份	rok	年份	N;INAN;GEN;MASC;PL	N
úmrtia	死神	úmrtie	死神	N;NOM;NEUT;PL	N
storočia	世紀	storočie	世紀	N;NOM;NEUT;PL	N
časti	部件	časť	部件	N;DAT;FEM;SG	N
stránka	網站	stránka	網站	N;NOM;FEM;SG	N
stránka	工地	stránka	工地	N;NOM;FEM;SG	N
skupiny	群組	skupina	群組	N;NOM;FEM;PL	N
skupiny	群	skupina	群	N;NOM;FEM;PL	N
skupiny	群組	skupina	群組	N;NOM;FEM;PL	N
skupiny	團體	skupina	團體	N;NOM;FEM;PL	N
roka	年度	rok	年度	N;INAN;GEN;MASC;SG	N
roka	年份	rok	年份	N;INAN;GEN;MASC;SG	N
roka	年	rok	年	N;INAN;GEN;MASC;SG	N
mesta	城鎮	mesto	城鎮	N;NOM;NEUT;SG	N
mesta	鎮	mesto	鎮	N;NOM;NEUT;SG	N
mesta	城市	mesto	城市	N;NOM;NEUT;SG	N
mesta	市	mesto	市	N;NOM;NEUT;SG	N
mesta	城	mesto	城	N;NOM;NEUT;SG	N
skupina	群組	skupina	群組	N;NOM;FEM;SG	N
skupina	群	skupina	群	N;NOM;FEM;SG	N
veľmi	非常	veľmi	非常	ADV	ADV
potom	然後	potom	然後	ADV	ADV
potom	那麼	potom	那麼	ADV	ADV
tento	這	tento	這	DET;INAN;NOM;MASC;SG	DET
osobnosti	人格	osobnosť	人格	N;NOM;FEM;PL	N
osobnosti	人格	osobnosť	人格	N;NOM;FEM;PL	N
osobnosti	性格	osobnosť	性格	N;NOM;FEM;PL	N
osobnosti	個性	osobnosť	個性	N;NOM;FEM;PL	N
roky	歲	rok	歲	N;INAN;NOM;MASC;PL	N
roky	年份	rok	年份	N;INAN;NOM;MASC;PL	N
