lui	his	el	he	PRO;3	PRO;MASC;SG;3
sunt	are	fi	be	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
sit	site	sit	site	N;INDF;MASC;SG	N;SG
regiunea	region	regiune	region	N;DEF;FEM;SG	N;SG
mare	great	mare	great	ADJ;INDF;MASC;SG	ADJ
mare	big	mare	big	ADJ;INDF;MASC;SG	ADJ
anul	year	an	year	N;DEF;MASC;SG	N;SG
comuna	municipality	comună	municipality	N;DEF;FEM;SG	N;SG
externe	external	extern	external	ADJ;INDF;FEM;PL	ADJ
locuitori	inhabitants	locuitor	inhabitant	N;INDF;MASC;PL	N;PL
locuitori	residents	locuitor	resident	N;INDF;MASC;PL	N;PL
legaturi	links	legatură	link	N;INDF;FEM;PL	N;PL
legaturi	connections	legatură	connection	N;INDF;FEM;PL	N;PL
legaturi	links	legatură	link	N;INDF;FEM;PL	N;PL
dar	but	dar	but	CONJ;POS	CONJ
populatie	population	populatie	population	N;INDF;FEM;SG	N;SG
fiind	being	fi	be	V;V.MSDR	V;V.MSDR
lista	list	listă	list	N;DEF;FEM;SG	N;SG
lista	list	listă	list	N;DEF;FEM;SG	N;SG
nume	name	nume	name	N;INDF	N;SG
ani	years	an	year	N;INDF;MASC;PL	N;PL
pana	feather	pană	feather	N;DEF;FEM;SG	N;SG
poate	maybe	poate	maybe	ADV	ADV
poate	perhaps	poate	perhaps	ADV	ADV
rege	king	rege	king	N;INDF;MASC;SG	N;SG
regiune	region	regiune	region	N;INDF;FEM;SG	N;SG
anii	years	an	year	N;DEF;MASC;PL	N;PL
parte	part	parte	part	N;INDF;FEM;SG	N;SG
judetul	county	judet	county	N;DEF;MASC;SG	N;SG
judetul	county	judet	county	N;DEF;MASC;SG	N;SG
centura	seatbelt	centură	seatbelt	N;DEF;FEM;SG	N;SG
centura	belt	centură	belt	N;DEF;FEM;SG	N;SG
centura	belt	centură	belt	N;DEF;FEM;SG	N;SG
dinastia	dynasty	dinastie	dynasty	N;DEF;FEM;SG	N;SG
timp	time	timp	time	N;INDF;MASC;SG	N;SG
majoritatea	majority	majoritate	majority	N;DEF;FEM;SG	N;SG
densitate	density	densitate	density	N;INDF;FEM;SG	N;SG
limba	tongue	limbă	tongue	N;DEF;FEM;SG	N;SG
limba	language	limbă	language	N;DEF;FEM;SG	N;SG
limba	tongue	limbă	tongue	N;DEF;FEM;SG	N;SG
limba	language	limbă	language	N;DEF;FEM;SG	N;SG
sat	village	sat	village	N;INDF;MASC;SG	N;SG
biserica	church	biserică	church	N;DEF;FEM;SG	N;SG
biserica	church	biserică	church	N;DEF;FEM;SG	N;SG
fisier	file	fisier	file	N;INDF;MASC;SG	N;SG
fisier	file	fisier	file	N;INDF;MASC;SG	N;SG
adresa	address	adresă	address	N;DEF;FEM;SG	N;SG
adresa	address	adresă	address	N;DEF;FEM;SG	N;SG
imagine	picture	imagine	picture	N;INDF;FEM;SG	N;SG
imagine	image	imagine	image	N;INDF;FEM;SG	N;SG
statul	state	stat	state	N;DEF;MASC;SG	N;SG
avut	had	avea	have	V;MASC;SG;V.PTCP	V;IND;PST;FIN
familia	family	familie	family	N;DEF;FEM;SG	N;SG
