kesan	впечатление	kesan	впечатление	N;SG	N;INDF;NEUT;SG
marsekal	шерифи	marsekal	шерифа	N	N;INDF;FEM;PL
acak	случайна	acak	случаен	ADJ;SG	ADJ;INDF;FEM;SG
acak	случаен	acak	случаен	ADJ;SG	ADJ;INDF;MASC;SG
terkejut	изненадан	terkejut	изненадам-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terkejut	изненадана	terkejut	изненадам-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terkejut	шокиран	terkejut	шокирам	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terkejut	шокирана	terkejut	шокирам	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
botol	бутилката	botol	бутилка	N;SG	N;DEF;FEM;SG
botol	шише	botol	шише	N;SG	N;INDF;NEUT;SG
botol	бутилка	botol	бутилка	N;SG	N;INDF;FEM;SG
syuting	снимането	syuting	снимане	N	N;DEF;NEUT;SG
syuting	снимане	syuting	снимане	N	N;INDF;NEUT;SG
kehancuran	опустошение	kehancuran	опустошение	N;SG	N;INDF;NEUT;SG
kehancuran	разруха	kehancuran	разруха	N;SG	N;INDF;FEM;SG
kehancuran	унищожаване	kehancuran	унищожаване	N;SG	N;INDF;NEUT;SG
kehancuran	разрушение	kehancuran	разрушение	N;SG	N;INDF;NEUT;SG
kehancuran	унищожение	kehancuran	унищожение	N;SG	N;INDF;NEUT;SG
kehancuran	разрушаване	kehancuran	разрушаване	N;SG	N;INDF;NEUT;SG
kenangan	завръщане	kenangan	завръщане	N;SG	N;INDF;NEUT;SG
kenangan	спомен	kenangan	спомен	N;SG	N;INDF;MASC;SG
kenangan	памет	kenangan	памет	N;SG	N;INDF;FEM;SG
ditembak	прострелян	ditembak	прострелям	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ditembak	застрелян	ditembak	застрелям	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ditembak	застреляна	ditembak	застрелям	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
pukulan	пунш	pukulan	пунш	N;SG	N;INDF;MASC;SG
romantis	романтика	romantis	романтика	N;SG	N;INDF;FEM;SG
romantis	романс	romantis	романс	N;SG	N;INDF;MASC;SG
romantis	романтик	romantis	романтик	N;SG	N;INDF;MASC;SG
romantis	романтика	romantis	романтика	N;SG	N;INDF;FEM;SG
beri	дай	beri	дам-(се)	V;SG;ACT	V;PFV;IMP;SG;2;FIN
agregat	агрегация	agregat	агрегация	N;SG	N;INDF;FEM;SG
bersembunyi	крие	bersembunyi	крия-(се)	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
membatalkan	отменя	menbatalkan	отменям	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
perlombaan	надпревара	perlombaan	надпревара	N;SG	N;INDF;FEM;SG
perlombaan	надбягване	perlombaan	надбягване	N;SG	N;INDF;NEUT;SG
perlombaan	състезание	perlombaan	състезание	N;SG	N;INDF;NEUT;SG
perlombaan	раса	perlombaan	раса	N;SG	N;INDF;FEM;SG
serigala	вълците	serigala	вълк	N	N;DEF;MASC;PL
serigala	вълци	serigala	вълк	N	N;INDF;MASC;PL
serigala	вълк	serigala	вълк	N	N;INDF;MASC;SG
serigala	вълчо	serigala	вълчо	N	N;INDF;MASC;SG
ruas	фийлдс	ruas	фийлдс	N;SG	N;INDF;MASC;SG
taksi	такситата	taksi	таксит	N;SG	N;DEF;FEM;SG
wabah	епидемия	wabah	епидемия	N;SG	N;INDF;FEM;SG
wabah	огнище	wabah	огнище	N;SG	N;INDF;NEUT;SG
wabah	чумата	wabah	чума	N;SG	N;DEF;FEM;SG
wabah	чума	wabah	чума	N;SG	N;INDF;FEM;SG
wabah	епидемия	wabah	епидемия	N;SG	N;INDF;FEM;SG
wabah	епидемията	wabah	епидемия	N;SG	N;DEF;FEM;SG
bala	бала	bala	бала	N;SG	N;INDF;MASC;SG
lilin	свещ	lilin	свещ	N;SG	N;INDF;FEM;SG
lilin	восък	lilin	восък	N;SG	N;INDF;MASC;SG
laras	буре	laras	буре	N	N;INDF;NEUT;SG
laras	бъчва	laras	бъчвам	N	N;INDF;FEM;SG
laras	цев	laras	цев	N	N;INDF;MASC;SG
laras	варел	laras	варел	N	N;INDF;MASC;SG
akademisi	академик	akademisi	академик	N;SG	N;INDF;MASC;SG
dibuktikan	доказан	dibuktikan	докажа	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dibuktikan	доказана	dibuktikan	докажа	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dibuktikan	доказано	dibuktikan	докажа	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
patroli	патрул	patroli	патрул	N;SG	N;INDF;MASC;SG
mutlak	абсолютна	mutlak	абсолютен	ADJ;SG	ADJ;INDF;FEM;SG
mutlak	абсолютен	mutlak	абсолютен	ADJ;SG	ADJ;INDF;MASC;SG
plasma	плазмена	plasma	плазмен	N	N;INDF;FEM;SG
plasma	плазмен	plasma	плазмен	N	N;INDF;MASC;SG
plasma	плазма	plasma	плазма	N	N;INDF;FEM;SG
plasma	плазмените	plasma	плазмя	N	N;DEF;MASC;PL
plasma	плазмата	plasma	плазма	N	N;DEF;FEM;SG
volkswagen	фолксваген	volkswagen	фолксваген	N	N;INDF;MASC;SG
bandingkan	сравни	bandingkan	сравен	V;SG;ACT	V;PFV;IMP;SG;2;FIN
tertangkap	уловена	tertangkap	уловя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
tertangkap	заловен	tertangkap	заловя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
tertangkap	пленен	tertangkap	пленен	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
tertangkap	уловен	tertangkap	уловен	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pelaut	моряк	penlaut	моряк	N;SG	N;INDF;MASC;SG
pelaut	моряк	penlaut	моряк	N;SG	N;INDF;MASC;SG
pelaut	матрос	penlaut	матрос	N;SG	N;INDF;MASC;SG
perkantoran	кабинет	perkantoran	кабинет	N;SG	N;INDF;MASC;SG
perkantoran	офисът	perkantoran	офис	N;SG	N;DEF;MASC;SG
perkantoran	офис	perkantoran	офис	N;SG	N;INDF;MASC;SG
perkantoran	офиса	perkantoran	офис	N;SG	N;DEF;MASC;SG
utang	дълг	utang	дълг	N;SG	N;INDF;MASC;SG
pecinta	любовник	pecinta	любовник	N;SG	N;INDF;MASC;SG
pecinta	любовница	pecinta	любовница	N;SG	N;INDF;FEM;SG
tayangan	изглед	tayangan	изглед	N;SG	N;INDF;MASC;SG
tayangan	впечатление	tayangan	впечатление	N;SG	N;INDF;NEUT;SG
hikayat	сага	hikayat	саг	N	N;INDF;FEM;SG
kelanjutan	продължение	kelanjutan	продължение	N;SG	N;INDF;NEUT;SG
kelanjutan	продължаване	kelanjutan	продължаване	N;SG	N;INDF;NEUT;SG
menyelidiki	разследва	menselidiki	разследвам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
orientasi	насоченост	orientasi	насоченост	N;SG	N;INDF;FEM;SG
orientasi	ориентация	orientasi	ориентация	N;SG	N;INDF;FEM;SG
orientasi	ориентиране	orientasi	ориентиране	N;SG	N;INDF;NEUT;SG
orientasi	ориентацията	orientasi	ориентация	N;SG	N;DEF;FEM;SG
mangga	манго	mangga	манго	N	N;INDF;MASC;SG
bir	бирата	bir	бира	N;SG	N;DEF;FEM;SG
bir	бира	bir	бира	N;SG	N;INDF;FEM;SG
rusa	мус	rusa	мус	N	N;INDF;MASC;SG
rusa	сърна	rusa	сърна-(се)	N	N;INDF;MASC;SG
rusa	елен	rusa	елен	N	N;INDF;MASC;SG
rusa	елени	rusa	елен	N	N;INDF;MASC;PL
bahu	рамото	bahu	рамо	N;SG	N;DEF;NEUT;SG
bahu	рамо	bahu	рамо	N;SG	N;INDF;NEUT;SG
residen	специализант	residen	специализант	N	N;INDF;MASC;SG
residen	жител	residen	жител	N	N;INDF;MASC;SG
residen	обитател	residen	обитател	N	N;INDF;MASC;SG
residen	префект	residen	префект	N	N;INDF;MASC;SG
anggrek	орхидея	anggrek	орхидея	N;SG	N;INDF;FEM;SG
referendum	референдум	referendum	референдум	N	N;INDF;MASC;SG
michelle	микеле	michelle	микеле	N	N;INDF;MASC;SG
seminari	семинаристи	seminari	семинарист	N	N;INDF;MASC;PL
seminari	семинарията	seminari	семинария	N	N;DEF;FEM;SG
seminari	семинарист	seminari	семинарист	N	N;INDF;MASC;PL
sindrom	синдром	sindrom	синдром	N	N;INDF;MASC;SG
sindrom	синдрома	sindrom	синдрома	N	N;DEF;MASC;SG
sindrom	синдромът	sindrom	синдром	N	N;DEF;MASC;SG
sajak	рима	sajak	рима	N	N;INDF;FEM;SG
sajak	рими	sajak	рима	N	N;INDF;FEM;PL
sajak	рими	sajak	рима	N	N;INDF;FEM;PL
kejayaan	триумф	kejayaan	триумф	N;SG	N;INDF;MASC;SG
elit	елит	elit	елит	N;SG	N;INDF;MASC;SG
elit	елита	elit	елит	N;SG	N;DEF;MASC;SG
jujur	честен	jujur	честен	ADJ;SG	ADJ;INDF;MASC;SG
instalasi	инсталация	instalasi	инсталация	N;SG	N;INDF;FEM;SG
instalasi	монтаж	instalasi	монтаж	N;SG	N;INDF;MASC;SG
instalasi	инсталиране	instalasi	инсталиране	N;SG	N;INDF;NEUT;SG
instalasi	монтиране	instalasi	монтиране	N;SG	N;INDF;NEUT;SG
diiringi	придружено	diiringi	придружа	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
diiringi	придружена	diiringi	придружа	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diiringi	придружен	diiringi	придружа	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
lencana	значка	lencana	значка	N;SG	N;INDF;FEM;SG
lencana	значката	lencana	значка	N;SG	N;DEF;FEM;SG
lembar	лист	lembar	лист	N;SG	N;INDF;MASC;SG
lembar	чаршаф	lembar	чаршаф	N;SG	N;INDF;MASC;SG
faksi	фракция	faksi	фракция	N;SG	N;INDF;FEM;SG
kelautan	пехотинец	kelautan	пехотинец	N;SG	N;INDF;MASC;SG
bayangan	сянката	bayangan	сянка	N;SG	N;DEF;FEM;SG
bayangan	сянка	bayangan	сянка	N;SG	N;INDF;FEM;SG
keberadaannya	съществуването	keberadaan	съществуване	N;SG	N;DEF;NEUT;SG
keberadaannya	съществуване	keberadaan	съществуване	N;SG	N;INDF;NEUT;SG
waris	наследник	waris	наследник	N;SG	N;INDF;MASC;SG
keterbatasan	ограничение	keterbatasan	ограничение	N;SG	N;INDF;NEUT;SG
keterbatasan	ограничаване	keterbatasan	ограничаване	N;SG	N;INDF;NEUT;SG
mitsubishi	мицубиши	mitsubishi	мицубиш	N	N;INDF;MASC;SG
sendirian	сам	sendirian	сам	N;SG	N;INDF;MASC;SG
torpedo	торпедото	torpedo	торпедо	N	N;DEF;NEUT;SG
