категория	類別	категория	類別	N;INDF;FEM;SG	N
през	透過	през	透過	ADP	ADP
през	通過	през	通過	ADP	ADP
година	年度	година	年度	N;INDF;FEM;SG	N
година	年份	година	年份	N;INDF;FEM;SG	N
година	年	година	年	N;INDF;FEM;SG	N
това	這	този	這	PRO;NOM;NEUT;SG	PRO
години	歲	година	歲	N;INDF;FEM;PL	N
години	年份	година	年份	N;INDF;FEM;PL	N
време	時光	време	時光	N;INDF;NEUT;SG	N
време	時間	време	時間	N;INDF;NEUT;SG	N
град	城鎮	град	城鎮	N;INDF;MASC;SG	N
град	鎮	град	鎮	N;INDF;MASC;SG	N
град	城市	град	城市	N;INDF;MASC;SG	N
град	市	град	市	N;INDF;MASC;SG	N
град	城	град	城	N;INDF;MASC;SG	N
много	非常	много	非常	ADV;INDF;PL	ADV
също	還	също	還	ADV	ADV
също	也	също	也	ADV	ADV
век	世紀	век	世紀	N;INDF;MASC;SG	N
село	村	село	村	N;INDF;NEUT;SG	N
село	鄉村	село	鄉村	N;INDF;NEUT;SG	N
село	村	село	村	N;INDF;NEUT;SG	N
село	村落	село	村落	N;INDF;NEUT;SG	N
село	村子	село	村子	N;INDF;NEUT;SG	N
един	一	един	一	NUM;INDF;MASC;SG	NUM
един	一	един	一	NUM;INDF;MASC;SG	NUM
още	仍然	още	仍然	ADV	ADV
още	依然	още	依然	ADV	ADV
още	更	още	更	ADV	ADV
война	戰	война	戰	N;INDF;FEM;SG	N
война	戰爭	война	戰爭	N;INDF;FEM;SG	N
само	只	само	只	ADV	ADV
само	只	само	只	ADV	ADV
област	區域	област	區域	N;INDF;FEM;SG	N
област	區	област	區	N;INDF;FEM;SG	N
област	地區	област	地區	N;INDF;FEM;SG	N
област	面積	област	面積	N;INDF;FEM;SG	N
област	地區	област	地區	N;INDF;FEM;SG	N
област	區域	област	區域	N;INDF;FEM;SG	N
област	區	област	區	N;INDF;FEM;SG	N
община	市	община	市	N;INDF;FEM;SG	N
място	地方	място	地方	N;INDF;NEUT;SG	N
място	地點	място	地點	N;INDF;NEUT;SG	N
място	位置	място	位置	N;INDF;NEUT;SG	N
място	地點	място	地點	N;INDF;NEUT;SG	N
вид	型態	вид	型態	N;INDF;MASC;SG	N
вид	類型	вид	類型	N;INDF;MASC;SG	N
вид	魚種	вид	魚種	N;INDF;MASC;SG	N
вид	物種	вид	物種	N;INDF;MASC;SG	N
една	一	един	一	NUM;INDF;FEM;SG	NUM
една	一	един	一	NUM;INDF;FEM;SG	NUM
всички	大家	всеки	大家	PRO;NOM;PL	PRO
семейство	家人	семейство	家人	N;INDF;NEUT;SG	N
семейство	家屬	семейство	家屬	N;INDF;NEUT;SG	N
семейство	家庭	семейство	家庭	N;INDF;NEUT;SG	N
тези	這些	този	這些	DET;PL	DET
тези	那些	този	那些	DET;PL	DET
души	靈魂	души	靈魂	N;INDF	N
мини	地雷	мина	地雷	N;INDF;FEM;PL	N
република	共和	република	共和	N;INDF;FEM;SG	N
република	共和	република	共和	N;INDF;FEM;SG	N
късно	遲	късно	遲	ADV	ADV
път	路徑	път	路徑	N;INDF;MASC;SG	N
път	路線	път	路線	N;INDF;MASC;SG	N
път	公路	път	公路	N;INDF;MASC;SG	N
път	道路	път	道路	N;INDF;MASC;SG	N
път	路	път	路	N;INDF;MASC;SG	N
отбор	團隊	отбор	團隊	N;INDF;MASC;SG	N
отбор	球隊	отбор	球隊	N;INDF;MASC;SG	N
отбор	隊伍	отбор	隊伍	N;INDF;MASC;SG	N
роден	生	родя-(се)	生	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V
роден	誕生	родя-(се)	誕生	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V
роден	出生	родя-(се)	出生	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V
беседа	對話	бесед	對話	N;INDF;FEM;SG	N
беседа	話	бесед	話	N;INDF;FEM;SG	N
името	名字	име	名字	N;DEF;NEUT;SG	N
името	名稱	име	名稱	N;DEF;NEUT;SG	N
името	姓名	име	姓名	N;DEF;NEUT;SG	N
група	樂團	група	樂團	N;INDF;FEM;SG	N
група	樂隊	група	樂隊	N;INDF;FEM;SG	N
група	群組	група	群組	N;INDF;FEM;SG	N
група	群	група	群	N;INDF;FEM;SG	N
език	舌頭	език	舌頭	N;INDF;MASC;SG	N
език	舌	език	舌	N;INDF;MASC;SG	N
език	語言	език	語言	N;INDF;MASC;SG	N
език	語	език	語	N;INDF;MASC;SG	N
език	語文	език	語文	N;INDF;MASC;SG	N
река	河	река	河	N;INDF;FEM;SG	N
река	江河	река	江河	N;INDF;FEM;SG	N
река	河流	река	河流	N;INDF;FEM;SG	N
две	兩	два	兩	NUM;INDF;FEM;PL	NUM
две	兩	два	兩	NUM;INDF;FEM;PL	NUM
две	二	два	二	NUM;INDF;FEM;PL	NUM
име	名字	име	名字	N;INDF;NEUT;SG	N
име	名稱	име	名稱	N;INDF;NEUT;SG	N
име	姓名	име	姓名	N;INDF;NEUT;SG	N
чрез	通過	чрез	通過	ADP	ADP
чрез	經	чрез	經	ADP	ADP
чрез	透過	чрез	透過	ADP	ADP
чрез	通過	чрез	通過	ADP	ADP
история	動態	история	動態	N;INDF;FEM;SG	N
история	故事	история	故事	N;INDF;FEM;SG	N
история	歷史	история	歷史	N;INDF;FEM;SG	N
жители	居民	жител	居民	N;INDF;MASC;PL	N
различни	不同	различен	不同	ADJ;INDF;PL	ADJ
често	時常	често	時常	ADV	ADV
често	常常	често	常常	ADV	ADV
често	經常	често	經常	ADV	ADV
провинция	省	провинция	省	N;INDF;FEM;SG	N
провинция	省省	провинция	省省	N;INDF;FEM;SG	N
провинция	省份	провинция	省份	N;INDF;FEM;SG	N
империя	帝國	империя	帝國	N;INDF;FEM;SG	N
център	中心	център	中心	N;INDF;MASC;SG	N
център	中心	център	中心	N;INDF;MASC;SG	N
повече	更	повече	更	ADV;INDF;PL	ADV
вече	已經	вече	已經	ADV	ADV
три	三	три	三	NUM;INDF;PL	NUM
три	三	три	三	NUM;INDF;PL	NUM
страна	國家	страна	國家	N;INDF;FEM;SG	N
страна	側	страна	側	N;INDF;FEM;SG	N
градове	城鎮	град	城鎮	N;INDF;MASC;PL	N
градове	城市	град	城市	N;INDF;MASC;PL	N
население	人口	население	人口	N;INDF;NEUT;SG	N
население	人口	население	人口	N;INDF;NEUT;SG	N
хора	人	хора	人	N;INDF	N
хора	人民	хора	人民	N;INDF	N
университет	大學	университет	大學	N;INDF;MASC;SG	N
син	藍	син	藍	N;INDF;MASC;SG	N
син	藍色	син	藍色	N;INDF;MASC;SG	N
син	兒子	син	兒子	N;INDF;MASC;SG	N
награда	獎勵	награда	獎勵	N;INDF;FEM;SG	N
награда	獎賞	награда	獎賞	N;INDF;FEM;SG	N
награда	賞金	награда	賞金	N;INDF;FEM;SG	N
награда	賞	награда	賞	N;INDF;FEM;SG	N
награда	獎品	награда	獎品	N;INDF;FEM;SG	N
награда	獎賞	награда	獎賞	N;INDF;FEM;SG	N
награда	獎	награда	獎	N;INDF;FEM;SG	N
награда	獎	награда	獎	N;INDF;FEM;SG	N
сайт	網站	сайт	網站	N;INDF;MASC;SG	N
сайт	網頁	сайт	網頁	N;INDF;MASC;SG	N
сайт	網站	сайт	網站	N;INDF;MASC;SG	N
сайт	工地	сайт	工地	N;INDF;MASC;SG	N
сезон	季	сезон	季	N;INDF;MASC;SG	N
сезон	季節	сезон	季節	N;INDF;MASC;SG	N
окръг	郡	окръг	郡	N;INDF;MASC;SG	N
окръг	縣	окръг	縣	N;INDF;MASC;SG	N
