táborů	obozach	tábor	obóz	N;INAN;GEN;MASC;PL;POS	N;GEN;MASC;PL
uvězněn	uwięziony	uvězněný	uwięzić	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
uvězněn	uwięzione	uvězněný	uwięzić	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
uvězněn	uwięziona	uvězněný	uwięzić	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
uvězněn	uwięziony	uvězněný	uwięzić	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
uvězněn	uwięziona	uvězněný	uwięzić	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
uvězněn	uwięzione	uvězněný	uwięzić	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
oprava	remont	oprava	remont	N;NOM;FEM;SG;POS	N;NOM;MASC;SG
oprava	poprawka	oprava	poprawka	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
oprava	korekta	oprava	korekta	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
složité	podstępny	složitý	podstępny	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;MASC;SG
složité	złożone	složitý	złożyć	ADJ;NOM;NEUT;SG;POS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
složité	złożona	složitý	złożyć	ADJ;NOM;NEUT;SG;POS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
složité	złożony	složitý	złożyć	ADJ;NOM;NEUT;SG;POS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
složité	skomplikowane	složitý	skomplikować	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
složité	skomplikowany	složitý	skomplikować	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;MASC;SG
složité	skomplikowana	složitý	skomplikowany	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;FEM;SG
složité	skomplikowane	složitý	skomplikować	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
matematické	matematyczne	matematický	matematyczny	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
žlutý	żółte	žlutý	żółty	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
žlutý	żółta	žlutý	żółta	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
