من	від	مِن	від	ADP	ADP;GEN
تصنيف	рейтинг	تَصنِيف	рейтинг	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تصنيف	оцінка	تَصنِيف	оцінка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
تصنيف	класифікація	تَصنِيف	класифікація	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
عن	про	عَن	про	ADP	ADP;ACC
عن	щодо	عَن	щодо	ADP	ADP;GEN
عام	рік	عَام	рік	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
عام	генерал	عَام	генерал	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
اسم	назва	اِسم	назва	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
المنطقة	регіон	مِنطَقَة	регіон	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	улус	مِنطَقَة	улус	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	округ	مِنطَقَة	округ	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	район	مِنطَقَة	район	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المنطقة	зона	مِنطَقَة	зона	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المنطقة	область	مِنطَقَة	область	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المنطقة	ділянка	مِنطَقَة	ділянка	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المنطقة	площа	مِنطَقَة	площа	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المنطقة	місцевість	مِنطَقَة	місцевість	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
هي	вона	هُوَ	вона	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
سنة	рік	سَنَة	рік	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
اختياري	додатковий	اِختِيَارِيّ	додатковий	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
هذه	цей	هٰذَا	цей	DET;NOM;FEM;SG	DET;NOM;MASC;SG
