また	또한	また	또한	CONJ	CONJ
もの	것들	もの	것+들	N	N
もの	사물	もの	사물	N	N
大学	대학	大学	대학	N	N
大学	대학교	大学	대학교	N	N
大学	대학	大学	대학	N	N
大学	대학교	大学	대학교	N	N
大学	대학	大学	대학	N	N
大学	대학교	大学	대학교	N	N
大学	대학	大学	대학	N	N
テレビ	텔레비전	テレビ	텔레비전	N	N
テレビ	텔레비전	テレビ	텔레비전	N	N
削除	삭제됨	削除	삭제되+ㄴ	V	V
削除	삭제함	削除	삭제+하+ㅁ	V	V
削除	삭제되었습니다	削除	삭제+되+었+습니다	V	V
削除	지우기	削除	지우+기	V	V
削除	삭제하기	削除	삭제+하+기	V	V
削除	지우기	削除	지우+기	V	V
削除	삭제하기	削除	삭제+하+기	V	V
現在	현재	現在	현재	N	N
現在	전류	現在	전류	N	N
現在	현재	現在	현재	N	N
現在	현재	現在	현재	N	N
現在	선물	現在	선물	N	N
学校	학교	学校	학교	N	N
学校	학교	学校	학교	N	N
学校	학교는	学校	학교+는	N	N
世界	세상	世界	세상	N	N
世界	세계	世界	세계	N	N
でも	그런데	でも	그런데	CONJ	CONJ
でも	그러나	でも	그러나	CONJ	CONJ
でも	하지만	でも	하지만	CONJ	CONJ
作品	작동	作品	작동	N	N
作品	작품	作品	작품	N	N
時代	시대	時代	시대	N	N
映画	영화	映画	영화	N	N
映画	영화	映画	영화	N	N
映画	필름	映画	필름	N	N
映画	영화	映画	영화	N	N
映画	영화	映画	영화	N	N
監督	감독	監督	감독	N	N
使用	이용하기	使用	이용+하+기	V	V
使用	사용하기	使用	사용+하+기	V	V
時間	영업시간	時間	영업+시간	N	N
時間	시간	時間	시간	N	N
時間	시간	時間	시간	N	N
時間	시간	時間	시간	N	N
開始	시작하기	開始	시작+하+기	V	V
記事	기사	記事	기사	N	N
記事	이야기	記事	이야기	N	N
記事	스토리	記事	스토리	N	N
記事	소식	記事	소식	N	N
記事	스토리	記事	스토리	N	N
記事	소식	記事	소식	N	N
記事	기사	記事	기사	N	N
選手	선수	選手	선수	N	N
選手	운동선수	選手	운동+선수	N	N
