dlhší	duži	dlhý	dug	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
frekvencia	frekvencija	frekvencia	frekvencija	N;NOM;FEM;SG	N;NOM;FEM;SG
minútu	minutu	minúta	minuta	N;ACC;FEM;SG	N;ACC;FEM;SG
register	registar	register	registar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
register	registar	register	registar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
maximum	maksimum	maximum	maksimum	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
prijaté	uzeto	prijatý	uzeto	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;NEUT;SG;V.PTCP
prijaté	primljena	prijatý	primiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
prijaté	primljen	prijatý	primiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS
prijaté	primljeno	prijatý	primiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP;PASS
prijaté	prihvaćeno	prijatý	prihvatiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP;PASS
prijaté	prihvaćen	prijatý	prihvatiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
prijaté	prihvaćena	prijatý	prihvatiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP
prijaté	primljena	prijatý	primiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
prijaté	primljen	prijatý	primiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS
prijaté	usvojen	prijatý	usvojiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
prijaté	usvojena	prijatý	usvojiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP;PASS
dno	dno	dno	dno	N;NOM;NEUT;SG	N;NOM;NEUT;SG
američania	amerikanci	američan	amerikanac	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
oheň	vatra	oheň	vatra	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
