показания	zeznania	показание	zeznanie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL
кинотеатр	teatr	кинотеатр	teatr	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
кинотеатр	kino	кинотеатр	kino	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
центральное	centralny	центральный	centralny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
центральное	środkowa	центральный	środkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
центральное	centralne	центральный	centralny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
центральное	centralna	центральный	centralny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
важность	znaczenie	важность	znaczenie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
подробное	szczegółowy	подробный	szczegółowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
подробное	szczegółowe	подробный	szczegółowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
настоящая	prawdziwy	настоящий	prawdziwy	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
настоящая	prawdziwe	настоящий	prawdziwy	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
пресса	prasa	пресса	prasa	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
гостиница	hotel	гостиница	hotel	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
хозяин	właścicielka	хозяин	właścicielka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
хозяин	właściciel	хозяин	właściciel	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
хозяин	mistrz	хозяин	mistrz	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
ранг	stopień	ранг	stopień	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
дополнительное	dodatkowa	дополнительный	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
дополнительное	dodatkowe	дополнительный	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
дополнительное	dodatkowy	дополнительный	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
дополнительное	dodatkowa	дополнительный	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
дополнительное	dodatkowe	дополнительный	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
дополнительное	dodatkowy	дополнительный	dodatkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
колония	kolonia	колония	kolonia	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
носила	nosił	носить	nosić	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
носила	nosiła	носить	nosić	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
борцы	zapaśnicy	борец	zapaśnica	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
боги	bogowie	бог	bogowie	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
обложка	okładka	обложка	okładka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
классическая	klasyczna	классический	klasyczny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
классическая	klasyczny	классический	klasyczny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
классическая	klasyczne	классический	klasyczny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
классическая	klasyczny	классический	klasyczny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
классическая	klasyczne	классический	klasyczny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
картинки	zdjęcia	картинка	zdjęcie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
картинки	obrazy	картинка	obraz	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
картинки	obrazki	картинка	obrazek	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
картинки	zdjęcia	картинка	zdjęcie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
картинки	obrazki	картинка	obrazek	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL
швейцарский	szwajcarski	швейцарский	szwajcarski	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
зубов	zębów	зуб	ząb	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
грант	dotacja	грант	dotacja	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
дискуссия	dyskusja	дискуссия	dyskusja	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
дискуссия	omówienie	дискуссия	omówienie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
барабаны	bębny	барабан	bębny	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
студент	studentka	студент	studentka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
студент	uczeń	студент	uczenić	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
студент	uczennica	студент	uczennica	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
студент	student	студент	student	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
образы	zdjęcia	образ	zdjęcie	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
образы	obrazy	образ	obraz	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
образы	obrazki	образ	obrazek	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
приборы	instrumenty	прибор	instrument	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
приборы	przyrządy	прибор	przyrząd	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
