warunek	شرط	warunek	شرط	N;ACC;MASC;SG	N;SG
zawieszenia	تعلیق	zawiesić	تعلیق	N;NOM;NEUT;SG	N;SG
zawieszenia	معلق	zawiesić	None	N;NOM;NEUT;SG	N;SG
stowarzyszeń	انجمنهای	stowarzyszenie	None	N;GEN;NEUT;PL	N;PL
regina	رجینا	regina	رجینا	N;NOM;FEM;SG	N;SG
sokół	شاهین	sokół	شاهین	N;NOM;MASC;SG	N;SG
sokół	فالکون	sokół	فالکون	N;NOM;MASC;SG	N;SG
działka	رسم	działko	رسم	N;NOM;FEM;SG	N;SG
działka	نیرنگ	działko	نیرنگ	N;NOM;FEM;SG	N;SG
rozwiązany	منحل	rozwiązać	None	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ
autobus	اتوبوس	autobus	اتوبوس	N;NOM;MASC;SG	N;SG
autobus	b	autobus	b	N;NOM;MASC;SG	N;SG
wirnika	روتور	wirnik	روتور	N;ACC;MASC;SG	N;SG
właścicielami	صاحبان	właściciel	صاحب	N;INS;MASC;PL	N;PL
wewnętrzny	داخلی	wewnętrzny	داخلی	ADJ;NOM;MASC;SG	ADJ
wewnętrzny	درونی	wewnętrzny	درونی	ADJ;NOM;MASC;SG	ADJ
wewnętrzny	درونی	wewnętrzny	درونی	ADJ;NOM;MASC;SG	ADJ
zbrodnie	جرم	zbrodnie	جرم	N;NOM;FEM;SG	N;SG
zbrodnie	جنایت	zbrodnie	جنایت	N;NOM;FEM;SG	N;SG
zbrodnie	جُرم	zbrodnie	جُرم	N;NOM;FEM;SG	N;SG
filharmonii	فیلارمونیک	filharmonia	فیلارمونیک	N;GEN;MASC;SG	N;SG
dar	دار	dar	دار	N;NOM;MASC;SG	N;SG
dar	هدیه	dar	هدیه	N;NOM;MASC;SG	N;SG
dar	کادو	dar	کادو	N;NOM;MASC;SG	N;SG
wewnętrzna	داخلی	wewnętrzny	داخلی	ADJ;NOM;FEM;SG	ADJ
wewnętrzna	درونی	wewnętrzny	درونی	ADJ;NOM;FEM;SG	ADJ
