رده	klasy	رده	klasa	N;SG	N;GEN;FEM;SG
از	od	از	od	ADP	ADP
سال	sala	سال	sala	N;SG	N;NOM;FEM;SG
سال	roku	سال	rok	N;SG	N;GEN;MASC;SG
سال	rok	سال	rok	N;SG	N;NOM;MASC;SG
برای	dla	برای	dla	ADP	ADP
شهرستان	hrabstwo	شهرستان	hrabstwo	N;SG	N;NOM;NEUT;SG
شهرستان	okręg	شهرستان	okręg	N;SG	N;NOM;MASC;SG
شهرستان	hrabstwa	شهرستان	hrabstwo	N;SG	N;ACC;NEUT;SG
آمریکا	america	آمریکا	america	N;SG	N;NOM;MASC;SG
فهرست	katalog	فهرست	katalog	N;SG	N;NOM;MASC;SG
فهرست	katalogu	فهرست	katalóg	N;SG	N;GEN;MASC;SG
فهرست	wykaz	فهرست	wykaz	N;SG	N;NOM;MASC;SG
فهرست	lista	فهرست	list	N;SG	N;NOM;FEM;SG
فهرست	spis	فهرست	spis	N;SG	N;NOM;MASC;SG
فهرست	listę	فهرست	lista	N;SG	N;ACC;FEM;SG
فهرست	katalog	فهرست	katalog	N;SG	N;NOM;MASC;SG
فهرست	katalogu	فهرست	katalóg	N;SG	N;GEN;MASC;SG
بود	była	بود#باش	być	V;SG;3;PST	V;IPFV;FEM;IND;SG;PST;FIN;ACT
بود	był	بود#باش	być	V;SG;3;PST	V;IPFV;MASC;IND;SG;PST;FIN;ACT
بود	było	بود#باش	być	V;SG;3;PST	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
دارد	posiada	داشت#دار	posiadać	V;SG;3;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
دارد	ma	داشت#دار	mieć	V;SG;3;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
او	ona	او	on	PRO;SG;3	PRO;NOM;FEM;SG;3
او	jego	او	on	PRO;SG;3	PRO;GEN;MASC;SG;3
او	go	او	on	PRO;SG;3	PRO;ACC;MASC;SG;3
او	jej	او	on	PRO;SG;3	PRO;GEN;FEM;SG;3
او	ją	او	on	PRO;SG;3	PRO;ACC;FEM;SG;3
وابسته	zależny	وابسته	zależny	ADJ	ADJ;NOM;MASC;SG
وابسته	zależne	وابسته	zależny	ADJ	ADJ;NOM;NEUT;SG
وابسته	powiązany	وابسته	powiązać	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
وابسته	związany	وابسته	związać	ADJ	ADJ;NOM;MASC;SG
وابسته	powiązane	وابسته	powiązać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
وابسته	związane	وابسته	związany	ADJ	ADJ;NOM;NEUT;SG
ساعت	godzina	ساعت	godzina	N;SG	N;NOM;FEM;SG
ساعت	godzinę	ساعت	godzina	N;SG	N;ACC;FEM;SG
ساعت	zegar	ساعت	zegar	N;SG	N;NOM;MASC;SG
پایه	podstawa	پایه	podstawa	N;SG	N;NOM;FEM;SG
پایه	podstawie	پایه	podstawa	N;SG	N;DAT;FEM;SG
پایه	podstawa	پایه	podstawa	N;SG	N;NOM;FEM;SG
پایه	fundacja	پایه	fundacja	N;SG	N;NOM;FEM;SG
پایه	fundacji	پایه	fundacja	N;SG	N;GEN;FEM;SG
پایه	podkład	پایه	podkład	N;SG	N;NOM;MASC;SG
پایه	baza	پایه	baza	N;SG	N;NOM;FEM;SG
پایه	podstawa	پایه	podstawa	N;SG	N;NOM;FEM;SG
پایه	bazy	پایه	baza	N;SG	N;GEN;FEM;SG
پایه	fundacji	پایه	fundacja	N;SG	N;GEN;FEM;SG
نام	nazwisko	نام	nazwisko	N;SG	N;NOM;NEUT;SG
نام	imię	نام	imię	N;SG	N;NOM;NEUT;SG
نام	nazwa	نام	nazwa	N;SG	N;NOM;FEM;SG
استان	województwo	استان	województwo	N;SG	N;NOM;NEUT;SG
استان	prowincji	استان	prowincja	N;SG	N;GEN;FEM;SG
