catégorie	категория	catégorie	категория	N;FEM;SG	N;INDF;FEM;SG
pour	за	pour	за	ADP	ADP
que	че	que	че	CONJ	CONJ
avec	със	avec	със	ADP	ADP
son	неговият	son	мой	DET;MASC;SG	DET;DEF;MASC;SG;3
son	неговата	son	мой	DET;MASC;SG	DET;DEF;FEM;SG;3
son	неговия	son	мой	DET;MASC;SG	DET;DEF;MASC;SG;3
plus	плюс	plus	плюс	ADV	ADV
plus	повече	plus	повече	ADV	ADV;INDF;PL
plus	още	plus	още	ADV	ADV
sont	са	être	съм	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
elle	тя	elle	аз	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
avancement	напредък	avancement	напредък	N;MASC;SG	N;INDF;MASC;SG
avancement	прогрес	avancement	прогрес	N;MASC;SG	N;INDF;MASC;SG
avancement	напредък	avancement	напредък	N;MASC;SG	N;INDF;MASC;SG
mais	но	mais	но	CONJ	CONJ
pop	поп	pop	поп	N;FEM;SG	N;INDF;MASC;SG
deux	двама	deux	двама	NUM	NUM;INDF;PL
deux	две	deux	два	NUM	NUM;INDF;FEM;PL
naissance	раждането	naissance	раждане	N;FEM;SG	N;DEF;NEUT;SG
naissance	раждане	naissance	раждане	N;FEM;SG	N;INDF;NEUT;SG
naissance	рождение	naissance	рождение	N;FEM;SG	N;INDF;NEUT;SG
aussi	също	aussi	също	ADV	ADV
après	след	après	след	ADP	ADP
fait	направена	faire	направя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fait	направено	faire	направя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fait	направен	faire	направя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fait	направено	faire	направя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fait	сторено	faire	сторя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
notes	забележки	note	забележка	N;FEM;PL	N;INDF;FEM;PL
notes	записки	note	записка	N;FEM;PL	N;INDF;FEM;PL
notes	бележки	note	бележка	N;FEM;PL	N;INDF;FEM;PL
notes	ноти	note	нот	N;FEM;PL	N;INDF;FEM;PL
entre	между	entre	между	ADP	ADP
sous	под	sous	под	ADP	ADP
nom	фамилия	nom	фамилия	N;MASC;SG	N;INDF;FEM;SG
nom	името	nom	име	N;MASC;SG	N;DEF;NEUT;SG
nom	наименование	nom	наименование	N;MASC;SG	N;INDF;NEUT;SG
nom	име	nom	име	N;MASC;SG	N;INDF;NEUT;SG
français	français	français	français	ADJ;MASC;SG	ADJ
français	френска	français	френски	ADJ;MASC;SG	ADJ;INDF;FEM;SG
français	френски	français	френски	ADJ;MASC;SG	ADJ;INDF;MASC;SG
lui	него	lui	аз	PRO;SG;3	PRO;ACC;MASC;SG;3
lieu	място	lieu	място	N;MASC;SG	N;INDF;NEUT;SG
lieu	местоположение	lieu	местоположение	N;MASC;SG	N;INDF;NEUT;SG
lieu	място	lieu	място	N;MASC;SG	N;INDF;NEUT;SG
lieu	местонахождение	lieu	местонахождение	N;MASC;SG	N;INDF;NEUT;SG
lieu	локация	lieu	локация	N;MASC;SG	N;INDF;FEM;SG
cet	това	ce	този	PRO;SG;3	PRO;NOM;NEUT;SG
décès	смърт	décès	смърт	N;MASC;SG	N;INDF;FEM;SG
décès	смъртта	décès	смърт	N;MASC;SG	N;DEF;FEM;SG
références	препратки	référence	препратка	N;FEM;PL	N;INDF;FEM;PL
références	препоръки	référence	препоръка	N;FEM;PL	N;INDF;FEM;PL
références	позовавания	référence	позовавам-(се)	N;FEM;PL	N;INDF;NEUT;PL
liens	връзки	lien	връзка	N;MASC;PL	N;INDF;FEM;PL
commune	комуна	commune	комуна	N;FEM;SG	N;INDF;FEM;SG
ville	град	ville	град	N;FEM;SG	N;INDF;MASC;SG
ville	градът	ville	град	N;FEM;SG	N;DEF;MASC;SG
ville	градче	ville	градче	N;FEM;SG	N;INDF;NEUT;SG
ville	град	ville	град	N;FEM;SG	N;INDF;MASC;SG
ville	градът	ville	град	N;FEM;SG	N;DEF;MASC;SG
ville	сити	ville	сит	N;FEM;SG	N;INDF;MASC;SG
date	среща	date	среща	N;FEM;SG	N;INDF;FEM;SG
date	дата	date	дата	N;FEM;SG	N;INDF;FEM;SG
depuis	от	depuis	от	ADP	ADP
première	първи	premier	първи	ADJ;FEM;SG	ADJ;INDF;MASC;SG
ans	години	an	година	N;MASC;PL	N;INDF;FEM;PL
ans	годините	an	година	N;MASC;PL	N;DEF;FEM;PL
alors	тогава	alors	тогава	ADV	ADV
externes	външни	externe	външен	ADJ;MASC;PL	ADJ;INDF;PL
site	уебсайт	site	уебсайт	N;MASC;SG	N;INDF;MASC;SG
site	сайт	site	сайт	N;MASC;SG	N;INDF;MASC;SG
site	сайт	site	сайт	N;MASC;SG	N;INDF;MASC;SG
premier	първи	premier	първи	ADJ;MASC;SG	ADJ;INDF;MASC;SG
fut	бе	être	съм	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
http	http	http	http	N;MASC;SG	N;INDF;MASC;SG
film	филм	film	филм	N;MASC;SG	N;INDF;MASC;SG
film	филм	film	филм	N;MASC;SG	N;INDF;MASC;SG
film	лента	film	лента	N;MASC;SG	N;INDF;FEM;SG
voir	видя	voir	видя-(се)	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
voir	вижте	voir	видя-(се)	V;NFIN	V;PFV;IMP;PL;2;FIN
voir	виж	voir	видя-(се)	V;NFIN	V;PFV;IMP;SG;2;FIN
pays	държава	pays	държава	N;MASC;SG	N;INDF;FEM;SG
pays	страна	pays	страна	N;MASC;SG	N;INDF;FEM;SG
source	източник	source	източник	N;FEM;SG	N;INDF;MASC;SG
ils	те	il	аз	PRO;MASC;PL;3	PRO;NOM;PL;3
grand	голям	grand	голям	ADJ;MASC;SG	ADJ;INDF;MASC;SG
grand	голяма	grand	голям	ADJ;MASC;SG	ADJ;INDF;FEM;SG
grand	голям	grand	голям	ADJ;MASC;SG	ADJ;INDF;MASC;SG
grand	голяма	grand	голям	ADJ;MASC;SG	ADJ;INDF;FEM;SG
tout	всичко	tout	всеки	PRO;MASC;SG	PRO;NOM;NEUT;SG
tout	всичко	tout	всеки	PRO;MASC;SG	PRO;NOM;NEUT;SG
groupe	група	groupe	група	N;MASC;SG	N;INDF;FEM;SG
groupe	оркестър	groupe	оркестър	N;MASC;SG	N;INDF;MASC;SG
groupe	банда	groupe	банда	N;MASC;SG	N;INDF;FEM;SG
groupe	лента	groupe	лента	N;MASC;SG	N;INDF;FEM;SG
groupe	група	groupe	група	N;MASC;SG	N;INDF;FEM;SG
groupe	групиране	groupe	групиране	N;MASC;SG	N;INDF;NEUT;SG
également	също	également	също	ADV	ADV
titre	заглавие	titre	заглавие	N;MASC;SG	N;INDF;NEUT;SG
titre	дял	titre	дял	N;MASC;SG	N;INDF;MASC;SG
titre	титла	titre	титла	N;MASC;SG	N;INDF;FEM;SG
monde	свят	monde	свят	N;MASC;SG	N;INDF;MASC;SG
monde	света	monde	свят	N;MASC;SG	N;DEF;MASC;SG
nord	север	nord	север	N;MASC;SG	N;INDF;MASC;SG
nord	северен	nord	северен	N;MASC;SG	N;INDF;MASC;SG
années	години	année	година	N;FEM;PL	N;INDF;FEM;PL
années	годините	année	година	N;FEM;PL	N;DEF;FEM;PL
bien	добро	bien	добър	ADV	ADV
bien	добре	bien	добре	ADV	ADV
contre	срещу	contre	срещу	ADP	ADP
contre	против	contre	против	ADP	ADP
