padaju	落下	padati	落下	V;IND;PL;3;PRS;FIN	V
planinu	マウンテン	planina	マウンテン	N;ACC;FEM;SG	N
prapovijesti	先史	prapovijest	先史	N;NOM;FEM;SG	N
prapovijesti	前史	prapovijest	前史	N;NOM;FEM;SG	N
piva	ビール	pivo	ビール	N;NOM;NEUT;SG	N
piva	ビール	pivo	ビール	N;NOM;NEUT;SG	N
upoznati	会う	upoznati	会う	V;NFIN	V
zviježđe	星座	zviježđe	星座	N;NOM;NEUT;SG	N
mrežnice	網膜	mrežnica	網膜	N;NOM;FEM;PL	N
kandidati	候補	kandidat	候補	N;NOM;MASC;PL	N
prijateljica	友人	prijateljica	友人	N;NOM;FEM;SG	N
prijateljica	友だち	prijateljica	友だち	N;NOM;FEM;SG	N
prijateljica	友達	prijateljica	友達	N;NOM;FEM;SG	N
ravnotežu	残高	ravnoteža	残高	N;ACC;FEM;SG	N
ravnotežu	バランス	ravnoteža	バランス	N;ACC;FEM;SG	N
raznolikost	バラエティ	raznolikost	バラエティ	N;NOM;FEM;SG	N
raznolikost	変種	raznolikost	変種	N;NOM;FEM;SG	N
ocjena	格付	ocjena	格付	N;NOM;FEM;SG	N
ocjena	スコア	ocjena	スコア	N;NOM;FEM;SG	N
ocjena	得点	ocjena	得点	N;NOM;FEM;SG	N
učiti	勉強	učiti	勉強	V;NFIN	V
vitezovi	騎士	vitez	騎士	N;NOM;MASC;PL	N
nakit	ジュエリー	nakit	ジュエリー	N;NOM;MASC;SG	N
nakit	宝石	nakit	宝石	N;NOM;MASC;SG	N
nakit	ジュエリー	nakit	ジュエリー	N;NOM;MASC;SG	N
mirna	平和	miran	平和	ADJ;NOM;DEF;FEM;SG	ADJ
kriterija	基準	kriterij	基準	N;GEN;MASC;PL	N
kriterija	条件	kriterij	条件	N;GEN;MASC;PL	N
domovi	住宅	dom	住宅	N;NOM;MASC;SG	N
negativan	ネガティブ	negativan	ネガティブ	ADJ;NOM;INDF;MASC;SG	ADJ
bale	ベール	baliti	ベール	N;NOM;MASC;SG	N
elite	エリート	elita	エリート	N;NOM;FEM;PL	N
sljedbenici	フォロワー	sljedbenik	フォロワー	N;NOM;MASC;PL	N
nacrt	ドラフト	nacrt	ドラフト	N;NOM;MASC;SG	N
nacrt	下書き	nacrt	下書き	N;NOM;MASC;SG	N
sjena	シャドー	sjena	シャドー	N;NOM;FEM;SG	N
posjetiti	訪問	posjetiti	訪問	V;NFIN	V
kontinent	大陸	kontinent	大陸	N;NOM;MASC;SG	N
grijeh	シン	grijeh	シン	N;NOM;MASC;SG	N
putnik	乗客	putnik	乗客	N;NOM;MASC;SG	N
putnik	旅客	putnik	旅客	N;NOM;MASC;SG	N
putnik	トラベラー	putnik	トラベラー	N;NOM;MASC;SG	N
putnik	トラベラー	putnik	トラベラー	N;NOM;MASC;SG	N
planova	計画	plan	計画	N;GEN;MASC;PL	N
planova	プラン	plan	プラン	N;GEN;MASC;PL	N
stupovi	カラム	stup	カラム	N;NOM;MASC;PL	N
detalj	ディテール	detalj	ディテール	N;NOM;MASC;SG	N
mišići	筋肉	mišić	筋肉	N;NOM;MASC;PL	N
mišići	筋肉	mišić	筋肉	N;NOM;MASC;PL	N
algoritam	アルゴリズム	algoritam	アルゴリズム	N;NOM;MASC;SG	N
skladište	倉庫	skladište	倉庫	N;NOM;NEUT;SG	N
skladište	ストレージ	skladište	ストレージ	N;NOM;NEUT;SG	N
kostura	スケルトン	kostura	スケルトン	N;ACC;MASC;SG	N
kostura	骨格	kostura	骨格	N;ACC;MASC;SG	N
kostura	骨格	kostura	骨格	N;ACC;MASC;SG	N
narav	気性	narav	気性	N;NOM;FEM;SG	N
izgubi	失う	izguba	失う	V;IND;SG;3;PRS;FIN	V
učinkovitosti	効率	učinkovitost	効率	N;NOM;FEM;PL	N
organizmi	生物	organizam	生物	N;NOM;MASC;PL	N
mudrosti	知恵	mudrost	知恵	N;NOM;FEM;PL	N
kanali	チャネル	kanal	チャネル	N;NOM;MASC;PL	N
kanali	チャンネル	kanal	チャンネル	N;NOM;MASC;PL	N
kanali	運河	kanal	運河	N;NOM;MASC;PL	N
stabilnosti	安定	stabilnost	安定	N;NOM;FEM;SG	N
pehar	カップ	pehar	カップ	N;NOM;MASC;SG	N
pehar	コップ	pehar	コップ	N;NOM;MASC;SG	N
topla	あったかい	topao	あったかい	ADJ;NOM;DEF;FEM;SG	ADJ
topla	暖かい	topao	暖かい	ADJ;NOM;DEF;FEM;SG	ADJ
topla	温かい	topao	温かい	ADJ;NOM;DEF;FEM;SG	ADJ
kapeli	チャペル	kapela	チャペル	N;DAT;FEM;SG	N
matematiku	数学	matematika	数学	N;ACC;FEM;SG	N
matematiku	数学	matematika	数学	N;ACC;FEM;SG	N
stolac	いす	stolac	いす	N;NOM;MASC;SG	N
stolac	チェア	stolac	チェア	N;NOM;MASC;SG	N
stolac	椅子	stolac	椅子	N;NOM;MASC;SG	N
