اتھاہ	sedalam	اتھاہ	sedalam		;SG
اِبتدائی	inisial	اِبتدائی	inisial	N;NOM;MASC;SG;3	N
اِبتدائی	pendahuluan	اِبتدائی	pendahuluan	N;NOM;MASC;SG;3	N;SG
اِبتدائی	primer	اِبتدائی	primer	N;NOM;MASC;SG;3	N;SG
ابتر	sengsara	ابتر	sengsara	ADJ	ADJ;SG
ابتر	hancur	ابتر	hancur	ADJ	ADJ;SG
ابجد	permulaan	ابجد	permulaan	N;NOM;MASC;SG;3	N;SG
ابحاث	argumen	ابحاث	argumen	N;NOM;MASC;SG;3	N;SG
اُبکنا	usirlah	اُبک	usir	V;SG;NFIN;ACT	V;SG;ACT
اُبلنا	membengkak	اُبل	menbengkak	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُبلنا	bangkit	اُبل	bangkit	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُبلنا	bangkitlah	اُبل	bangkit	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُبھار	membengkak	اُبھار	menbengkak	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;ACT
اُبھارنا	membujuk	اُبھارنا	menbujuk	V;NFIN;ACT	V;SG;ACT
اُبھارنا	naikkan	اُبھارنا	naikkan	V;NFIN;ACT	V;SG;ACT
اُبھارنا	menggairahkan	اُبھارنا	mengairahkan	V;NFIN;ACT	V;SG;ACT
اُبھارنا	merangsang	اُبھارنا	menrangsang	V;NFIN;ACT	V;SG;ACT
اُبھرنا	bangkit	اُبھرنا	bangkit	V;SG;NFIN;ACT	V;SG;ACT
اُبھرنا	bangkitlah	اُبھرنا	bangkit	V;SG;NFIN;ACT	V;SG;ACT
اُبھرنا	tumbuhkan	اُبھرنا	tumbuhkan	V;SG;NFIN;ACT	V;SG;ACT
اُبھرنا	kembangkan	اُبھرنا	kembangkan	V;SG;NFIN;ACT	V;SG;ACT
اُبھرنا	tumbuh	اُبھرنا	tumbuh	V;SG;NFIN;ACT	V;SG;ACT
اُبھرنا	bertumbuh	اُبھرنا	bertumbuh	V;SG;NFIN;ACT	V;SG;ACT
اُبھرنا	membengkak	اُبھرنا	menbengkak	V;SG;NFIN;ACT	V;SG;ACT
اُپاڑنا	menumbangkan	اُپاڑنا	mentumbangkan	V;SG;NFIN;ACT	V;SG;ACT
اُپاڑنا	merusak	اُپاڑنا	menrusak	V;SG;NFIN;ACT	V;SG;ACT
اُپاڑنا	membasmi	اُپاڑنا	menbasmi	V;SG;NFIN;ACT	V;SG;ACT
اُپاڑنا	memberantas	اُپاڑنا	menberantas	V;SG;NFIN;ACT	V;SG;ACT
اُپٹنا	meluap	اُپٹ	meluap	V;SG;NFIN;ACT	V;SG;ACT
