sunt	हैं	fi	है	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
sit	साइट	sit	साइट	N;INDF;MASC;SG	N;NOM;FEM;SG;3
sit	साईट	sit	साईट	N;INDF;MASC;SG	N;NOM;FEM;SG;3
mare	महान	mare	महान	ADJ;INDF;MASC;SG	ADJ
mare	बड़ा	mare	बड़ा	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mare	बड़ा	mare	बड़ा	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mare	बड़ी	mare	बडा	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
externe	बाहरी	extern	बाहरी	ADJ;INDF;FEM;PL	ADJ;NOM
locuitori	निवासियों	locuitor	निवासी	N;INDF;MASC;PL	N;ACC;MASC;PL;3
locuitori	निवासियों	locuitor	निवासी	N;INDF;MASC;PL	N;ACC;MASC;PL;3
legaturi	कड़ियाँ	legatură	कड़ी	N;INDF;FEM;PL	N;NOM;FEM;PL;3
legaturi	कनेक्शन्स	legatură	कनेक्शन्स	N;INDF;FEM;PL	N;NOM;MASC;PL;3
legaturi	कड़ियाँ	legatură	कड़ी	N;INDF;FEM;PL	N;NOM;FEM;PL;3
vezi	देख	vedea	देख	V;IND;SG;2;PRS;FIN	V;ACT
dar	लेकिन	dar	लेकिन	CONJ;POS	CONJ
dar	मगर	dar	मगर	CONJ;POS	CONJ
cod	कोड	cod	कोड		
cod	कॉड	cod	कॉड		
cod	cod	cod	cod		
jpg	jpg	jpg	jpg	N	N;NOM;MASC;SG;3
nume	नाम	nume	नाम	N;INDF	N;NOM;MASC;SG;3
ani	सालों	an	साल	N;INDF;MASC;PL	N;NOM;MASC;PL;3
ani	वर्षों	an	वर्ष	N;INDF;MASC;PL	N;NOM;MASC;PL;3
poate	शायद	poate	शायद	ADV	ADV
poate	संभवतः	poate	संभवतः	ADV	ADV
poate	शायद	poate	शायद	ADV	ADV
rege	राजा	rege	राजा	N;INDF;MASC;SG	N;NOM;MASC;SG;3
rege	बादशाह	rege	बादशाह	N;INDF;MASC;SG	N;NOM;MASC;SG;3
timp	वक़्त	timp	वक़्त	N;INDF;MASC;SG	N;NOM;MASC;SG;3
timp	वक्त	timp	वक्त	N;INDF;MASC;SG	N;NOM;MASC;SG;3
timp	समय	timp	समय	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sat	गांव	sat	गाँव	N;INDF;MASC;SG	N;NOM;MASC;SG;3
martie	कूच	martie	कूच	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fisier	फाइल	fisier	फाइल	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fisier	फ़ाइल	fisier	फााइल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fisier	संचिका	fisier	संचिका	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fisier	फाइल	fisier	फाइल	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fisier	फ़ाइल	fisier	फााइल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fisier	संचिका	fisier	संचिका	N;INDF;MASC;SG	N;NOM;FEM;SG;3
latns	latns	latns	latns		
latd	latd	latd	latd		
longd	longd	longd	longd		
loc	जगह	loc	जगह	N;INDF;MASC;SG	N;NOM;FEM;SG;3
loc	स्थान	loc	स्थान	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	प्लेस	loc	प्लेस	N;INDF;MASC;SG	N;NOM;FEM;SG;3
trei	तीन	trei	तीन	NUM;PL	NUM
lats	लात्स	lats	लात्स		
longm	longm	longm	longm		
latm	latm	latm	latm		
departament	विभाग	departament	विभाग	N;INDF;MASC;SG	N;NOM;MASC;SG;3
