και	そして	και	そして	CONJ	CONJ
κατηγορία	カテゴリー	κατηγορία	カテゴリー	N;NOM;FEM;SG	N
κατηγορία	区分	κατηγορία	区分	N;NOM;FEM;SG	N
κατηγορία	カテゴリ	κατηγορία	カテゴリ	N;NOM;FEM;SG	N
ένα	一	ένας	一	NUM;NOM;NEUT;SG	NUM
μια	一	ένας	一	NUM;NOM;FEM;SG	NUM
αλλά	でも	αλλά	でも	CONJ	CONJ
αλλά	しかし	αλλά	しかし	CONJ	CONJ
δύο	二	δύο	二	NUM;NOM;MASC;PL	NUM
δύο	二	δύο	二	NUM;NOM;MASC;PL	NUM
αυτό	これ	αυτός	これ	PRO;NOM;NEUT;SG;3	PRO
αυτή	彼女	αυτός	彼女	PRO;NOM;FEM;SG;3	PRO
μέχρι	まで	μέχρι	まで	ADP	ADP
μία	一	ένας	一	NUM;NOM;FEM;SG	NUM
ομάδα	分隊	ομάδα	分隊	N;ACC;FEM;SG	N
ομάδα	集団	ομάδα	集団	N;ACC;FEM;SG	N
ομάδα	グループ	ομάδα	グループ	N;ACC;FEM;SG	N
ομάδα	チーム	ομάδα	チーム	N;ACC;FEM;SG	N
θέση	ポジション	θέση	ポジション	N;ACC;FEM;SG	N
θέση	役職	θέση	役職	N;ACC;FEM;SG	N
χρόνια	慢性	χρόνος	慢性	N;NOM;NEUT;PL	N
χρόνια	持病	χρόνος	持病	N;NOM;NEUT;PL	N
χρόνια	年数	χρόνος	年数	N;NOM;NEUT;PL	N
πιο	もっと	πιο	もっと	ADV	ADV
πόλη	タウン	πόλη	タウン	N;NOM;FEM;SG	N
πόλη	都市	πόλη	都市	N;NOM;FEM;SG	N
περιοχή	リージョン	περιοχή	リージョン	N;NOM;FEM;SG	N
περιοχή	地域	περιοχή	地域	N;NOM;FEM;SG	N
περιοχή	面積	περιοχή	面積	N;NOM;FEM;SG	N
περιοχή	領域	περιοχή	領域	N;NOM;FEM;SG	N
περιοχή	エリア	περιοχή	エリア	N;NOM;FEM;SG	N
αιώνα	世紀	αιώνας	世紀	N;ACC;MASC;SG	N
αιώνα	センチュリー	αιώνας	センチュリー	N;ACC;MASC;SG	N
περίοδο	期間	περίοδος	期間	N;ACC;FEM;SG	N
περίοδο	ピリオド	περίοδος	ピリオド	N;ACC;FEM;SG	N
όνομα	名前	όνομα	名前	N;NOM;NEUT;SG	N
όνομα	氏名	όνομα	氏名	N;NOM;NEUT;SG	N
όνομα	名称	όνομα	名称	N;NOM;NEUT;SG	N
μέρος	パート	μέρος	パート	N;NOM;NEUT;SG	N
μέρος	部分	μέρος	部分	N;NOM;NEUT;SG	N
μέρος	場所	μέρος	場所	N;NOM;NEUT;SG	N
μέρος	スポット	μέρος	スポット	N;NOM;NEUT;SG	N
διάρκεια	期間	διάρκεια	期間	N;ACC;FEM;SG	N
ιστορία	記事	ιστορία	記事	N;NOM;FEM;SG	N
ιστορία	ストーリー	ιστορία	ストーリー	N;NOM;FEM;SG	N
ιστορία	物語	ιστορία	物語	N;NOM;FEM;SG	N
ιστορία	履歴	ιστορία	履歴	N;NOM;FEM;SG	N
ιστορία	由緒	ιστορία	由緒	N;NOM;FEM;SG	N
ιστορία	歴史	ιστορία	歴史	N;NOM;FEM;SG	N
ιστορία	沿革	ιστορία	沿革	N;NOM;FEM;SG	N
πρωτάθλημα	リーグ	πρωτάθλημα	リーグ	N;NOM;NEUT;SG	N
πρωτάθλημα	チャンピオンシップ	πρωτάθλημα	チャンピオンシップ	N;NOM;NEUT;SG	N
πρωτάθλημα	選手権	πρωτάθλημα	選手権	N;NOM;NEUT;SG	N
νέα	新しい	νέος	新しい	ADJ;NOM;NEUT;PL	ADJ
νέα	新規	νέος	新規	ADJ;NOM;NEUT;PL	ADJ
αυτά	これら	αυτός	これら	PRO;NOM;NEUT;PL;3	PRO
αυτά	これら	αυτός	これら	PRO;NOM;NEUT;PL;3	PRO
συζήτηση	スレッド	συζήτηση	スレッド	N;ACC;FEM;SG	N
συζήτηση	ディスカッション	συζήτηση	ディスカッション	N;ACC;FEM;SG	N
συζήτηση	ディベート	συζήτηση	ディベート	N;ACC;FEM;SG	N
