甲殼	äyriäiset	甲殼	äyriäinen	N	N;NOM;PL
捲	roll	捲	roll	N	N;NOM;SG
卡車	rekka	卡車	rekka	N	N;NOM;SG
阻力	kestävyys	阻力	kestävyys	N	N;NOM;SG
阻力	vastustus	阻力	vastustus	N	N;NOM;SG
阻力	vastarinta	阻力	vasta#rinta	N	N;NOM;SG
阻力	vastarinnan	阻力	vasta#rinta	N	N;GEN;SG
阻力	vastarintaa	阻力	vastarinta	N	N;PRT;SG
沙拉	salaattia	沙拉	salaatti	N	N;PRT;SG
沙拉	salaatti	沙拉	salaatti	N	N;NOM;SG
沙拉	salaatin	沙拉	salaatti	N	N;GEN;SG
耳朵	korvan	耳朵	korva	N	N;GEN;SG
耳朵	korva	耳朵	korva	N	N;NOM;SG
耳朵	korvat	耳朵	korva	N	N;NOM;PL
耳朵	korvia	耳朵	korva	N	N;PRT;PL
耳朵	korvien	耳朵	korva	N	N;GEN;PL
熔岩	laavaa	熔岩	laava	N	N;PRT;SG
啟發	inspiroi	啟發	inspiroida	V	V;IND;SG;2;PRS;FIN;ACT
疼痛	kipu	疼痛	kipu	N	N;NOM;SG
疼痛	kipua	疼痛	kipu	N	N;PRT;SG
疼痛	tuska	疼痛	tuska	N	N;NOM;SG
疼痛	tuskaa	疼痛	tuska	N	N;PRT;SG
鷗	lokki	鷗	lokki	N	N;NOM;SG
冥王	pluto	冥王	pluto	N	N;NOM;SG
約束	rajoite	約束	rajoite	N	N;NOM;SG
約束	rajoitus	約束	rajoitus	N	N;NOM;SG
掩護	kansi	掩護	kansi	N	N;NOM;SG
掩護	kannen	掩護	kansi	N	N;GEN;SG
鈍	blunt	鈍	blunt	N	N;NOM;SG
長壽	elinikä	長壽	elin#ikä	N	N;NOM;SG
友誼	ystävyys	友誼	ystävyys	N	N;NOM;SG
友誼	ystävyyttä	友誼	ystävyys	N	N;PRT;SG
友誼	ystävyyden	友誼	ystävyys	N	N;GEN;SG
瘦	slim	瘦	slim	N	N;NOM;SG
甲烷	metaania	甲烷	metaani	N	N;PRT;SG
優質	laatu	優質	laatu	N	N;NOM;SG
優質	laatua	優質	laatu	N	N;PRT;SG
書法	kalligrafia	書法	kalligrafi	N	N;NOM;SG
船員	miehistö	船員	miehistö	N	N;NOM;SG
船員	miehistöä	船員	miehistö	N	N;PRT;SG
船員	miehistön	船員	miehistö	N	N;GEN;SG
前衛	vanguard	前衛	vanguard	N	N;NOM;SG
山羊	vuohen	山羊	vuohi	N	N;GEN;SG
山羊	vuohi	山羊	vuohi	N	N;NOM;SG
山羊	vuohet	山羊	vuoha	N	N;NOM;PL
山羊	vuohia	山羊	vuoha	N	N;PRT;PL
山羊	vuohet	山羊	vuoha	N	N;NOM;PL
丟	heittää	丟	heittää	V	V;SG;NFIN;ACT
財團	yhteenliittymä	財團	yhteen#liittymä	N	N;NOM;SG
財團	yhteenliittymän	財團	yhteen#liittymä	N	N;GEN;SG
消化	sulattaa	消化	sulattaa	V	V;IND;SG;PRS;FIN;ACT
成效	tehokkuutta	成效	tehokkuus	N	N;PRT;SG
成效	tehokkuus	成效	tehokkuus	N	N;NOM;SG
成效	tehokkuuden	成效	tehokkuus	N	N;GEN;SG
樹木	puu	樹木	puu	N	N;NOM;SG
樹木	puuta	樹木	puu	N	N;PRT;SG
樹木	puun	樹木	puu	N	N;GEN;SG
樹木	puita	樹木	puu	N	N;PRT;PL
樹木	puut	樹木	puu	N	N;NOM;PL
樹木	puista	樹木	puu	N	N;IN+ABL;PL
陶器	keramiikka	陶器	keramiikka	N	N;NOM;SG
租賃	leasing	租賃	leasing	N	N;NOM;SG
租賃	vuokrasopimukset	租賃	vuokra#sopimus	N	N;NOM;PL
租賃	vuokra	租賃	vuokra	N	N;NOM;SG
租賃	vuokraus	租賃	vuokraus	N	N;NOM;SG
租賃	vuokrasopimus	租賃	vuokra#sopimus	N	N;NOM;SG
胖	rasvaa	胖	rasva	N	N;PRT;SG
胖	rasva	胖	rasva	N	N;NOM;SG
胖	läski	胖	läski	N	N;NOM;SG
狹窄	ahdas	狹窄	ahdas	ADJ	ADJ;NOM;SG
狹窄	kapea	狹窄	kapea	ADJ	ADJ;NOM;SG
狹窄	suppea	狹窄	suppea	ADJ	ADJ;NOM;SG
節省	pelastaa	節省	pelastaa	V	V;IND;SG;3;PRS;FIN;ACT
節省	säästää	節省	säästää	V	V;SG;FIN;ACT
節省	tallennetaan	節省	tallentaa	V	V;IND;PRS;FIN;PASS
磚	tiiliä	磚	tiili	N	N;PRT;PL
磚	brick	磚	brick	N	N;NOM;SG
利率	korko	利率	korko	N	N;NOM;SG
高大	pitkä	高大	pitkä	ADJ	ADJ;NOM;SG
意向	aikeet	意向	aie	N	N;NOM;PL
意向	aikeita	意向	aie	N	N;PRT;PL
意向	kaltevuuden	意向	kaltevuus	N	N;GEN;SG
意向	aikomus	意向	aikomus	N	N;NOM;SG
意向	aikomuksena	意向	aikomus	N	N;FRML;SG
意向	aikomus	意向	aikomus	N	N;NOM;SG
進度	edistystä	進度	edistys	N	N;PRT;SG
進度	edistyminen	進度	edistyminen	N	N;NOM;SG
進度	edistys	進度	edistys	N	N;NOM;SG
進度	progress	進度	progress	N	N;NOM;SG
哺乳	nisäkäs	哺乳	nisäkäs	N	N;NOM;SG
哺乳	nisäkkäiden	哺乳	nisäkäs	N	N;GEN;PL
爺爺	ukki	爺爺	ukki	N	N;NOM;SG
爺爺	vaari	爺爺	vaari	N	N;NOM;SG
爺爺	pappa	爺爺	pappa	N	N;NOM;SG
爺爺	isoisä	爺爺	iso#isä	N	N;NOM;SG
情侶	parit	情侶	pari	N	N;NOM;PL
情侶	pariskunta	情侶	pariskunta	N	N;NOM;SG
情侶	pariskunnan	情侶	paris#kunta	N	N;GEN;SG
保全	säilytys	保全	säilytys	N	N;NOM;SG
保全	säilyminen	保全	säilyminen	N	N;NOM;SG
保全	säilyttäminen	保全	säilyttäminen	N	N;NOM;SG
宮殿	palatsi	宮殿	palatsi	N	N;NOM;SG
智力	älykkyys	智力	älykkyys	N	N;NOM;SG
智力	tiedustelu	智力	tiedustelu	N	N;NOM;SG
智力	älyä	智力	elyä	N	N;PRT;SG
智力	tiedustelupalvelu	智力	tiedustelu#palvelu	N	N;NOM;SG
渡口	lautta	渡口	lautta	N	N;NOM;SG
渡口	lautalla	渡口	lauta	N	N;AT+ESS
;SG
渡口	lautan	渡口	lauta	N	N;GEN;SG
糾紛	riidat	糾紛	riita	N	N;NOM;PL
糾紛	riitaa	糾紛	riita	N	N;PRT;SG
糾紛	riidan	糾紛	riita	N	N;GEN;SG
糾紛	riita	糾紛	riita	N	N;NOM;SG
糾紛	kiista	糾紛	kiista	N	N;NOM;SG
發光	loistaa	發光	loistaa	V	V;IND;SG;3;PRS;FIN;ACT
異議	vastalause	異議	vasta#lause	N	N;NOM;SG
係數	kerrointa	係數	kertoa	N	N;PRT;SG
係數	kertoimet	係數	kertoa	N	N;NOM;PL
抱怨	valittaa	抱怨	valittaa	V	V;IND;SG;FIN;ACT
抱怨	valittaa	抱怨	valittaa	V	V;IND;SG;FIN;ACT
銀色	hopea	銀色	hopea	N	N;NOM;SG
銀色	hopeaa	銀色	hopea	N	N;PRT;SG
鞘	tuppi	鞘	tuppi	N	N;NOM;SG
口味	makuja	口味	maku	N	N;PRT;PL
宗派	lahkojen	宗派	lahka	N	N;GEN;PL
人性	ihmiskunta	人性	ihmis#kunta	N	N;NOM;SG
人性	ihmisyyttä	人性	ihmisyys	N	N;PRT;SG
失誤	virheitä	失誤	virhe	N	N;PRT;PL
失誤	virheet	失誤	virhe	N	N;NOM;PL
溶解	liuennut	溶解	liueta	V	V;NOM;SG;V.PTCP;ACT
溶解	liuotetaan	溶解	liuottaa	V	V;IND;PRS;FIN;PASS
外國	muukalaisia	外國	muukalainen	N	N;PRT;PL
外國	muukalaiset	外國	muukalainen	N	N;NOM;PL
外國	ulkomaalaisten	外國	ulko#maalainen	N	N;GEN;PL
外國	ulkomaalaisia	外國	ulko#maalainen	N	N;PRT;PL
外國	ulkomaalaiset	外國	ulko#maalainen	N	N;NOM;PL
神仙	keiju	神仙	keiju	N	N;NOM;SG
腸	nakki	腸	nakki	N	N;NOM;SG
腸	makkara	腸	makkara	N	N;NOM;SG
腸	makkaraa	腸	makkara	N	N;PRT;SG
腸	suolisto	腸	suolisto	N	N;NOM;SG
腸	suolen	腸	suoli	N	N;GEN;SG
鹼	alkali	鹼	alkali	N	N;NOM;SG
石板	slate	石板	slate	N	N;NOM;SG
石板	tabletti	石板	tabletti	N	N;NOM;SG
石板	tabletit	石板	tabletti	N	N;NOM;PL
液晶	lcd	液晶	lcd	N	N;NOM;SG
君主	monarkia	君主	monarki	N	N;NOM;SG
野心	kunnianhimo	野心	kunnian#himo	N	N;NOM;SG
野心	kunnianhimoa	野心	kunnian#himo	N	N;PRT;SG
野心	kunnianhimo	野心	kunnian#himo	N	N;NOM;SG
別墅	huvila	別墅	huvila	N	N;NOM;SG
別墅	villa	別墅	villa	N	N;NOM;SG
別墅	villas	別墅	villas	N	N;NOM;SG
籠	häkkiin	籠	häkki	N	N;IN+ALL;SG
籠	häkki	籠	häkki	N	N;NOM;SG
籠	häkin	籠	häkki	N	N;GEN;SG
監管	valvontaa	監管	valvonta	N	N;PRT;SG
監管	valvonta	監管	valvonta	N	N;NOM;SG
顯示	valvoo	顯示	valvoa	V	V;IND;SG;3;PRS;FIN;ACT
罰款	sakot	罰款	sakko	N	N;NOM;PL
罰款	sakko	罰款	sakko	N	N;NOM;SG
罰款	sakkoja	罰款	sakko	N	N;PRT;PL
葡萄	glukoosi	葡萄	glukoosi	N	N;NOM;SG
鋰	litium	鋰	litium	N	N;NOM;SG
奶奶	mummi	奶奶	mummi	N	N;NOM;SG
奶奶	isoäiti	奶奶	iso#äiti	N	N;NOM;SG
奶奶	mummo	奶奶	mummo	N	N;NOM;SG
蚊	hyttynen	蚊	hyttynen	N	N;NOM;SG
補償	korvaus	補償	korvaus	N	N;NOM;SG
補償	korvausta	補償	korvaus	N	N;PRT;SG
補償	korvaukset	補償	korvaus	N	N;NOM;PL
補償	hyvitys	補償	hyvitys	N	N;NOM;SG
補償	korvauksia	補償	korvaus	N	N;PRT;PL
教父	kummisetä	教父	kummi#setä	N	N;NOM;SG
蝙	batman	蝙	batma	N	N;NOM;SG
蝙	batmanin	蝙	batman	N	N;GEN;SG
輕微	lievä	輕微	lievä	ADJ	ADJ;NOM;SG
肽	peptidi	肽	peptidi	N	N;NOM;SG
葉子	lehtiä	葉子	lehti	N	N;PRT;PL
葉子	lehdet	葉子	lehti	N	N;NOM;PL
葉子	lehti	葉子	lehti	N	N;NOM;SG
乙醇	etanoli	乙醇	etanoli	N	N;NOM;SG
樣式	style	樣式	style	N	N;NOM;SG
樣式	tyyliä	樣式	tyyli	N	N;PRT;SG
樣式	tyyli	樣式	tyyli	N	N;NOM;SG
遷徙	muuttavat	遷徙	muuttaa	V	V;IND;PL;3;PRS;FIN;ACT
交響	sinfonia	交響	sinfonia	N	N;NOM;SG
讀音	ääntämistä	讀音	ääntäminen	N	N;PRT;SG
聖殿	temppeli	聖殿	temppeli	N	N;NOM;SG
空格	tilat	空格	tila	N	N;NOM;PL
郵票	leima	郵票	leima	N	N;NOM;SG
郵票	postimerkkejä	郵票	posti#merkki	N	N;PRT;PL
騷擾	häiritsee	騷擾	häiritä	V	V;IND;SG;2;PRS;FIN;ACT
冷卻	jäähdytys	冷卻	jäähdytys	N	N;NOM;SG
皇宮	palatsi	皇宮	palatsi	N	N;NOM;SG
法老	faarao	法老	faarao	N	N;NOM;SG
法老	faaraon	法老	faaras	N	N;GEN;SG
溫和	lempeä	溫和	lempi	ADJ	ADJ;NOM;SG
溫和	maltillinen	溫和	maltillinen	ADJ	ADJ;NOM;SG
溫和	maltillinen	溫和	maltillinen	ADJ	ADJ;NOM;SG
溫和	kohtalainen	溫和	kohtalainen	ADJ	ADJ;NOM;SG
溫和	kohtalaista	溫和	kohtalainen	ADJ	ADJ;PRT;SG
溫和	kohtuullinen	溫和	kohtuullinen	ADJ	ADJ;NOM;SG
溫和	lievä	溫和	lievä	ADJ	ADJ;NOM;SG
溫和	lievää	溫和	lievä	ADJ	ADJ;PRT;SG
香料	mausteita	香料	mauste	N	N;PRT;PL
香料	mausteet	香料	mauste	N	N;NOM;PL
悼念	suree	悼念	surra	V	V;IND;SG;3;PRS;FIN;ACT
辣椒	chili	辣椒	chili	N	N;NOM;SG
辣椒	chiliä	辣椒	chil	N	N;PRT;SG
辣椒	pippuria	辣椒	pippuri	N	N;PRT;SG
賭場	kasinot	賭場	kasinot	N	N;NOM;PL
賭場	kasinolla	賭場	kasinolla	N	N;AT+ESS
;SG
賭場	kasino	賭場	kasino	N	N;NOM;SG
賭場	casino	賭場	casino	N	N;NOM;SG
國徽	tunnus	國徽	tunnus	N	N;NOM;SG
悲劇	murhenäytelmä	悲劇	murhe#näytelmä	N	N;NOM;SG
悲劇	tragedia	悲劇	tragedia	N	N;NOM;SG
鎖定	lukittu	鎖定	lukia	V	V;NOM;SG;V.PTCP;PASS
租金	vuokrat	租金	vuokra	N	N;NOM;PL
租金	vuokra	租金	vuokra	N	N;NOM;SG
