اتھاہ	עמוק	اتھاہ	עמוק		
اِبتدائی	יסודי	اِبتدائی	יסודי	N;NOM;MASC;SG;3	N;MASC;SG
ابتر	אומללה	ابتر	אומללה	ADJ	ADJ;FEM;SG
ابتر	אומלל	ابتر	אומלל	ADJ	ADJ;MASC;SG
ابتر	אומללים	ابتر	אומלל	ADJ	ADJ;MASC;PL
ابتر	מבולבל	ابتر	מבולבל	ADJ	ADJ;MASC;SG
ابتر	מבולבלים	ابتر	מבולבל	ADJ	ADJ;MASC;PL
ابجد	התחלה	ابجد	התחלה	N;NOM;MASC;SG;3	N;FEM;SG
ابس	סורר	ابس	סורר		
اُبکنا	לגרש	اُبک	גירש	V;SG;NFIN;ACT	V;NFIN;ACT
اِبل	גמל	اِبل	גמל		
اُبلنا	להרתיח	اُبل	הרתיח	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
ابواب	מסים	ابواب	מס	N;NOM;MASC;PL;3	N;MASC;PL
ابواب	מיסים	ابواب	מס	N;NOM;MASC;PL;3	N;MASC;PL
ابواب	דלתות	ابواب	דלת	N;NOM;MASC;PL;3	N;FEM;PL
ابواب	פרקים	ابواب	פרק	N;NOM;MASC;PL;3	N;MASC;PL
اُبھارنا	לשכנע	اُبھارنا	שכנע	V;NFIN;ACT	V;NFIN;ACT
اُبھارنا	שכנע	اُبھارنا	שכנע	V;NFIN;ACT	V;MASC;SG;3;PST;ACT
اُبھارنا	לגדל	اُبھارنا	גדל	V;NFIN;ACT	V;NFIN;ACT
اُبھرنا	לגדול	اُبھرنا	גדל	V;SG;NFIN;ACT	V;NFIN;ACT
اُبھرنا	תגדל	اُبھرنا	גדל	V;SG;NFIN;ACT	V;FEM;SG;3;FUT
اُبھرنا	לפרוח	اُبھرنا	פרח	V;SG;NFIN;ACT	V;NFIN;ACT
اُپاڑنا	לעקור	اُپاڑنا	עקר	V;SG;NFIN;ACT	V;NFIN;ACT
اُپج	חתוך	اُپج	חתוך		
اپن	שלי	اپن	שלי		
اپنگ	נכים	اپنگ	נכים		
اپنگ	נכה	اپنگ	נכה		
اپیل	ערעור	اپیل	ערעור	N;NOM;MASC;SG;3	N;MASC;SG
اتا	אבא	اتا	אבא		
اُتار	ירידה	اُتار	ירידה	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	ירידה	اُتار	ירידה	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	נפילה	اُتار	נפילה	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	צמצום	اُتار	צמצום	N;NOM;MASC;SG;3	N;MASC;SG
اُتار	הפחתת	اُتار	הפחתה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
اُتار	הפחתה	اُتار	הפחתה	N;NOM;MASC;SG;3	N;FEM;SG
اُتار	ירידה	اُتار	ירידה	N;NOM;MASC;SG;3	N;FEM;SG
اُتارنا	לחשוף	اُتار	חשף	V;NFIN;ACT	V;NFIN;ACT
اُتارنا	לפרוק	اُتار	פרק	V;NFIN;ACT	V;NFIN;ACT
اُتارنا	לחשוף	اُتار	חשף	V;NFIN;ACT	V;NFIN;ACT
اُتارنا	לפרוק	اُتار	פרק	V;NFIN;ACT	V;NFIN;ACT
اُتاق	החדר	اُتاق	החדר		
اُترا	בגיל	اُترا	בגיל		
اُترا	דהוי	اُترا	דהוי		
اُترنا	להפחית	اُتر	הפחית	V;MASC;SG;ACT	V;NFIN;ACT
اُترنا	לסרב	اُتر	סירב	V;MASC;SG;ACT	V;NFIN;ACT
اُترنا	דחה	اُتر	דחה	V;MASC;SG;ACT	V;MASC;SG;3;PST;ACT
اُتھلنا	תיפול	اُتھلنا	נפל	V;SG;NFIN;ACT	V;FEM;SG;3;FUT;ACT
اُتھلنا	ליפול	اُتھلنا	ליפול	V;SG;NFIN;ACT	V;NFIN;ACT
اٹکل	נחשו	اٹک	נחשה		
اٹکل	נחש	اٹک	נחש		
اٹکلنا	מניחה	اٹکل	מניחה	V;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
اٹکلنا	מניח	اٹکل	הניח	V;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
اٹکن	קישור	اٹکن	קישור		
اٹم	ערימה	اٹم	ערימה		
اٹم	ערימה	اٹم	ערימה		
اُٹھانا	לגדל	اُٹھا	גדל	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	להניף	اُٹھا	הניף	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	להסיר	اُٹھا	הסיר	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	לגנוב	اُٹھا	גנב	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	לסחוב	اُٹھا	סחב	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	לשאת	اُٹھا	נשא	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	להעיר	اُٹھا	העיר	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُٹھانا	להתעורר	اُٹھا	התעורר	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھتا	מתגבר	اُٹھ	התגבר	V;IPFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
اُٹھنا	להתאושש	اُٹھ	התאושש	V;MASC;SG;NFIN;ACT	V;NFIN
اثاثہ	סחורה	اثاثہ	סחורה	N;NOM;MASC;SG;3	N;FEM;SG
اثاثہ	עושר	اثاثہ	עושר	N;NOM;MASC;SG;3	N;MASC;SG
اثاثہ	רכוש	اثاثہ	רכוש	N;NOM;MASC;SG;3	N;MASC;SG
اثاثہ	נכס	اثاثہ	נכס	N;NOM;MASC;SG;3	N;MASC;SG
اثر	האפקט	اثر	האפקט	N;NOM;MASC;SG;3	N;MASC;SG
اثر	השפעה	اثر	השפעה	N;NOM;MASC;SG;3	N;FEM;SG
اثر	אפקט	اثر	אפקט	N;NOM;MASC;SG;3	N;MASC;SG
اثر	השפעה	اثر	השפעה	N;NOM;MASC;SG;3	N;FEM;SG
اثر	תוצאה	اثر	תוצאה	N;NOM;MASC;SG;3	N;FEM;SG
اثر	השלכה	اثر	השלכה	N;NOM;MASC;SG;3	N;FEM;SG
اثرورسوخ	השפעה	اثرورسوخ	השפעה	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	זמן	اثنا	זמן	N;NOM;MASC;SG;3	N;MASC;SG
اثنا	עת	اثنا	עת	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	נקודה	اثنا	נקודה	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	תקופה	اثنا	תקופה	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	זמן	اثنا	זמן	N;NOM;MASC;SG;3	N;MASC;SG
اثنا	עת	اثنا	עת	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	נקודה	اثنا	נקודה	N;NOM;MASC;SG;3	N;FEM;SG
اثنا	תקופה	اثنا	תקופה	N;NOM;MASC;SG;3	N;FEM;SG
اُجاڑ	הרוס	اُجاڑ	הרוס		
اُجاڑ	נטוש	اُجاڑ	נטש		
اُجاڑنا	להרוס	اُجاڑنا	הרס	V;SG;NFIN;ACT	V;NFIN;ACT
اُجاڑنا	להשמיד	اُجاڑنا	השמיד	V;SG;NFIN;ACT	V;NFIN;ACT
اِجازت	הרשאה	اِجازت	הרשאה	N;NOM;MASC;SG;3	N;FEM;SG
اِجازت	אישור	اِجازت	אישור	N;NOM;MASC;SG;3	N;MASC;SG
اِجازت	רשות	اِجازت	רשות	N;NOM;MASC;SG;3	N;FEM;SG
اِجازت	חירות	اِجازت	חירות	N;NOM;MASC;SG;3	N;FEM;SG
اِجازت	רישיון	اِجازت	רישיון	N;NOM;MASC;SG;3	N;MASC;SG
اجان	תמים	اجان	תמים		
اجان	תמים	اجان	תמים		
اجان	תמימה	اجان	תמים		
اجان	בור	اجان	בור		
اُجڈ	בור	وجج	בור		
اجَر	אלמוות	اجَر	אלמוות		
اجر	שוכר	اجر	שכר	N;NOM;MASC;SG;3	N;MASC;SG
اجر	פיצוי	اجر	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
اجرام	גוף	اجرام	גוף	N;NOM;MASC;SG;3	N;MASC;SG
اُجرت	שכר	اُجرت	שכר	N;NOM;MASC;SG;3	N;MASC;SG
اجزا	הבוחרים	اجزا	הבוחר	N;NOM;MASC;SG;3	N
اجم	יער	اجم	יער		
اجم	היער	اجم	היער		
اجناس	סחורות	جنس	סחורה	N;NOM;MASC;PL;3	N;FEM;PL
اجناس	מינים	جنس	מין	N;NOM;MASC;PL;3	N;MASC;PL
اجناس	גרגירים	جنس	גרגיר	N;NOM;MASC;PL;3	N;MASC;PL
اجیرن	קשים	اجیرن	קשה	ADJ	ADJ;MASC;PL
اُچانا	לגדל	اُچا	גדל	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اُچانا	לרומם	اُچا	לרומם	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
اچانک	במפתיע	اچانک	במפתיע	ADV	ADV
اچانک	לפתע	اچانک	לפתע	ADV	ADV
اُچک	קפוץ	اُچک	קפוץ		
اُچکنا	לחטוף	اُچک	חטף	V;SG;ACT	V;NFIN;ACT
اُچھالنا	לפזר	اُچھال	פיזר	V;SG;NFIN;ACT	V;NFIN;ACT
