for	pre	for	pre	ADP	ADP;ACC
der	tam	der	tam	ADV	ADV
var	bola	være	byť	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
var	bol	være	byť	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
var	bolo	være	byť	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
var	boli	være	byť	V;IND;PST;FIN;ACT	V;IPFV;MASC;PL;POS;PST;V.PTCP
blev	stal	blive	stať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
blev	bola	blive	byť	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
blev	bol	blive	byť	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
blev	bolo	blive	byť	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
blev	ostal	blive	ostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
blev	ostali	blive	ostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
blev	zostali	blive	zostať	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;POS;PST;V.PTCP
blev	zostal	blive	zostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
blev	zostala	blive	zostať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
har	má	have	mať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
har	mať	have	mať	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
har	majú	have	mať	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
ved	vedieť	vide	vedieť	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
ved	poznať	vide	poznať	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
ved	viem	vide	vedieť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;POS;PRS;FIN
men	ale	men	ale	CONJ	CONJ
også	takisto	også	takisto	ADV	ADV
også	taktiež	også	taktiež	ADV	ADV
også	príliš	også	príliš	ADV	ADV
kan	môže	kunne	môcť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
kan	môžu	kunne	môcť	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
kan	môže	kunne	môcť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
hvor	kde	hvor	kde	ADV	ADV
hvor	kam	hvor	kam	ADV	ADV
havde	malo	have	mať	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
havde	nemal	have	mať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
havde	mali	have	mať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
havde	mal	have	mať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
havde	mala	have	mať	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
under	nižšie	under	nízko	ADV	ADV;CMPR
hans	jeho	hans	jeho	DET;3	DET;NOM;NEUT;SG;3
over	vyššie	over	vysoko	ADV	ADV;CMPR
første	prvý	første	prvý	ADJ	ADJ;ANIM;NOM;MASC;SG
første	prvy	første	prva	ADJ	ADJ;INAN;NOM;MASC;SG
første	prvé	første	prvý	ADJ	ADJ;NOM;NEUT;SG
første	prvá	første	prvý	ADJ	ADJ;NOM;FEM;SG
henvisninger	odkazy	henvisning	odkaz	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
henvisninger	referencie	henvisning	referencia	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
dansk	dánske	dansk	dánsky	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
dansk	dánska	dansk	dánsky	ADJ;INDF;SG	ADJ;NOM;FEM;SG
dansk	dánsky	dansk	dánsky	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
mod	odvaha	mod	odvaha	N;INDF;NEUT;SG	N;NOM;FEM;SG
mod	odvahu	mod	odvaha	N;INDF;NEUT;SG	N;ACC;FEM;SG
mod	odvahy	mod	odvaha	N;INDF;NEUT;SG	N;GEN;FEM;SG
mod	mod	mod	mod	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
hun	ona	hun	ona	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;FEM;SG;3
fik	dostala	få	dostať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
fik	dostali	få	dostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
fik	dostal	få	dostať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
del	časť	del	časť	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
del	čast	del	čast	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
del	súčasť	del	súčasť	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
del	zdieľanie	del	zdieľanie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
mellem	medzi	mellem	medzi	ADP	ADP;INS
flere	viacerých	mange	viacero	ADJ;CMPR;PL	ADJ;ANIM;GEN;MASC;PL
mange	mnohí	mange	mnoho	ADJ;PL	ADJ;ANIM;NOM;MASC;PL
team	mužstvo	team	mužstvo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
team	tím	team	tím	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
kunne	mohla	kunne	môcť	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
kunne	mohol	kunne	môcť	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
kunne	mohli	kunne	môcť	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
kunne	mohlo	kunne	môcť	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
danske	dánskych	dansk	dánsky	ADJ;PL	ADJ;GEN;MASC;PL
kun	jedine	kun	jedine	ADV	ADV
tidligere	skoršie	tidligere	skorý	ADV;CMPR	ADV;CMPR
siden	odkedy	siden	odkedy	ADV	ADV
skal	musia	skulle	musieť	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
skal	musí	skulle	musieť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
have	maj	have	mať	V;NFIN;ACT	V;IPFV;IMP;SG;2;POS;FIN
have	mať	have	mať	V;NFIN;ACT	V;IPFV;POS;NFIN
have	majú	have	mať	V;NFIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
store	veľkých	stor	veľký	ADJ;PL	ADJ;ANIM;GEN;MASC;PL
store	veľkí	stor	veľký	ADJ;PL	ADJ;ANIM;NOM;MASC;PL
været	bola	være	byť	V;INDF;SG;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
været	bol	være	byť	V;INDF;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
sammen	spolu	sammen	spolu	ADV	ADV
sammen	dokopy	sammen	dokopy	ADV	ADV
sammen	spoločne	sammen	spoločne	ADV	ADV
bliver	zostať	blive	zostať	V;IND;PRS;FIN;ACT	V;PFV;POS;NFIN
samme	rovnaká	samme	rovnaký	ADJ	ADJ;NOM;FEM;SG
samme	rovnaké	samme	rovnaký	ADJ	ADJ;NOM;NEUT;SG
samme	rovnaký	samme	rovnaký	ADJ	ADJ;ANIM;NOM;MASC;SG
vil	chcieť	ville	chcieť	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
vil	chceš	ville	chcieť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;POS;PRS;FIN
vil	chcem	ville	chcieť	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;POS;PRS;FIN
ham	ho	han	on	PRO;ACC;MASC+FEM;SG;3	PRO;ANIM;ACC;MASC;SG;3
omkring	približne	omkring	približne	ADV	ADV
omkring	dookola	omkring	dookola	ADV	ADV
kom	prišlo	komme	prísť	V;IND;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
kom	prišli	komme	prísť	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
kom	prišiel	komme	prísť	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
kom	prišla	komme	prísť	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
skulle	malo	skulle	mať	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
tre	tri	tre	tri	NUM	NUM;INAN;NOM;MASC;PL
tre	troch	tre	tri	NUM	NUM;GEN;MASC;PL
tre	traja	tre	tri	NUM	NUM;ANIM;NOM;MASC;PL
byen	mesto	by	mesto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	mesta	by	mesto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	mestečko	by	mestečko	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	mesto	by	mesto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	mesta	by	mesto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
maj	mája	maj	máj	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
mens	kým	mens	kým	CONJ	CONJ
dag	deň	dag	deň	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
dag	dňa	dag	deň	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
her	sem	her	sem	ADV	ADV
her	tu	her	tu	ADV	ADV
tilbage	späť	tilbage	späť	ADV	ADV
tilbage	naspäť	tilbage	naspäť	ADV	ADV
kommune	obci	kommune	obec	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
kommune	obec	kommune	obec	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kommune	samospráva	kommune	samosprávať	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kommune	obec	kommune	obec	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
død	smrt	død	smrt	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
død	smrť	død	smrť	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
død	úmrtie	død	úmrtie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
død	mŕtve	død	mŕtvy	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
dem	nich	de	on	PRO;ACC;PL;3	PRO;ANIM;ACC;MASC;PL;3
findes	existovať	findes	existovať	V;IND;PRS;FIN;ACT	V;IPFV;POS;NFIN
findes	existujú	findes	existovať	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
findes	existuje	findes	existovať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
findes	jestvuje	findes	jestvovať	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
august	auguste	august	augusta	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
august	august	august	august	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
