medaljen	medaljen	medalje	medalj	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
værdifulde	värdefulla	værdifuld	värdefull	ADJ;PL	ADJ;NOM;PL
udbruddet	utbrottet	udbrud	utbrott	N;DEF;NEUT;SG	N;NOM;DEF;NEUT;SG
bmw	bmw	bmw	bmw	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
akademiske	akademiska	akademisk	akademisk	ADJ;PL	ADJ;NOM;PL
forstærket	stärkts	forstærke	stärka	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
forstærket	förstärkts	forstærke	förstärka	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
køber	köper	købe	köpa	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
køber	köper	købe	köpa	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
beskrivelser	beskrivningar	beskrivelse	beskrivning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
tilstedeværelse	närvaro	tilstedeværelse	närvaro	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tilstedeværelse	deltagande	tilstedeværelse	deltagande	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
tilstedeværelse	närvaro	tilstedeværelse	närvaro	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tilstedeværelse	förekomst	tilstedeværelse	förekomst	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
inviteret	bjöd	invitere	bjöd	V;INDF;SG;PST;V.PTCP	V;IMP;PST;FIN;ACT
voksen	växt	voksen	växt	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
cape	kap	cape	kap	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
cape	mantel	cape	mantel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tempel	tempel	tempel	tempel	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
tempel	temple	tempel	temple	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
ordrer	beställningar	ordre	beställning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
frederikssund	frederikssund	frederikssund	frederikssund	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
soundtrack	soundtrack	soundtrack	soundtrack	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
hovedkontor	huvudkontor	hovedkontor	huvudkontor	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
hovedkontor	högkvarter	hovedkontor	högkvart	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
farlige	farliga	farlig	farlig	ADJ;PL	ADJ;NOM;PL
farlige	farliga	farlig	farlig	ADJ;PL	ADJ;NOM;PL
magiske	magiska	magisk	magisk	ADJ;PL	ADJ;NOM;PL
granit	granit	granit	granit	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
velhavende	förmögna	velhavende	förmögen	ADJ	ADJ;NOM;PL
velhavende	förmögen	velhavende	förmög	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
velhavende	förmögna	velhavende	förmögen	ADJ	ADJ;NOM;PL
velhavende	rika	velhavende	rik	ADJ	ADJ;NOM;PL
sen	försenat	sen	försena	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
sen	försenad	sen	försenad	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
streng	strikt	streng	strikt	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
tunnel	tunnel	tunnel	tunnel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
opfyldt	uppfyllde	opfylde	uppfylla	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
opfyldt	träffades	opfylde	träffa	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
opfyldt	mötte	opfylde	mötte	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
opfyldt	träffade	opfylde	träffa	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
val	val	vælle	val	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
nøgle	tangent	nøgen	tangent	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nøgle	nyckel	nøgen	nyckel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nøgle	key	nøgen	key	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
kopier	kopior	kopie	kopia	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
tillid	förtroende	tillid	förtroende	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
tillid	tillit	tillid	tillit	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tillid	trust	tillid	trust	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tillid	förtroende	tillid	förtroende	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
bundesliga	bundesliga	bundesliga	bundeslig	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
studeret	studerade	studere	studera	V;INDF;SG;PST;V.PTCP	V;IND;PST;V.PTCP;ACT
fylder	fyller	fylde	fylla	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
fortolkning	tolkning	fortolkning	tolkning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
søstre	systrar	søster	syster	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
svampe	svampar	svampe	svamp	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
svampe	svampar	svampe	svamp	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
svampe	svampar	svampe	svamp	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
svampe	svampar	svampe	svamp	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
brændstof	drivmedel	brændstof	drivmedel	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
brændstof	bränsle	brændstof	bränsle	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
brændstof	bränsle	brændstof	bränsle	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
sandheden	sanningen	sandhed	sanning	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
sandheden	sanningens	sandhed	sanning	N;DEF;MASC+FEM;SG	N;GEN;DEF;MASC+FEM;SG
