daha	više	daha	mnogo	ADV	ADV;CMPR
sonra	onda	sonra	onda	ADV	ADV
sonra	poslije	sonra	poslije	ADV	ADV
sonra	kasnije	sonra	kasno	ADV	ADV;CMPR
yer	mjesto	yer	mjesto	N;NOM;SG;3	N;NOM;NEUT;SG
yer	mesto	yer	mesto	N;NOM;SG;3	N;NOM;NEUT;SG
yer	lokacija	yer	lokacija	N;NOM;SG;3	N;NOM;FEM;SG
bağlantılar	veze	bağlantı	veza	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	poveznice	bağlantı	poveznica	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	kontakti	bağlantı	kontakt	N;NOM;PL;3	N;NOM;MASC;PL
center	centar	center	centar	N;NOM;SG;3	N;NOM;MASC;SG
türk	tursko	türk	turski	ADJ	ADJ;NOM;NEUT;SG
türk	turski	türk	turski	ADJ	ADJ;NOM;MASC;SG
diğer	drugi	diğer	drugi	ADJ	ADJ;NOM;MASC;SG
diğer	drugo	diğer	drugi	ADJ	ADJ;NOM;NEUT;SG
diğer	druga	diğer	drugi	ADJ	ADJ;NOM;FEM;SG
yeni	novo	yeni	nov	ADJ	ADJ;NOM;NEUT;SG
yeni	nova	yeni	nov	ADJ	ADJ;NOM;DEF;FEM;SG
yeni	novi	yeni	nov	ADJ	ADJ;NOM;DEF;MASC;SG
her	svaki	her	svaki	DET	DET;NOM;MASC;SG
her	svako	her	svaki	DET	DET;NOM;NEUT;SG
her	svaka	her	svaki	DET	DET;NOM;FEM;SG
aynı	isti	aynı	isti	ADJ	ADJ;NOM;DEF;MASC;SG
aynı	ista	aynı	isti	ADJ	ADJ;NOM;DEF;FEM;SG
ne	sta	ne	sta		
ilgili	zainteresovani	ilgili	zainteresovan	ADJ	ADJ;NOM;DEF;MASC;PL
ilgili	zainteresirani	ilgili	zainteresiran	ADJ	ADJ;NOM;DEF;MASC;PL
ilgili	zainteresiran	ilgili	zainteresiran	ADJ	ADJ;NOM;INDF;MASC;SG
ilgili	zainteresirana	ilgili	zainteresiran	ADJ	ADJ;NOM;DEF;FEM;SG
ilgili	povezano	ilgili	povezan	ADJ	ADJ;NOM;DEF;NEUT;SG;V.PTCP
madde	supstanca	madde	supstanca	N;NOM;SG;3	N;NOM;FEM;SG
madde	tvar	madde	tvar	N;NOM;SG;3	N;NOM;FEM;SG
madde	klauzula	madde	klauzula	N;NOM;SG;3	N;NOM;FEM;SG
madde	materijal	madde	materijal	N;NOM;SG;3	N;NOM;MASC;SG
madde	materija	madde	materija	N;NOM;SG;3	N;NOM;FEM;SG
madde	tvar	madde	tvar	N;NOM;SG;3	N;NOM;FEM;SG
madde	članak	madde	članak	N;NOM;SG;3	N;NOM;MASC;SG
