من	از	مِن	از	ADP	ADP
تصنيف	ارزیابی	تَصنِيف	ارزیابی	N;NOM;INDF;SG	N;SG
عن	درباره	عَن	درباره	ADP	ADP
عن	دربارۀ	عَن	دربارۀ	ADP	ADP
عام	سال	عَام	سال	N;NOM;INDF;SG	N;SG
عام	همگانی	عَام	همگانی	N;NOM;INDF;SG	N;SG
عام	public	عَام	public	N;NOM;INDF;SG	N;SG
عام	ژنرال	عَام	ژنرال	N;NOM;INDF;SG	N;SG
عام	جنرال	عَام	جنرال	N;NOM;INDF;SG	N;SG
اسم	نام	اِسم	نام	N;NOM;INDF;SG	N;SG
مع	با	مَعَ	با	ADP;ACC	ADP
المنطقة	منطقه	مِنطَقَة	منطقه	N;NOM;DEF;SG	N;SG
المنطقة	ناحیه	مِنطَقَة	ناحیه	N;NOM;DEF;SG	N;SG
المنطقة	استان	مِنطَقَة	استان	N;NOM;DEF;SG	N;SG
المنطقة	منطقۀ	مِنطَقَة	منطقۀ	N;NOM;DEF;SG	N;SG
المنطقة	منطقه	مِنطَقَة	منطقه	N;NOM;DEF;SG	N;SG
المنطقة	ناحیه	مِنطَقَة	ناحیه	N;NOM;DEF;SG	N;SG
المنطقة	بخش	مِنطَقَة	بخش	N;NOM;DEF;SG	N;SG
المنطقة	منطقه	مِنطَقَة	منطقه	N;NOM;DEF;SG	N;SG
المنطقة	زون	مِنطَقَة	زون	N;NOM;DEF;SG	N;SG
المنطقة	منطقه	مِنطَقَة	منطقه	N;NOM;DEF;SG	N;SG
المنطقة	مساحت	مِنطَقَة	مساحت	N;NOM;DEF;SG	N;SG
المنطقة	ناحیه	مِنطَقَة	ناحیه	N;NOM;DEF;SG	N;SG
هو	او	هُوَ	او	PRO;NOM;MASC;SG;3	PRO;SG;3
هي	او	هُوَ	او	PRO;NOM;FEM;SG;3	PRO;SG;3
هي	او	هُوَ	او	PRO;NOM;FEM;SG;3	PRO;SG;3
سنة	سال	سَنَة	سال	N;NOM;INDF;SG	N;SG
كان	بود	كَان	بود#باش	V;PFV;MASC;SG;3;ACT	V;SG;3;PST
هذه	این	هٰذَا	این	DET;NOM;FEM;SG	DET
عدد	عدد	عَدَد	عدد	N;NOM;INDF;SG	N;SG
عدد	شمارۀ	عَدَد	شمارۀ	N;NOM;INDF;SG	N;SG
عدد	شماره	عَدَد	شماره	N;NOM;INDF;SG	N;SG
هذا	این	هٰذَا	این	DET;NOM;MASC;SG	DET
بين	میان	بَينَ	میان	ADP;ACC	ADP
بين	بین	بَينَ	بین	ADP;ACC	ADP
تعليق	توضیح	تَعلِيق	توضیح	N;NOM;INDF;SG	N;SG
تعليق	نظر	تَعلِيق	نظر	N;NOM;INDF;SG	N;SG
تاريخ	تاریخ	تَارِيخ	تاریخ	N;NOM;INDF;SG	N;SG
تاريخ	تاریخچه	تَارِيخ	تاریخچه	N;NOM;INDF;SG	N;SG
تاريخ	تاریخ	تَارِيخ	تاریخ	N;NOM;INDF;SG	N;SG
نوع	تیپ	نَوع	None	N;NOM;INDF;SG	N;SG
نوع	نوع	نَوع	نوع	N;NOM;INDF;SG	N;SG
نوع	تایپ	نَوع	تایپ	N;NOM;INDF;SG	N;SG
سطر	خط	سِطر	خط	N;NOM;INDF;SG	N;SG
خط	خط	خَطّ	خط	N;NOM;INDF;SG	N;SG
خط	قلم	خَطّ	قلم	N;NOM;INDF;SG	N;SG
التوقيت	زمانبندی	تَوقِيت	زمانبندی	N;NOM;DEF;SG	N;SG
كانت	بود	كَان	بود#باش	V;PFV;FEM;SG;3;ACT	V;SG;3;PST
التعداد	سرشماری	تَعدَاد	سرشماری	N;NOM;DEF;SG	N;SG
المسؤول	سرپرست	مَسؤُول	سرپرست	N;NOM;DEF;SG	N;SG
المسؤول	مسئول	مَسؤُول	مسئول	N;NOM;DEF;SG	N;SG
المسؤول	مسول	مَسؤُول	مسول	N;NOM;DEF;SG	N;SG
المسؤول	مسئولیت	مَسؤُول	مسئولیت	N;NOM;DEF;SG	N;SG
مدينة	شهری	مَدِينَة	شهر	N;NOM;INDF;SG	N;SG
مدينة	شهر	مَدِينَة	شهر	N;NOM;INDF;SG	N;SG
مدينة	سیتی	مَدِينَة	سیتی	N;NOM;INDF;SG	N;SG
المدينة	قریه	مَدِينَة	قریه	N;NOM;DEF;SG	N;SG
المدينة	شهر	مَدِينَة	شهر	N;NOM;DEF;SG	N;SG
المدينة	شهرک	مَدِينَة	شهرک	N;NOM;DEF;SG	N;SG
المدينة	شهری	مَدِينَة	شهر	N;NOM;DEF;SG	N;SG
المدينة	شهر	مَدِينَة	شهر	N;NOM;DEF;SG	N;SG
المدينة	سیتی	مَدِينَة	سیتی	N;NOM;DEF;SG	N;SG
قبل	پیش	قَبلَ	پیش	ADP;ACC	ADP
كرة	بال	كُرَة	بال	N;NOM;INDF;SG	N;SG
كرة	توپ	كُرَة	None	N;NOM;INDF;SG	N;SG
كل	بخور	كُلّ	خورد#خور	N;NOM;INDF;SG	N;SG
الله	خداوند	اَللّٰه	خداوند	N;NOM;DEF;SG	N;SG
الله	خدا	اَللّٰه	خدا	N;NOM;DEF;SG	N;SG
الله	خدایی	اَللّٰه	خدا	N;NOM;DEF;SG	N;SG
الله	allah	اَللّٰه	allah	N;NOM;DEF;SG	N;SG
غير	تغییر	غَير	تغییر	N;ACC;PSSD;SG	N;SG
حتى	حتی	حَتَّى	حتی	ADV	ADV
مساحة	منطقه	مِسَاحَة	منطقه	N;NOM;INDF;SG	N;SG
مساحة	مساحت	مِسَاحَة	مساحت	N;NOM;INDF;SG	N;SG
مساحة	ناحیه	مِسَاحَة	ناحیه	N;NOM;INDF;SG	N;SG
مساحة	فضای	مِسَاحَة	فضا	N;NOM;INDF;SG	N;SG
مساحة	فضا	مِسَاحَة	فضا	N;NOM;INDF;SG	N;SG
مساحة	فضایی	مِسَاحَة	فضا	N;NOM;INDF;SG	N;SG
مساحة	فاصله	مِسَاحَة	فاصله	N;NOM;INDF;SG	N;SG
محافظة	ولایت	مُحَافَظَة	ولایت	N;NOM;INDF;SG	N;SG
محافظة	استان	مُحَافَظَة	استان	N;NOM;INDF;SG	N;SG
