the	die	the	die	DET;DEF	DET;DEF
and	en	and	en	CONJ	CONJ
was	was	be	is	V;IND;SG;3;PST;FIN	V;PST;FIN
with	met	with	met	ADP	ADP
not	nie	not	nie	PART	PART
talk	praat	talk	praat	V;IMP;FIN	V;PRS
which	watter	which	watter	PRO	PRO
also	ook	also	ook	ADV	ADV
has	het	have	het	V;IND;SG;3;PRS;FIN	V;PRS
were	was	be	is	V;IND;PST;FIN	V;PST;FIN
but	maar	but	maar	CONJ	CONJ
one	een	one	een	NUM	NUM
new	nuwe	new	nuut	ADJ	ADJ;NOM
page	blad	page	blad	N;SG	N;SG
page	bladsy	page	bladsy	N;SG	N;SG
who	wie	who	wie	PRO	PRO
all	alle	all	al	DET	DET
all	al	all	al	DET	DET
their	hul	they	hul	PRO;PL;3	PRO;PL;3
made	gemaak	make	maak	V;PST;V.PTCP	V;PST;V.PTCP
people	mense	people	mens	N;PL	N;PL
may	mag	may	mag	V;FIN	V;PRS
two	twee	two	twee	NUM	NUM
her	haar	she	haar	PRO;ACC;FEM;SG;3	PRO;ACC;SG;3
can	kan	can	kan	V;FIN	V;PRS
would	sou	would	sal	V;FIN	V;PST;FIN
she	sy	she	sy	PRO;NOM;FEM;SG;3	PRO;NOM;SG;3
time	tyd	time	tyd	N;SG	N;SG
time	tydstip	time	tydstip	N;SG	N;SG
team	span	team	span	N;SG	N;SG
american	amerikaanse	american	amerikaans	ADJ	ADJ;NOM
discussion	bespreking	discussion	bespreking	N;SG	N;SG
links	skakels	link	skakel	N;PL	N;PL
only	slegs	only	slegs	ADV	ADV
only	net	only	net	ADV	ADV
some	sommige	some	sommige	DET	DET
see	sien	see	sien	V;IMP;FIN	V;PRS
years	jare	year	jaar	N;PL	N;PL
school	skool	school	skool	N;SG	N;SG
world	wêreld	world	wêreld	N;SG	N;SG
university	universiteit	university	universiteit	N;SG	N;SG
state	staat	state	staat	N;SG	N;SG
state	deelstaat	state	deelstaat	N;SG	N;SG
state	provinsie	state	provinsie	N;SG	N;SG
state	toestand	state	toestand	N;SG	N;SG
state	spasie	state	spasie	N;SG	N;SG
states	provinsies	state	provinsie	N;PL	N;PL
states	deelstate	state	deelstaat	N;PL	N;PL
states	state	state	staat	N;PL	N;PL
national	nasionale	national	nasionaal	ADJ	ADJ;NOM
year	jaar	year	jaar	N;SG	N;SG
city	stad	city	stad	N;SG	N;SG
then	dan	then	dan	ADV	ADV
county	provinsie	county	provinsie	N;SG	N;SG
will	sal	will	sal	V;FIN	V;PRS
film	rolprent	film	rolprent	N;SG	N;SG
three	drie	three	drie	NUM	NUM
use	gebruik	use	gebruik	V;IMP;FIN	V;PRS
war	oorlog	war	oorlog	N;SG	N;SG
while	terwyl	while	terwyl	CONJ	CONJ
later	later	later	laat	ADV	ADV;CMPR
part	gedeelte	part	gedeelte	N;SG	N;SG
players	spelers	player	speler	N;PL	N;PL
following	volg	follow	volg	V;V.MSDR	V;PRS
name	naam	name	naam	N;SG	N;SG
name	gebruikernaam	name	gebruikernaam	N;SG	N;SG
group	groep	group	groep	N;SG	N;SG
history	geskiedenis	history	geskiedenis	N;SG	N;SG
series	reeks	series	reeks	N;SG	N;SG
just	slegs	just	slegs	ADV	ADV
just	net	just	net	ADV	ADV
season	seisoen	season	seisoen	N;SG	N;SG
district	distrik	district	distrik	N;SG	N;SG
now	nou	now	nou	ADV	ADV
now	tans	now	tans	ADV	ADV
comments	opmerkings	comment	opmerking	N;PL	N;PL
edits	wysigings	edit	wysiging	N;PL	N;PL
debate	debat	debate	debat	N;SG	N;SG
title	lêername	title	lêername	N;SG	N;SG
articles	artikels	article	artikel	N;PL	N;PL
same	dieselfde	same	dieselfde	ADJ	ADJ;NOM
could	kon	could	kan	V;FIN	V;PST;FIN
album	album	album	album	N;SG	N;SG
number	nommer	number	nommer	N;SG	N;SG
number	getal	number	getal	N;SG	N;SG
family	familie	family	familie	N;SG	N;SG
family	gesin	family	gesin	N;SG	N;SG
user	gebruiker	user	gebruiker	N;SG	N;SG
based	gebaseer	base	baseer	V;PST;V.PTCP	V;PST;V.PTCP
based	gebasseer	base	basseer	V;PST;V.PTCP	V;PST;V.PTCP
area	omgewing	area	omgewing	N;SG	N;SG
area	area	area	area	N;SG	N;SG
life	lewe	life	lewe	N;SG	N;SG
international	internasionale	international	internasionaal	ADJ	ADJ;NOM
game	spel	game	spel	N;SG	N;SG
club	klub	club	klub	N;SG	N;SG
your	jou	you	jou	PRO;2	PRO;ACC;SG;2
until	totdat	until	totdat	CONJ	CONJ
house	huis	house	huis	N;SG	N;SG
company	maatskappy	company	maatskappy	N;SG	N;SG
