for	για	for	για	ADP	ADP
med	με	med	με	ADP	ADP
var	ήταν	vere	είμαι	V;IND;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;PASS
har	έχει	ha	έχω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
også	επισης	også	επισης	ADV	ADV
også	επίσης	også	επίσης	ADV	ADV
men	αλλά	men	αλλά	CONJ	CONJ
lenker	δεσμά	lank	δεσμά	N;INDF;FEM;PL	N;NOM;NEUT;PL
lenker	αλυσίδες	lank	αλυσίδα	N;INDF;FEM;PL	N;NOM;FEM;PL
lenker	δεσμοί	lank	δεσμός	N;INDF;FEM;PL	N;NOM;MASC;PL
lenker	συνδέσεις	lank	σύνδεση	N;INDF;FEM;PL	N;NOM;FEM;PL
lenker	συνδέσμους	lank	σύνδεσμος	N;INDF;FEM;PL	N;ACC;MASC;PL
under	υπό	under	υπό	ADP	ADP
kan	μπορεί	kunne	μπορώ	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
hadde	είχε	ha	έχω	V;IND;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
født	γεννηθείς	føde	γεννηθής	ADJ;INDF;SG;V.PTCP	ADJ;NOM;MASC;SG
mot	εναντίον	mot	εναντίον	ADP	ADP
der	εκει	der	εκει	ADV	ADV
der	εκεί	der	εκεί	ADV	ADV
mellom	μεταξύ	mellom	μεταξύ	ADP	ADP
mellom	μεταξυ	mellom	μεταξυ	ADP	ADP
blir	μένοντας	bli	μένω	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
mange	πολλά	mange	πολύς	ADJ;PL	ADJ;NOM;NEUT;PL
mange	πολλοι	mange	πολύς	ADJ;PL	ADJ;NOM;MASC;PL
mange	πολλοί	mange	πολύς	ADJ;PL	ADJ;NOM;MASC;PL
mange	πολλές	mange	πολύς	ADJ;PL	ADJ;NOM;FEM;PL
tidligere	πρωην	tidligere	πρωην	N;INDF;FEM;SG	N;NOM;MASC;SG
død	θάνατος	død	θάνατος	N;INDF;MASC;SG	N;NOM;MASC;SG
død	θάνατο	død	θάνατος	N;INDF;MASC;SG	N;ACC;MASC;SG
død	νεκρή	død	νεκρός	N;INDF;MASC;SG	N;NOM;FEM;SG
død	νεκρό	død	νεκρός	N;INDF;MASC;SG	N;ACC;MASC;SG
disse	οἱ	disse	οἱ	N;INDF;NEUT;SG	N
norske	νορβηγικές	norsk	νορβηγικός	ADJ;PL	ADJ;NOM;FEM;PL
tre	τρεις	tre	τρεις	NUM;PL	NUM;NOM;MASC;PL
tre	τρία	tre	τρεις	NUM;PL	NUM;NOM;NEUT;PL
tre	τρια	tre	τρεις	NUM;PL	NUM
skal	πηγαίνοντας	skulle	πηγαίνω	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
store	μεγάλα	stor	μεγάλος	ADJ;PL	ADJ;NOM;NEUT;PL
kjent	γνωστή	kjent	γνωστός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
kjent	γνωστός	kjent	γνωστός	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
kjent	γνωστό	kjent	γνωστός	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
kjent	οικεία	kjent	οικεία	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
kjent	οικείο	kjent	οικείο	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
mai	μάιος	mai	μάιος	N;INDF;MASC;SG	N;NOM;MASC;SG
mai	μάης	mai	μάος	N;INDF;MASC;SG	N;NOM;MASC;SG
bare	μόνον	bare	μόνο	ADV	ADV
bare	μόνο	bare	μόνο	ADV	ADV
bare	μονο	bare	μονο	ADV	ADV
bare	απλα	bare	απλά	ADV	ADV
bare	απλά	bare	απλά	ADV	ADV
bare	απλώς	bare	απλά	ADV	ADV
kommune	ενορία	kommune	ενορία	N;INDF;MASC;SG	N;NOM;FEM;SG
kommune	δήμος	kommune	δήμος	N;INDF;MASC;SG	N;NOM;MASC;SG
gjennom	μεσω	gjennom	μεσω	ADP	ADP
gjennom	μέσω	gjennom	μέσω	ADP	ADP
ord	λογια	ord	λογιο	N;INDF;NEUT;PL	N;NOM;NEUT;PL
ord	λόγια	ord	λόγος	N;INDF;NEUT;PL	N;NOM;NEUT;PL
ord	λέξεις	ord	λέξη	N;INDF;NEUT;PL	N;NOM;FEM;PL
mens	ενώ	mens	ενώ	CONJ	CONJ
usa	ηπα	usa	λπο	N	N
her	εδω	her	εδω	ADV	ADV
her	εδώ	her	εδώ	ADV	ADV
når	πότε	når	πότε	ADV	ADV
byen	πολη	by	πολη	N;DEF;MASC;SG	N;NOM;FEM;SG
byen	πόλη	by	πόλη	N;DEF;MASC;SG	N;NOM;FEM;SG
byen	πολη	by	πολη	N;DEF;MASC;SG	N;NOM;FEM;SG
byen	πόλη	by	πόλη	N;DEF;MASC;SG	N;NOM;FEM;SG
gikk	πήγε	gå	πηγαίνω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
gikk	περπάτησε	gå	περπατώ	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
gikk	περπατούσε	gå	περπατώ	V;IND;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
januar	ιανουάριο	januar	ιανουάριο	N;INDF;MASC;SG	N
januar	ιανουάριος	januar	ιανουάριος	N;INDF;MASC;SG	N;NOM;MASC;SG
august	αύγουστος	august	αύγουστος	N;INDF;MASC;SG	N;NOM;MASC;SG
august	αύγουστο	august	αύγουστος	N;INDF;MASC;SG	N
august	αυγούστου	august	αυγούστος	N;INDF;MASC;SG	N;GEN;MASC;SG
navn	ονομασία	navn	ονομασία	N;INDF;NEUT;SG	N;NOM;FEM;SG
navn	όνομα	navn	όνομα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
navn	ονομα	navn	ονομα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
meter	μετρητές	meter	μετρητός	N;INDF;MASC;PL	N;NOM;MASC;PL
dag	μερα	dag	μερα	N;INDF;MASC;SG	N;NOM;FEM;SG
dag	ημερα	dag	ημερα	N;INDF;MASC;SG	N;NOM;FEM;SG
dag	ημέρα	dag	ημέρα	N;INDF;MASC;SG	N;NOM;FEM;SG
