brilla	brille	brilla	briller	V	V;IND;SG;3;PRS;FIN
poetas	poètes	poeta	poète	N	N;MASC;PL
buratos	trous	burato	trou	N	N;MASC;PL
saberán	connaitre	saber	connaître	V	V;NFIN
saberán	connaître	saber	connaître	V	V;NFIN
saberán	sachez	saber	savoir	V	V;IMP;PL;2;PRS;FIN
saberán	savoir	saber	savoir	V	V;NFIN
senso	sens	senso	sens	N	N;MASC;SG
patada	kick	patada	kick	N	N;MASC;SG
canle	canal	canle	canal	N	N;MASC;SG
canle	chaîne	canle	chaîne	N	N;FEM;SG
canle	chenal	canle	chenal	N	N;MASC;SG
canle	channel	canle	channel	N	N;MASC;SG
canle	canal	canle	canal	N	N;MASC;SG
gases	gaz	gas	gaz	N	N;MASC;SG
gases	gaz	gas	gaz	N	N;MASC;SG
comparación	comparatif	comparación	comparatif	N	N;MASC;SG
comparación	comparaison	comparación	comparaison	N	N;FEM;SG
comparación	comparaisons	comparación	comparaison	N	N;FEM;PL
vantaxe	avantage	vantaxe	avantage	N	N;MASC;SG
morrera	morte	morrera	mourir	V	V;FEM;SG;PST;V.PTCP
morrera	décédé	morrera	décéder	V	V;MASC;SG;PST;V.PTCP
morrera	mort	morrera	mourir	V	V;MASC;SG;PST;V.PTCP
morrera	avais	morrera	avoir	V	V;IND;SG;1;IPFV;FIN
reclamar	réclamer	reclamar	réclamer	V	V;NFIN
reclamar	revendiquer	reclamar	revendiquer	V	V;NFIN
cortinas	rideau	cortina	rideau	N	N;MASC;SG
cortinas	rideaux	cortina	rideau	N	N;MASC;PL
vasos	navires	vaso	navire	N	N;MASC;PL
vasos	vaisseaux	vaso	vaisseau	N	N;MASC;PL
vasos	lunettes	vaso	lunette	N	N;FEM;PL
vasos	verres	vaso	verre	N	N;MASC;PL
detén	arrêter	detén	arrêter	V	V;NFIN
detén	arrête	detén	arrêter	V	V;IND;SG;3;PRS;FIN
detén	arrêtez	detén	arrêter	V	V;IMP;PL;2;PRS;FIN
faltaba	etait	faltar	etever	V	V;IND;SG;3;IPFV;FIN
faltaba	manquant	faltar	manquer	V	V;PRS;V.PTCP
faltaba	disparu	faltar	disparaître	V	V;MASC;SG;PST;V.PTCP
chegaría	ferait	chegar	faire	V	V;COND;SG;3;PRS;FIN
ventre	ventre	ventrar	ventre	N	N;MASC;SG
ventre	estomac	ventrar	estomac	N	N;MASC;SG
ventre	ventre	ventrar	ventre	N	N;MASC;SG
ventre	utérus	ventrar	utérus	N	N;MASC;SG
esixe	exigée	esixir	exiger	V	V;FEM;SG;PST;V.PTCP
esixe	exigé	esixir	exiger	V	V;MASC;SG;PST;V.PTCP
esixe	requise	esixir	requise	V	V;FEM;SG;PST;V.PTCP
esixe	requis	esixir	requérir	V	V;MASC;SG;PST;V.PTCP
esixe	requiert	esixir	requérir	V	V;IND;SG;3;PRS;FIN
esixe	exige	esixir	exiger	V	V;IND;SG;3;PRS;FIN
esixe	nécessite	esixir	nécessiter	V	V;IND;SG;3;PRS;FIN
febles	faible	feble	faible	ADJ	ADJ;MASC;SG
febles	faibles	feble	faible	ADJ	ADJ;MASC;PL
conduta	comportement	conduta	comportement	N	N;MASC;SG
corren	courir	currir	courir	V	V;NFIN
corren	exécuter	currir	exécuter	V	V;NFIN
gañaches	victoire	gañaches	victoire	N	N;FEM;SG
bóla	boule	bóla	boule	N	N;FEM;SG
bóla	balle	bóla	balle	N	N;FEM;SG
bóla	ballon	bóla	ballon	N	N;MASC;SG
alerta	alert	alertar	alert	N	N;MASC;SG
alerta	alerte	alertar	alerte	N	N;FEM;SG
alerta	signalement	alertar	signalement	N	N;MASC;SG
puxeches	mis	puxeche	mettre	V	V;MASC;SG;PST;V.PTCP
puxeches	mettre	puxeche	mettre	V	V;NFIN
debate	débat	debate	débat	N	N;MASC;SG
amos	masters	aro	master	N	N;MASC;PL
amos	capitaines	aro	capitaine	N	N;MASC;PL
amos	maîtres	aro	maître	N	N;MASC;PL
amos	propriétaires	aro	propriétaire	N	N;MASC;PL
lexión	légions	lexión	légion	N	N;FEM;PL
lexión	légion	lexión	légion	N	N;FEM;SG
arrestaron	arrêtés	arrestar	arrêter	V	V;MASC;PL;PST;V.PTCP
arrestaron	arrêté	arrestar	arrêter	V	V;MASC;SG;PST;V.PTCP
arrestaron	arrêtée	arrestar	arrêter	V	V;FEM;SG;PST;V.PTCP
parados	standing	parado	standing	N	N;MASC;SG
parados	chômeur	parado	chômeur	N	N;MASC;SG
parados	chômeurs	parado	chômeur	N	N;MASC;PL
xornada	journée	xornada	journée	N	N;FEM;SG
xornada	jour	xornada	jour	N	N;MASC;SG
xornada	journee	xornada	journee	N	N;FEM;SG
loitei	combattu	loitei	combattre	V	V;MASC;SG;PST;V.PTCP
tiros	coup	tiro	coup	N	N;MASC;SG
tiros	shot	tiro	shot	N	N;MASC;SG
tiros	tir	tiro	tir	N	N;MASC;SG
tiros	coups	tiro	coup	N	N;MASC;PL
axudala	aide	axudala	aide	N	N;FEM;SG
mariñeiro	marin	mariñeiro	marin	N	N;MASC;SG
mariñeiro	matelot	mariñeiro	matelot	N	N;MASC;SG
durmo	dormir	durmo	dormir	V	V;NFIN
trouxeron	apporté	trouxer	apporter	V	V;MASC;SG;PST;V.PTCP
trouxeron	amené	trouxer	amener	V	V;MASC;SG;PST;V.PTCP
trouxeron	amenés	trouxer	amener	V	V;MASC;PL;PST;V.PTCP
honorable	honorable	honorable	honorable	ADJ	ADJ;MASC;SG
honorable	honorables	honorable	honorable	ADJ	ADJ;MASC;PL
vagóns	voitures	vagón	voiture	N	N;FEM;PL
vagóns	train	vagón	train	N	N;MASC;SG
coroación	sacre	coroación	sacre	N	N;MASC;SG
coroación	couronnement	coroación	couronnement	N	N;MASC;SG
quedes	reste	quedes	rester	V	V;IND;SG;3;PRS;FIN
quedes	rester	quedes	rester	V	V;NFIN
douche	donner	douche	donner	V	V;NFIN
douche	donne	douche	donner	V	V;IND;SG;3;PRS;FIN
douche	donnez	douche	donner	V	V;IMP;PL;2;PRS;FIN
maletas	pack	maleta	pack	N	N;MASC;SG
maletas	cas	maleta	cas	N	N;MASC;SG
atreves	oser	atrever	oser	V	V;NFIN
atreves	ose	atrever	oser	V	V;IND;SG;3;PRS;FIN
atreves	osez	atrever	osez	V	V;IMP;PL;2;PRS;FIN
choro	cry	choro	cry	N	N;MASC;SG
choro	pleurs	choro	pleur	N	N;MASC;PL
impórtache	esprit	impórtache	esprit	N	N;MASC;SG
impórtache	mind	impórtache	mind	N	N;MASC;SG
cortes	écuries	corte	écurie	N	N;FEM;PL
católico	catholique	católico	catholique	ADJ	ADJ;MASC;SG
católico	catholiques	católico	catholique	ADJ	ADJ;MASC;PL
sacerdote	priest	sacerdote	priest	N	N;MASC;SG
sacerdote	prêtre	sacerdote	prêtre	N	N;MASC;SG
sacerdote	curé	sacerdote	curé	N	N;MASC;SG
sacerdote	prédicateur	sacerdote	prédicateur	N	N;MASC;SG
sacerdote	pasteur	sacerdote	pasteur	N	N;MASC;SG
ficas	reste	fica	rester	V	V;IND;SG;3;PRS;FIN
ficas	rester	fica	rester	V	V;NFIN
deixarnos	congés	deixarno	congé	N	N;MASC;PL
deixarnos	congé	deixarno	congé	N	N;MASC;SG
brancas	blanche	branco	blanc	ADJ	ADJ;FEM;SG
brancas	blancs	branco	blanc	ADJ	ADJ;MASC;PL
brancas	blanches	branco	blanc	ADJ	ADJ;FEM;PL
erguédevos	meilleures	erguédevo	meilleur	ADJ	ADJ;FEM;PL
erguédevos	meilleure	erguédevo	meilleur	ADJ	ADJ;FEM;SG
erguédevos	meilleurs	erguédevo	meilleur	ADJ	ADJ;MASC;PL
erguédevos	meilleur	erguédevo	meilleur	ADJ	ADJ;MASC;SG
irmandade	confrérie	irmandade	confrérie	N	N;FEM;SG
irmandade	fraternité	irmandade	fraternité	N	N;FEM;SG
irmandade	sororité	irmandade	sororité	N	N;FEM;SG
compaña	compagnie	compaña	compagnie	N	N;FEM;SG
compaña	société	compaña	société	N	N;FEM;SG
cabana	cabine	cabanar	cabine	N	N;FEM;SG
cabana	cabane	cabanar	cabane	N	N;FEM;SG
berres	shout	berre	shout	N	N;MASC;SG
berres	don	berre	don	N	N;MASC;SG
matado	tué	matado	tuer	V	V;MASC;SG;PST;V.PTCP
matado	tuée	matado	tuer	V	V;FEM;SG;PST;V.PTCP
matado	tués	matado	tuer	V	V;MASC;PL;PST;V.PTCP
victoria	victoire	victoria	victoire	N	N;FEM;SG
victoria	victoires	victoria	victoire	N	N;FEM;PL
crees	pense	cree	penser	V	V;IND;SG;3;PRS;FIN
crees	pensez	cree	penser	V	V;IMP;PL;2;PRS;FIN
crees	penser	cree	penser	V	V;NFIN
crees	réfléchir	cree	réfléchir	V	V;NFIN
luvas	gants	luva	gant	N	N;MASC;PL
decreto	décret	decreto	décret	N	N;MASC;SG
acusacións	accusations	acusación	accusation	N	N;FEM;PL
acusacións	charges	acusación	charge	N	N;FEM;PL
pasalo	fun	pasalo	fun	N	N;MASC;SG
pasalo	plaisir	pasalo	plaisir	N	N;MASC;SG
vindo	venir	vir	venir	V	V;NFIN
vindo	viens	vir	venir	V	V;IND;SG;1;PRS;FIN
vindo	venez	vir	venir	V	V;IMP;PL;2;PRS;FIN
vindo	come	vir	come	V	V
vindo	venir	vir	venir	V	V;NFIN
cervo	cerf	cervo	cerf	N	N;MASC;SG
cervo	cerfs	cervo	cerf	N	N;MASC;PL
cervo	daim	cervo	daim	N	N;MASC;SG
cervo	biche	cervo	biche	N	N;FEM;SG
cervo	chevreuil	cervo	chevreuil	N	N;MASC;SG
cervo	cerf	cervo	cerf	N	N;MASC;SG
matarme	tuez	matarme	tuer	V	V;IMP;PL;2;PRS;FIN
matarme	tuer	matarme	tuer	V	V;NFIN
matarme	tue	matarme	tuer	V	V;IND;SG;3;PRS;FIN
atacaron	attaqués	atacar	attaquer	V	V;MASC;PL;PST;V.PTCP
atacaron	agressé	atacar	agresser	V	V;MASC;SG;PST;V.PTCP
atacaron	agressée	atacar	agresser	V	V;FEM;SG;PST;V.PTCP
atacaron	attaqué	atacar	attaquer	V	V;MASC;SG;PST;V.PTCP
atacaron	attaquée	atacar	attaquer	V	V;FEM;SG;PST;V.PTCP
quixeches	recherchés	quixeche	rechercher	V	V;MASC;PL;PST;V.PTCP
quixeches	recherché	quixeche	rechercher	V	V;MASC;SG;PST;V.PTCP
quixeches	recherchée	quixeche	rechercher	V	V;FEM;SG;PST;V.PTCP
quixeches	voulu	quixeche	vouloir	V	V;MASC;SG;PST;V.PTCP
