από	از	από	از	ADP	ADP
με	با	με	با	ADP	ADP
για	برای	για	برای	ADP	ADP
κατηγορία	مقوله	κατηγορία	مقوله	N;NOM;FEM;SG	N;SG
κατηγορία	دسته	κατηγορία	دسته	N;NOM;FEM;SG	N;SG
ένα	یکی	ένας	یک	NUM;NOM;NEUT;SG	NUM
ένα	یک	ένας	یک	NUM;NOM;NEUT;SG	NUM
ότι	که	ότι	که	CONJ	CONJ
μια	یکی	ένας	یک	NUM;NOM;FEM;SG	NUM
μια	یک	ένας	یک	NUM;NOM;FEM;SG	NUM
έχει	دارد	έχω	داشت#دار	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
αλλά	ولی	αλλά	ولی	CONJ	CONJ
αλλά	اما	αλλά	اما	CONJ	CONJ
μετά	پس	μετά	پس	ADV	ADV
όπως	مثل	όπως	مثل	ADV	ADV
όπως	مانند	όπως	مانند	ADV	ADV
δύο	دو	δύο	دو	NUM;NOM;MASC;PL	NUM
όπου	کجا	όπου	کجا	ADV	ADV
όταν	وقتی	όταν	وقتی	CONJ	CONJ
όταν	چون	όταν	چون	CONJ	CONJ
μέχρι	تا	μέχρι	تا	ADP	ADP
μία	یکی	ένας	یک	NUM;NOM;FEM;SG	NUM
μία	یک	ένας	یک	NUM;NOM;FEM;SG	NUM
ομάδα	جوخه	ομάδα	جوخه	N;ACC;FEM;SG	N;SG
ομάδα	گروهبندی	ομάδα	گروهبندی	N;ACC;FEM;SG	N;SG
ομάδα	گروپ	ομάδα	گروپ	N;ACC;FEM;SG	N;SG
ομάδα	گروه	ομάδα	گروه	N;ACC;FEM;SG	N;SG
ομάδα	تیم	ομάδα	تیم	N;ACC;FEM;SG	N;SG
ομάδα	تیمی	ομάδα	تیم	N;ACC;FEM;SG	N;SG
θέση	موضع	θέση	موضع	N;ACC;FEM;SG	N;SG
θέση	موقعیت	θέση	موقعیت	N;ACC;FEM;SG	N;SG
μεταξύ	میان	μεταξύ	میان	ADP	ADP
μεταξύ	بین	μεταξύ	بین	ADP	ADP
χρόνια	سالهای	χρόνος	سال	N;NOM;NEUT;PL	N;PL
χρόνια	سالها	χρόνος	سال	N;NOM;NEUT;PL	N;PL
πιο	دیگر	πιο	دیگر	ADV	ADV
πόλη	قریه	πόλη	قریه	N;NOM;FEM;SG	N;SG
πόλη	شهر	πόλη	شهر	N;NOM;FEM;SG	N;SG
πόλη	شهرک	πόλη	شهرک	N;NOM;FEM;SG	N;SG
πόλη	شهری	πόλη	شهر	N;NOM;FEM;SG	N;SG
πόλη	شهر	πόλη	شهر	N;NOM;FEM;SG	N;SG
πόλη	سیتی	πόλη	سیتی	N;NOM;FEM;SG	N;SG
μόνο	تنها	μόνο	تنها	ADV	ADV
πολύ	خیلی	πολύ	خیلی	ADV	ADV
πολύ	بسیار	πολύ	بسیار	ADV	ADV
περιοχή	منطقه	περιοχή	منطقه	N;NOM;FEM;SG	N;SG
περιοχή	ناحیه	περιοχή	ناحیه	N;NOM;FEM;SG	N;SG
περιοχή	استان	περιοχή	استان	N;NOM;FEM;SG	N;SG
περιοχή	منطقۀ	περιοχή	منطقۀ	N;NOM;FEM;SG	N;SG
περιοχή	منطقه	περιοχή	منطقه	N;NOM;FEM;SG	N;SG
περιοχή	مساحت	περιοχή	مساحت	N;NOM;FEM;SG	N;SG
περιοχή	ناحیه	περιοχή	ناحیه	N;NOM;FEM;SG	N;SG
αιώνα	قرن	αιώνας	قرن	N;ACC;MASC;SG	N;SG
αιώνα	قرنه	αιώνας	قرنه	N;ACC;MASC;SG	N;SG
αιώνα	سده	αιώνας	سده	N;ACC;MASC;SG	N;SG
περίοδο	دوره	περίοδος	دوره	N;ACC;FEM;SG	N;SG
περίοδο	پریود	περίοδος	پریود	N;ACC;FEM;SG	N;SG
περίοδο	دورۀ	περίοδος	دورۀ	N;ACC;FEM;SG	N;SG
τότε	پس	τότε	پس	ADV	ADV
όνομα	نام	όνομα	نام	N;NOM;NEUT;SG	N;SG
μέρος	جزء	μέρος	جزء	N;NOM;NEUT;SG	N;SG
μέρος	قسمت	μέρος	قسمت	N;NOM;NEUT;SG	N;SG
μέρος	پارت	μέρος	پارت	N;NOM;NEUT;SG	N;SG
μέρος	محل	μέρος	محل	N;NOM;NEUT;SG	N;SG
μέρος	مکانی	μέρος	مکان	N;NOM;NEUT;SG	N;SG
μέρος	مکان	μέρος	مکان	N;NOM;NEUT;SG	N;SG
μέρος	جای	μέρος	جا	N;NOM;NEUT;SG	N;SG
μέρος	جایی	μέρος	جا	N;NOM;NEUT;SG	N;SG
σήμερα	امروز	σήμερα	امروز	ADV	ADV
μαζί	باهم	μαζί	باهم	ADV	ADV
διάρκεια	دوام	διάρκεια	دوام	N;ACC;FEM;SG	N;SG
ιστορία	داستان	ιστορία	داستان	N;NOM;FEM;SG	N;SG
ιστορία	داستانی	ιστορία	داستان	N;NOM;FEM;SG	N;SG
ιστορία	قصه	ιστορία	None	N;NOM;FEM;SG	N;SG
ιστορία	تاریخچه	ιστορία	تاریخچه	N;NOM;FEM;SG	N;SG
ιστορία	تاریخ	ιστορία	تاریخ	N;NOM;FEM;SG	N;SG
πρωτάθλημα	لیگ	πρωτάθλημα	لیگ	N;NOM;NEUT;SG	N;SG
πρωτάθλημα	قهرمانی	πρωτάθλημα	قهرمانی	N;NOM;NEUT;SG	N;SG
αργότερα	بعدها	αργά	بعد	ADV;CMPR	ADV
αργότερα	بعداً	αργά	بعداً	ADV;CMPR	ADV
νέα	نو	νέος	نو	ADJ;NOM;NEUT;PL	ADJ
νέα	جدید	νέος	جدید	ADJ;NOM;NEUT;PL	ADJ
περίπου	حدوداً	περίπου	حدوداً	ADV	ADV
αυτά	اینها	αυτός	این	PRO;NOM;NEUT;PL;3	PRO;PL
χωρίς	بدون	χωρίς	بدون	ADP	ADP
εθνική	ملی	εθνικός	ملی	ADJ;NOM;FEM;SG	ADJ
συζήτηση	گفتگو	συζήτηση	گفتگو	N;ACC;FEM;SG	N;SG
συζήτηση	مکالمه	συζήτηση	مکالمه	N;ACC;FEM;SG	N;SG
συζήτηση	گفتگوی	συζήτηση	گفتگو	N;ACC;FEM;SG	N;SG
συζήτηση	بحثش	συζήτηση	بحثش	N;ACC;FEM;SG	N;SG
συζήτηση	بحث	συζήτηση	بحث	N;ACC;FEM;SG	N;SG
συζήτηση	مناظره	συζήτηση	مناظره	N;ACC;FEM;SG	N;SG
αρχείο	بایگانی	αρχείο	بایگانی	N;NOM;NEUT;SG	N;SG
αρχείο	پرونده	αρχείο	پرونده	N;NOM;NEUT;SG	N;SG
φορά	زمان	φορά	زمان	N;ACC;FEM;SG	N;SG
φορά	تایم	φορά	تایم	N;ACC;FEM;SG	N;SG
ομάδες	گروهها	ομάδα	گروه	N;NOM;FEM;PL	N;PL
ομάδες	تیمهای	ομάδα	تیم	N;NOM;FEM;PL	N;PL
έργο	پروژه	έργο	پروژه	N;NOM;NEUT;SG	N;SG
έργο	کار	έργο	کار	N;NOM;NEUT;SG	N;SG
έργο	کاری	έργο	کار	N;NOM;NEUT;SG	N;SG
κυρίως	اساسا	κυρίως	اساساً	ADV	ADV
κυρίως	عمدتاً	κυρίως	عمدتا	ADV	ADV
κυρίως	غالبا	κυρίως	غالبا	ADV	ADV
μεγάλη	بزرگ	μεγάλος	بزرگ	ADJ;NOM;FEM;SG	ADJ
υπό	تحت	υπό	تحت	ADP	ADP
υπό	زیر	υπό	زیر	ADP	ADP
έως	تا	ώς	تا	ADP	ADP
ταινία	فیلمی	ταινία	فیلم	N;NOM;FEM;SG	N;SG
ταινία	فیلم	ταινία	فیلم	N;NOM;FEM;SG	N;SG
ταινία	نوار	ταινία	None	N;NOM;FEM;SG	N;SG
ταινία	فیلم	ταινία	فیلم	N;NOM;FEM;SG	N;SG
άλλα	دیگران	άλλος	دیگری	PRO;NOM;NEUT;PL;3	PRO
τμήμα	وزارت	τμήμα	وزارت	N;NOM;NEUT;SG	N;SG
τμήμα	اداره	τμήμα	اداره	N;NOM;NEUT;SG	N;SG
τμήμα	بخش	τμήμα	بخش	N;NOM;NEUT;SG	N;SG
τμήμα	بخش	τμήμα	بخش	N;NOM;NEUT;SG	N;SG
σαν	مثل	σαν	مثل	ADV	ADV
σαν	مانند	σαν	مانند	ADV	ADV
εκεί	آنجا	εκεί	آنجا	ADV	ADV;ESS
τέλος	سرانجام	τέλος	سرانجام	ADV	ADV
τέλος	بالاخره	τέλος	بالاخره	ADV	ADV
τέλος	بلاخره	τέλος	بلاخره	ADV	ADV
σειρά	سری	σειρά	سری	N;ACC;FEM;SG	N;SG
σειρά	نظم	σειρά	نظم	N;ACC;FEM;SG	N;SG
σειρά	فرمان	σειρά	فرمان	N;ACC;FEM;SG	N;SG
σειρά	دستور	σειρά	دستور	N;ACC;FEM;SG	N;SG
σειρά	سفارش	σειρά	None	N;ACC;FEM;SG	N;SG
σειρά	ترتیب	σειρά	ترتیب	N;ACC;FEM;SG	N;SG
σειρά	سطر	σειρά	سطر	N;ACC;FEM;SG	N;SG
στοιχεία	عناصری	στοιχείο	عناصر	N;NOM;NEUT;PL	N;PL
στοιχεία	عناصر	στοιχείο	عنصر	N;NOM;NEUT;PL	N;PL
συνέχεια	پیوستگی	συνέχεια	None	N;ACC;FEM;SG	N;SG
συνέχεια	ادامه	συνέχεια	ادامه	N;ACC;FEM;SG	N;SG
