amb	مع	amb	مَعَ	ADP	ADP;ACC
bar	الحانة	bar	حَانَة	N;MASC;SG	N;NOM;DEF;SG
bar	حانة	bar	حَانَة	N;MASC;SG	N;NOM;INDF;SG
bar	شريط	bar	شَرِيط	N;MASC;SG	N;NOM;INDF;SG
bar	البار	bar	بَار	N;MASC;SG	N;NOM;DEF;SG
text	نص	text	نَصّ	N;MASC;SG	N;NOM;INDF;SG
text	النص	text	نَصّ	N;MASC;SG	N;NOM;DEF;SG
també	ايضا	també	أَيضًا	ADV	ADV
entre	بين	entre	بَينَ	ADP	ADP;ACC
anys	السنين	any	سَنَة	N;MASC;PL	N;NOM;DEF;PL
anys	اعوام	any	عَام	N;MASC;PL	N;NOM;INDF;PL
anys	سنين	any	سَنَة	N;MASC;PL	N;NOM;INDF;PL
anys	السنوات	any	سَنَة	N;MASC;PL	N;NOM;DEF;PL
anys	سنوات	any	سَنَة	N;MASC;PL	N;NOM;INDF;PL
any	عام	any	عَام	N;MASC;SG	N;NOM;INDF;SG
any	العام	any	عَام	N;MASC;SG	N;NOM;DEF;SG
any	السنه	any	سَنه	N;MASC;SG	N;NOM;DEF;SG
any	سنة	any	سَنَة	N;MASC;SG	N;NOM;INDF;SG
any	سنه	any	سنه	N;MASC;SG	N;NOM;INDF;SG
any	السنة	any	سَنَة	N;MASC;SG	N;NOM;DEF;SG
aquest	هذا	aquest	هٰذَا	DET;MASC;SG	DET;NOM;MASC;SG
aquest	هذه	aquest	هٰذَا	DET;MASC;SG	DET;NOM;FEM;SG
fins	حتى	fins	حَتَّى	ADV	ADV
aquesta	هذا	aquest	هٰذَا	DET;FEM;SG	DET;NOM;MASC;SG
aquesta	هذه	aquest	هٰذَا	DET;FEM;SG	DET;NOM;FEM;SG
estats	دول	estat	دَولَة	N;MASC;PL	N;NOM;INDF;PL
estats	الولايات	estat	وِلَايَة	N;MASC;PL	N;NOM;DEF;PL
estats	الدول	estat	دَولَة	N;MASC;PL	N;NOM;DEF;PL
persones	اشخاص	persona	شَخص	N;FEM;PL	N;NOM;INDF;PL
persones	اناس	persona	اناس	N;FEM;PL	N;NOM;INDF;PL
persones	الاشخاص	persona	شَخص	N;FEM;PL	N;NOM;DEF;PL
persones	الناس	persona	إِنسَان	N;FEM;PL	N;NOM;DEF;PL
gran	عظيم	gran	عظيم	ADJ;SG	ADJ;NOM;INDF;MASC;SG
gran	عظيمة	gran	عَظِيمَة	ADJ;SG	ADJ;NOM;INDF;FEM;SG
gran	العظيم	gran	عَظِيم	ADJ;SG	ADJ;NOM;DEF;MASC;SG
durant	اثناء	durant	أَثنَاءَ	ADP	ADP;ACC
durant	خلال	durant	خِلَالَ	ADP	ADP;ACC
enllaços	الوصلات	enllaç	وُصلَة	N;MASC;PL	N;NOM;DEF;PL
enllaços	الصلات	enllaç	صَلَة	N;MASC;PL	N;NOM;DEF;PL
enllaços	روابط	enllaç	روابط	N;MASC;PL	N;NOM;INDF;PL
enllaços	الروابط	enllaç	رَابِطَة	N;MASC;PL	N;NOM;DEF;PL
enllaços	وصلات	enllaç	وُصلَة	N;MASC;PL	N;NOM;INDF;PL
dos	اثنين	dos	اِثنَان	NUM;MASC;PL	NUM;NOM;INDF;MASC
dos	اثنتان	dos	اِثنَان	NUM;MASC;PL	NUM;NOM;INDF;FEM
família	عائلة	família	عَائِلَة	N;FEM;SG	N;NOM;INDF;SG
família	الاسرة	família	أُسرَة	N;FEM;SG	N;NOM;DEF;SG
família	اسرة	família	أُسرَة	N;FEM;SG	N;NOM;INDF;SG
família	العائلة	família	عَائِلَة	N;FEM;SG	N;NOM;DEF;SG
ciutat	مدينة	ciutat	مَدِينَة	N;FEM;SG	N;NOM;INDF;SG
