irmandade	veljeskunta	irmandade	veljes#kunta	N	N;NOM;SG
compaña	yritys	compaña	yritys	N	N;NOM;SG
compaña	yhtiö	compaña	yhtiö	N	N;NOM;SG
compaña	seura	compaña	seura	N	N;NOM;SG
compaña	komppania	compaña	komppani	N	N;NOM;SG
cabana	mökki	cabanar	mökki	N	N;NOM;SG
cabana	mökin	cabanar	möntä	N	N;GEN;SG
dezasete	seitsemäntoista	dezasete	seitsemän#toista	NUM	NUM;NOM;SG
matado	tapettu	matado	tapata	V	V;NOM;SG;V.PTCP;PASS
matado	tappanut	matado	tappaa	V	V;NOM;SG;V.PTCP;ACT
matado	tappoi	matado	tappaa	V	V;IND;SG;3;PST;FIN;ACT
victoria	voittoa	victoria	voitto	N	N;PRT;SG
victoria	voitto	victoria	voitto	N	N;NOM;SG
crees	ajattele	cree	ajatella	V	V;IMP;SG;2;FIN;ACT
crees	mieti	cree	mieti	V	V;IMP;SG;2;FIN;ACT
luvas	hanskat	luva	hanska	N	N;NOM;PL
decreto	asetus	decreto	asetus	N	N;NOM;SG
acusacións	syytökset	acusación	syytös	N	N;NOM;PL
acusacións	syytöksiä	acusación	syytös	N	N;PRT;PL
acusacións	syytteet	acusación	syyte	N	N;NOM;PL
acusacións	maksut	acusación	maksu	N	N;NOM;PL
acusacións	kulut	acusación	kulu	N	N;NOM;PL
vindo	tulee	vir	tulla	V	V;IND;SG;3;PRS;FIN;ACT
vindo	tullaan	vir	tulla	V	V;IND;PRS;FIN;PASS
bagdad	bagdadin	bagdar	bagdad	N	N;GEN;SG
bagdad	bagdadissa	bagdar	bagdad	N	N;IN+ESS;SG
cervo	peura	cervo	peura	N	N;NOM;SG
cervo	hirvi	cervo	hirvi	N	N;NOM;SG
cervo	peuran	cervo	peura	N	N;GEN;SG
cervo	hirvi	cervo	hirvi	N	N;NOM;SG
matarme	tappaa	matarme	tappaa	V	V;IND;SG;PRS;FIN;ACT
matarme	tappakaa	matarme	tappakaa	V	V;IMP;SG;2;FIN;ACT
atacaron	hyökkäsi	atacar	hyökätä	V	V;IND;SG;3;PST;FIN;ACT
atacaron	hyökätty	atacar	hyökätä	V	V;NOM;SG;V.PTCP;PASS
quixeches	etsintäkuulutettu	quixeche	etsintä#kuuluttaa	V	V;NOM;SG;V.PTCP;PASS
quixeches	haluttu	quixeche	haluta	V	V;NOM;SG;V.PTCP;PASS
quixeches	halusi	quixeche	haluta	V	V;IND;SG;3;PST;FIN;ACT
xenerosa	antelias	xeneroso	antelias	ADJ	ADJ;NOM;SG
culto	kultti	culto	kultti	N	N;NOM;SG
irlandesa	irlantilainen	irlandesa	irlantilainen	ADJ	ADJ;NOM;SG
déronme	antanut	déronme	antaa	V	V;NOM;SG;V.PTCP;ACT
déronme	antoi	déronme	antaa	V	V;IND;SG;3;PST;FIN;ACT
lagoa	laguuni	lagoa	lagu	N	N;NOM;SG
meniña	likka	meniña	likka	N	N;NOM;SG
meniña	tyttö	meniña	tyttö	N	N;NOM;SG
