البني	brown	بَنِّيّ	brown	N;NOM;DEF;SG	N;MASC+FEM;SG
مدفع	kanon	مُدفَع	kanon	N;NOM;INDF;SG	N;NEUT;SG
شحن	cargo	شَحن	cargo	N;NOM;INDF;SG	N;MASC+FEM;SG
شحن	vracht	شَحن	vracht	N;NOM;INDF;SG	N;MASC+FEM;SG
شحن	lading	شَحن	lading	N;NOM;INDF;SG	N;MASC+FEM;SG
شحن	verzending	شَحن	verzending	N;NOM;INDF;SG	N;MASC+FEM;SG
شحن	scheepvaart	شَحن	scheepvaart	N;NOM;INDF;SG	N;MASC+FEM;SG
الرمل	zand	رَمل	zand	N;NOM;DEF;SG	N;NEUT;SG
مانع	geest	مَانِع	geest	N;NOM;INDF;SG	N;MASC+FEM;SG
القاعة	hal	قَاعَة	hal	N;NOM;DEF;SG	N;MASC+FEM;SG
القاعة	zaal	قَاعَة	zaal	N;NOM;DEF;SG	N;MASC+FEM;SG
القاعة	hall	قَاعَة	hall	N;NOM;DEF;SG	N;MASC+FEM;SG
القنابل	bommen	قُنبُلَة	bom	N;NOM;DEF;PL	N;PL
وسائط	modi	وَسِيطَة	modi	N;NOM;INDF;PL	N;PL
جراحية	chirurgische	جِرَاحِيّ	chirurgisch	ADJ;NOM;INDF;FEM;SG	ADJ
جراحية	chirurgisch	جِرَاحِيّ	chirurgisch	ADJ;NOM;INDF;FEM;SG	ADJ
استعمار	kolonisatie	اِستِعمَار	kolonisatie	N;NOM;INDF;SG	N;MASC+FEM;SG
الملاعب	stadions	مَلعَب	stadion	N;NOM;DEF;PL	N;PL
ينمو	groeiende	نَمَا	groeien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;V.PTCP
ينمو	toenemend	نَمَا	toenemen	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;V.PTCP
ينمو	groeien	نَمَا	groeien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
ينمو	groeiend	نَمَا	groeien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;V.PTCP
ينمو	groeien	نَمَا	groeien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
ينمو	groeit	نَمَا	groeien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;SG;PRS;FIN
النواحي	aspecten	نَاحِيَة	aspect	N;NOM;DEF;PL	N;PL
يسجل	opnemen	سَجَّل	opnemen	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
الفيل	olifant	فِيل	olifant	N;NOM;DEF;SG	N;MASC+FEM;SG
