matado	zabil	matado	zabít	V	V;MASC;SG;POS;PST;V.PTCP;ACT
victoria	vítězství	victoria	vítězství	N	N;NOM;NEUT;SG;POS
luvas	rukavice	luva	rukavice	N	N;NOM;FEM;PL;POS
decreto	vyhláška	decreto	vyhláška	N	N;NOM;FEM;SG;POS
acusacións	obvinění	acusación	obvinění	N	N;NOM;NEUT;SG;POS
acusacións	obviňování	acusación	obviňování	N	N;NOM;NEUT;SG;POS
acusacións	nálože	acusación	nálož	N	N;NOM;FEM;PL;POS
acusacións	obvinění	acusación	obvinění	N	N;NOM;NEUT;SG;POS
acusacións	poplatky	acusación	poplatek	N	N;INAN;NOM;MASC;PL;POS
pasalo	zábava	pasalo	zábava	N	N;NOM;FEM;SG;POS
pasalo	legrace	pasalo	legrace	N	N;NOM;FEM;SG;POS
pasalo	sranda	pasalo	sranda	N	N;NOM;FEM;SG;POS
vindo	přichází	vir	přicházet	V	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
vindo	pojď	vir	pojď	V	V;IMP;SG;2;POS;FIN
cervo	jelen	cervo	jelen	N	N;ANIM;NOM;MASC;SG;POS
cervo	jelena	cervo	jelen	N	N;NOM;FEM;SG;POS
cervo	jelen	cervo	jelen	N	N;ANIM;NOM;MASC;SG;POS
matarme	zabít	matarme	zabít	V	V;POS;NFIN
matarme	zabij	matarme	zabít	V	V;IMP;SG;2;POS;FIN
atacaron	napadl	atacar	napadnout	V	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
atacaron	napadli	atacar	napadnout	V	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
quixeches	chtěl	quixeche	chtít	V	V;MASC;SG;POS;PST;V.PTCP;ACT
xenerosa	velkorysý	xeneroso	velkorysý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
xenerosa	štědrý	xeneroso	štědrý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
xenerosa	štědré	xeneroso	štědrý	ADJ	ADJ;NOM;NEUT;SG;POS
xenerosa	velkorysé	xeneroso	velkorysý	ADJ	ADJ;NOM;NEUT;SG;POS
xenerosa	štědrá	xeneroso	štědrý	ADJ	ADJ;NOM;FEM;SG;POS
culto	kult	culto	kult	N	N;INAN;NOM;MASC;SG;POS
culto	sekta	culto	sekta	N	N;NOM;FEM;SG;POS
irlandesa	irský	irlandesa	irský	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
irlandesa	irské	irlandesa	irský	ADJ	ADJ;NOM;NEUT;SG;POS
irlandesa	irská	irlandesa	irský	ADJ	ADJ;NOM;FEM;SG;POS
déronme	dal	déronme	dát	V	V;MASC;SG;POS;PST;V.PTCP;ACT
déronme	dala	déronme	dát	V	V;POS;PST;V.PTCP;ACT
lagoa	laguny	lagoa	laguna	N	N;NOM;FEM;PL;POS
meniña	dívka	meniña	dívka	N	N;NOM;FEM;SG;POS
meniña	děvče	meniña	děvče	N	N;NOM;NEUT;SG;POS
meniña	holčička	meniña	holčička	N	N;NOM;FEM;SG;POS
meniña	holka	meniña	holka	N	N;NOM;FEM;SG;POS
católicos	katolická	católico	katolický	ADJ	ADJ;NOM;FEM;SG;POS
católicos	katolické	católico	katolický	ADJ	ADJ;NOM;NEUT;SG;POS
católicos	katolický	católico	katolický	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
pasear	chodit	pasear	chodit	V	V;IPFV;POS;NFIN
clans	klan	clan	klan	N	N;INAN;NOM;MASC;SG;POS
clans	klanu	clan	klan	N	N;INAN;DAT;MASC;SG;POS
clans	klany	clan	klan	N	N;INAN;NOM;MASC;PL;POS
nomura	nomura	nomura	nomura	N	N;NOM;MASC;SG;POS
duchêne	duchene	duchêne	duchene	N	N;ANIM;NOM;MASC;PL;POS
cuarteto	kvartet	cuarteto	kvartet	N	N;INAN;NOM;MASC;SG;POS
estivesen	byli	estar	být	V	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
estivesen	byly	estar	být	V	V;INAN;PL;POS;PST;V.PTCP;ACT
corría	běží	corría	běžet	V	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
corría	utíkat	corría	utíkat	V	V;IPFV;POS;NFIN
corría	bylo	corría	být	V	V;NEUT;SG;POS;PST;V.PTCP;ACT
corría	byl	corría	být	V	V;MASC;SG;POS;PST;V.PTCP;ACT
corría	byla	corría	být	V	V;POS;PST;V.PTCP;ACT
ensino	vyučování	ensino	vyučování	N	N;NOM;NEUT;SG;POS
ensino	učení	ensino	učení	N	N;NOM;NEUT;SG;POS
ensino	výuka	ensino	výuka	N	N;NOM;FEM;SG;POS
ensino	výuky	ensino	výuka	N	N;NOM;FEM;SG;POS
informática	počítač	informática	počítač	N	N;INAN;NOM;MASC;SG;POS
informática	počítače	informática	počítač	N	N;INAN;NOM;MASC;PL;POS
informática	počítači	informática	počítač	N	N;INAN;NOM;MASC;PL;POS
técnicas	technik	técnica	technik	N	N;ANIM;NOM;MASC;SG;POS
técnicas	techniky	técnica	technika	N	N;NOM;FEM;PL;POS
veterinarios	veterináři	veterinario	veterinář	N	N;ANIM;NOM;MASC;PL;POS
confesión	zpověď	confesión	zpověď	N	N;NOM;FEM;SG;POS
confesión	doznání	confesión	doznání	N	N;NOM;NEUT;SG;POS
confesión	přiznání	confesión	přiznání	N	N;NOM;NEUT;SG;POS
loitan	jsou	loitar	být	V	V;IND;PL;3;POS;PRS;FIN;ACT
loitan	bojovat	loitar	bojovat	V	V;IPFV;POS;NFIN
medicinas	medicína	medicina	medicína	N	N;NOM;FEM;SG;POS
medicinas	léky	medicina	lék	N	N;INAN;NOM;MASC;PL;POS
medicinas	lékařství	medicina	lékařství	N	N;NOM;NEUT;SG;POS
medicinas	lék	medicina	lék	N	N;INAN;NOM;MASC;SG;POS
perden	prohrát	perder	prohrát	V	V;POS;NFIN
perden	ztratit	perder	ztratit	V	V;PFV;POS;NFIN
culturas	kultury	cultura	kultura	N	N;NOM;FEM;SG;POS
culturas	kultur	cultura	kultura	N	N;GEN;FEM;PL;POS
interpretación	výklad	interpretación	výklad	N	N;INAN;NOM;MASC;SG;POS
interpretación	interpretace	interpretación	interpretace	N	N;NOM;FEM;SG;POS
